,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,椰子-進口剝殼,129,26.7,24.0,三重區,241,25.0,24.8,400.0,2012,1,7,5
1,椰子-進口剝殼,129,26.7,24.0,三重區,241,25.0,24.8,600.0,2012,1,11,2
2,椰子-進口剝殼,129,24.0,24.0,三重區,241,24.0,24.0,375.0,2012,1,12,3
3,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,225.0,2012,2,24,4
4,椰子-進口剝殼,129,33.3,33.3,三重區,241,33.3,33.3,1545.0,2012,2,26,6
5,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,435.0,2012,2,28,1
6,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,45.0,2012,2,29,2
7,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,450.0,2012,3,3,5
8,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,300.0,2012,3,4,6
9,椰子-進口剝殼,129,50.0,50.0,三重區,241,50.0,50.0,50.0,2012,3,7,2
10,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,45.0,2012,3,8,3
11,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,150.0,2012,3,10,5
12,椰子-進口剝殼,129,26.7,26.7,三重區,241,26.7,26.7,150.0,2012,3,11,6
13,椰子-進口剝殼,129,33.3,33.3,三重區,241,33.3,33.3,180.0,2012,3,14,2
14,椰子-進口剝殼,129,33.3,33.3,三重區,241,33.3,33.3,600.0,2012,3,21,2
15,椰子-進口剝殼,129,28.0,28.0,三重區,241,28.0,28.0,750.0,2012,3,23,4
16,椰子-進口剝殼,129,33.3,33.3,三重區,241,33.3,33.3,450.0,2012,3,24,5
17,椰子-進口剝殼,129,33.3,33.3,三重區,241,33.3,33.3,450.0,2012,4,3,1
18,椰子-進口剝殼,129,28.0,28.0,三重區,241,28.0,28.0,1025.0,2012,4,11,2
19,椰子-進口剝殼,129,33.3,33.3,三重區,241,33.3,33.3,300.0,2012,4,28,5
20,椰子-進口剝殼,129,53.3,52.0,三重區,241,52.6,52.5,2825.0,2012,6,5,1
21,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,300.0,2012,6,7,3
22,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,150.0,2012,6,9,5
23,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,150.0,2012,6,10,6
24,椰子-進口剝殼,129,53.3,52.2,三重區,241,53.1,53.3,4320.0,2012,6,12,1
25,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,15.0,2012,6,13,2
26,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,465.0,2012,6,14,3
27,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,90.0,2012,6,15,4
28,椰子-進口剝殼,129,53.3,52.0,三重區,241,52.5,52.4,1200.0,2012,6,20,2
29,椰子-進口剝殼,129,53.3,53.3,三重區,241,53.3,53.3,150.0,2012,6,21,3
30,椰子-進口剝殼,129,52.0,52.0,三重區,241,52.0,52.0,875.0,2012,6,22,4
31,椰子-進口剝殼,129,34.0,34.0,三重區,241,34.0,34.0,250.0,2012,6,23,5
