,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-紅龍玉文,R2,60.0,60.0,三重區,241,60.0,60.0,8.0,2012,4,17,1
1,芒果-紅龍玉文,R2,45.0,35.0,三重區,241,38.2,37.0,300.0,2012,5,1,1
2,芒果-紅龍玉文,R2,62.0,60.0,三重區,241,61.3,61.5,117.0,2012,5,2,2
3,芒果-紅龍玉文,R2,65.0,50.0,三重區,241,53.9,51.6,420.0,2012,5,3,3
4,芒果-紅龍玉文,R2,95.6,51.2,三重區,241,67.7,64.0,340.0,2012,5,4,4
5,芒果-紅龍玉文,R2,71.0,58.4,三重區,241,67.3,69.0,318.0,2012,5,5,5
6,芒果-紅龍玉文,R2,85.0,45.0,三重區,241,61.1,58.6,240.0,2012,5,6,6
7,芒果-紅龍玉文,R2,61.3,40.5,三重區,241,48.6,47.0,801.0,2012,5,8,1
8,芒果-紅龍玉文,R2,59.2,38.0,三重區,241,47.3,46.5,426.0,2012,5,9,2
9,芒果-紅龍玉文,R2,59.3,47.6,三重區,241,51.4,50.0,519.0,2012,5,10,3
10,芒果-紅龍玉文,R2,61.4,27.7,三重區,241,40.8,38.4,1569.0,2012,5,11,4
11,芒果-紅龍玉文,R2,53.4,34.6,三重區,241,44.1,44.2,1337.0,2012,5,12,5
12,芒果-紅龍玉文,R2,50.0,24.7,三重區,241,38.0,38.5,1782.0,2012,5,13,6
13,芒果-紅龍玉文,R2,49.4,20.0,三重區,241,33.9,33.4,1298.0,2012,5,15,1
14,芒果-紅龍玉文,R2,39.3,24.8,三重區,241,32.8,33.2,486.0,2012,5,16,2
15,芒果-紅龍玉文,R2,38.1,21.2,三重區,241,31.6,32.9,1225.0,2012,5,17,3
16,芒果-紅龍玉文,R2,38.5,21.2,三重區,241,30.3,30.6,2254.0,2012,5,18,4
17,芒果-紅龍玉文,R2,41.2,20.0,三重區,241,30.5,30.4,1214.0,2012,5,19,5
18,芒果-紅龍玉文,R2,37.9,30.0,三重區,241,32.7,31.8,2203.0,2012,5,20,6
19,芒果-紅龍玉文,R2,35.1,25.6,三重區,241,31.0,31.5,3659.0,2012,5,22,1
20,芒果-紅龍玉文,R2,37.4,21.6,三重區,241,29.9,30.2,2001.0,2012,5,23,2
21,芒果-紅龍玉文,R2,30.9,20.0,三重區,241,24.2,23.3,3900.0,2012,5,24,3
22,芒果-紅龍玉文,R2,30.0,20.8,三重區,241,26.2,26.7,2316.0,2012,5,25,4
23,芒果-紅龍玉文,R2,31.1,22.1,三重區,241,27.6,28.3,2410.0,2012,5,26,5
24,芒果-紅龍玉文,R2,30.2,21.2,三重區,241,27.8,29.1,2032.0,2012,5,27,6
25,芒果-紅龍玉文,R2,28.9,21.9,三重區,241,25.2,25.0,2083.0,2012,5,29,1
26,芒果-紅龍玉文,R2,30.0,20.0,三重區,241,23.9,23.2,2598.0,2012,5,30,2
27,芒果-紅龍玉文,R2,30.0,21.6,三重區,241,26.5,27.0,1104.0,2012,5,31,3
28,芒果-紅龍玉文,R2,40.3,20.0,三重區,241,25.0,21.6,1556.0,2012,6,1,4
29,芒果-紅龍玉文,R2,35.1,22.5,三重區,241,28.6,28.4,1453.0,2012,6,2,5
30,芒果-紅龍玉文,R2,47.7,26.5,三重區,241,34.9,33.5,2571.0,2012,6,3,6
31,芒果-紅龍玉文,R2,40.1,23.8,三重區,241,31.0,30.3,1229.0,2012,6,5,1
32,芒果-紅龍玉文,R2,35.0,28.2,三重區,241,30.7,30.2,1607.0,2012,6,6,2
33,芒果-紅龍玉文,R2,29.0,20.0,三重區,241,23.2,22.3,1969.0,2012,6,7,3
34,芒果-紅龍玉文,R2,57.3,25.0,三重區,241,35.8,32.2,1056.0,2012,6,8,4
35,芒果-紅龍玉文,R2,37.5,22.1,三重區,241,30.0,30.1,1528.0,2012,6,9,5
36,芒果-紅龍玉文,R2,37.9,20.0,三重區,241,28.4,28.1,3908.0,2012,6,10,6
37,芒果-紅龍玉文,R2,39.1,19.8,三重區,241,28.6,28.1,2941.0,2012,6,12,1
38,芒果-紅龍玉文,R2,52.6,18.3,三重區,241,30.6,27.3,1954.0,2012,6,13,2
39,芒果-紅龍玉文,R2,52.4,20.0,三重區,241,32.4,29.8,2190.0,2012,6,14,3
40,芒果-紅龍玉文,R2,74.5,28.9,三重區,241,43.5,38.0,3016.0,2012,6,15,4
41,芒果-紅龍玉文,R2,70.8,28.5,三重區,241,41.8,36.5,3280.0,2012,6,16,5
42,芒果-紅龍玉文,R2,77.0,31.5,三重區,241,48.8,45.1,5789.0,2012,6,17,6
43,芒果-紅龍玉文,R2,55.1,29.0,三重區,241,43.0,43.6,8927.0,2012,6,19,1
44,芒果-紅龍玉文,R2,56.7,29.7,三重區,241,42.4,41.8,4629.0,2012,6,20,2
45,芒果-紅龍玉文,R2,51.4,30.7,三重區,241,40.3,39.7,4106.0,2012,6,21,3
46,芒果-紅龍玉文,R2,53.9,32.4,三重區,241,43.0,43.0,5813.0,2012,6,22,4
47,芒果-紅龍玉文,R2,53.1,24.8,三重區,241,39.6,40.0,3254.0,2012,6,23,5
48,芒果-紅龍玉文,R2,52.1,24.6,三重區,241,37.7,37.3,1843.0,2012,6,26,1
49,芒果-紅龍玉文,R2,47.5,27.8,三重區,241,37.6,37.6,2232.0,2012,6,27,2
50,芒果-紅龍玉文,R2,48.3,25.1,三重區,241,36.4,36.2,1467.0,2012,6,28,3
51,芒果-紅龍玉文,R2,56.3,26.4,三重區,241,40.2,39.4,2965.0,2012,6,29,4
52,芒果-紅龍玉文,R2,50.3,28.9,三重區,241,38.3,37.5,7081.0,2012,6,30,5
53,芒果-紅龍玉文,R2,51.9,29.3,三重區,241,38.6,37.3,9785.0,2012,7,1,6
54,芒果-紅龍玉文,R2,59.3,25.9,三重區,241,41.0,39.9,4828.0,2012,7,3,1
55,芒果-紅龍玉文,R2,59.5,35.9,三重區,241,43.0,39.8,1809.0,2012,7,4,2
56,芒果-紅龍玉文,R2,68.0,30.4,三重區,241,48.0,47.2,1089.0,2012,7,5,3
57,芒果-紅龍玉文,R2,62.5,32.7,三重區,241,43.0,39.9,2062.0,2012,7,6,4
58,芒果-紅龍玉文,R2,70.2,43.8,三重區,241,52.0,48.6,1363.0,2012,7,7,5
59,芒果-紅龍玉文,R2,73.3,30.8,三重區,241,50.9,50.1,904.0,2012,7,8,6
60,芒果-紅龍玉文,R2,69.4,32.1,三重區,241,46.1,42.9,1755.0,2012,7,10,1
61,芒果-紅龍玉文,R2,69.9,33.7,三重區,241,45.0,40.4,636.0,2012,7,11,2
62,芒果-紅龍玉文,R2,40.1,33.4,三重區,241,35.8,35.2,1617.0,2012,7,12,3
63,芒果-紅龍玉文,R2,37.4,33.2,三重區,241,35.1,35.0,1105.0,2012,7,13,4
64,芒果-紅龍玉文,R2,44.5,37.1,三重區,241,40.3,40.0,750.0,2012,7,14,5
65,芒果-紅龍玉文,R2,42.0,22.0,三重區,241,36.3,39.2,167.0,2012,7,15,6
66,芒果-紅龍玉文,R2,43.2,34.4,三重區,241,36.5,35.0,782.0,2012,7,17,1
67,芒果-紅龍玉文,R2,72.0,35.1,三重區,241,46.6,41.9,678.0,2012,7,18,2
68,芒果-紅龍玉文,R2,57.2,34.9,三重區,241,42.9,40.8,1450.0,2012,7,19,3
69,芒果-紅龍玉文,R2,40.1,25.4,三重區,241,32.5,32.3,555.0,2012,7,20,4
70,芒果-紅龍玉文,R2,43.1,30.0,三重區,241,34.5,33.1,1446.0,2012,7,21,5
71,芒果-紅龍玉文,R2,40.0,38.8,三重區,241,39.8,40.0,748.0,2012,7,22,6
72,芒果-紅龍玉文,R2,45.0,31.2,三重區,241,40.3,41.8,990.0,2012,7,24,1
73,芒果-紅龍玉文,R2,30.0,30.0,三重區,241,30.0,30.0,12.0,2012,7,25,2
74,芒果-紅龍玉文,R2,35.0,35.0,三重區,241,35.0,35.0,60.0,2012,7,26,3
75,芒果-紅龍玉文,R2,40.3,29.4,三重區,241,34.2,33.8,1497.0,2012,7,28,5
76,芒果-紅龍玉文,R2,40.0,30.0,三重區,241,34.8,34.6,3159.0,2012,7,29,6
77,芒果-紅龍玉文,R2,41.3,38.8,三重區,241,40.0,40.0,1224.0,2012,7,31,1
78,芒果-紅龍玉文,R2,40.5,12.6,三重區,241,28.6,29.9,430.0,2012,8,1,2
79,芒果-紅龍玉文,R2,35.0,35.0,三重區,241,35.0,35.0,6.0,2012,8,2,3
80,芒果-紅龍玉文,R2,32.0,32.0,三重區,241,32.0,32.0,420.0,2012,8,5,6
81,芒果-紅龍玉文,R2,42.3,31.5,三重區,241,38.3,39.3,1480.0,2012,8,7,1
82,芒果-紅龍玉文,R2,45.0,45.0,三重區,241,45.0,45.0,204.0,2012,8,8,2
83,芒果-紅龍玉文,R2,75.0,40.0,三重區,241,55.6,54.3,135.0,2012,8,9,3
84,芒果-紅龍玉文,R2,70.0,70.0,三重區,241,70.0,70.0,24.0,2012,8,10,4
85,芒果-紅龍玉文,R2,80.0,80.0,三重區,241,80.0,80.0,24.0,2012,8,11,5
86,芒果-紅龍玉文,R2,40.0,40.0,三重區,241,40.0,40.0,465.0,2012,8,12,6
87,芒果-紅龍玉文,R2,50.0,32.0,三重區,241,41.8,42.4,1002.0,2012,8,14,1
88,芒果-紅龍玉文,R2,30.6,30.0,三重區,241,30.1,30.0,216.0,2012,8,15,2
89,芒果-紅龍玉文,R2,47.3,45.0,三重區,241,45.5,45.0,450.0,2012,8,16,3
90,芒果-紅龍玉文,R2,50.0,50.0,三重區,241,50.0,50.0,72.0,2012,8,17,4
91,芒果-紅龍玉文,R2,50.0,40.0,三重區,241,46.2,46.9,468.0,2012,8,18,5
92,芒果-紅龍玉文,R2,70.0,45.0,三重區,241,50.3,45.6,61.0,2012,8,19,6
93,芒果-紅龍玉文,R2,52.5,46.1,三重區,241,49.7,50.0,184.0,2012,8,22,2
94,芒果-紅龍玉文,R2,45.0,45.0,三重區,241,45.0,45.0,138.0,2012,8,23,3
95,芒果-紅龍玉文,R2,50.0,50.0,三重區,241,50.0,50.0,84.0,2012,8,24,4
96,芒果-紅龍玉文,R2,45.0,45.0,三重區,241,45.0,45.0,240.0,2012,8,28,1
97,芒果-紅龍玉文,R2,50.0,50.0,三重區,241,50.0,50.0,390.0,2012,8,29,2
98,芒果-紅龍玉文,R2,50.0,50.0,三重區,241,50.0,50.0,102.0,2012,8,30,3
99,芒果-紅龍玉文,R2,55.0,55.0,三重區,241,55.0,55.0,32.0,2012,9,11,1
100,芒果-紅龍玉文,R2,45.0,31.4,三重區,241,38.6,38.8,42.0,2012,9,14,4
101,芒果-紅龍玉文,R2,62.0,50.0,三重區,241,55.3,54.9,72.0,2012,9,15,5
102,芒果-紅龍玉文,R2,50.0,40.0,三重區,241,44.0,43.3,15.0,2013,3,10,6
103,芒果-紅龍玉文,R2,38.0,38.0,三重區,241,38.0,38.0,29.0,2013,3,13,2
104,芒果-紅龍玉文,R2,57.0,57.0,三重區,241,57.0,57.0,36.0,2013,3,17,6
105,芒果-紅龍玉文,R2,80.0,80.0,三重區,241,80.0,80.0,12.0,2013,3,26,1
106,芒果-紅龍玉文,R2,30.0,30.0,三重區,241,30.0,30.0,195.0,2013,3,30,5
107,芒果-紅龍玉文,R2,38.0,38.0,三重區,241,38.0,38.0,48.0,2013,4,2,1
108,芒果-紅龍玉文,R2,32.0,26.9,三重區,241,30.6,31.4,48.0,2013,4,6,5
109,芒果-紅龍玉文,R2,23.0,23.0,三重區,241,23.0,23.0,150.0,2013,4,7,6
