,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,小番茄-嬌女,73,10.0,10.0,三重區,241,10.0,10.0,12.0,2012,1,1,6
1,小番茄-嬌女,73,15.0,10.0,三重區,241,12.5,12.5,24.0,2012,1,3,1
2,小番茄-嬌女,73,16.2,15.0,三重區,241,15.3,15.0,610.0,2012,1,4,2
3,小番茄-嬌女,73,17.0,17.0,三重區,241,17.0,17.0,470.0,2012,1,5,3
4,小番茄-嬌女,73,10.0,10.0,三重區,241,10.0,10.0,12.0,2012,1,7,5
5,小番茄-嬌女,73,15.6,14.0,三重區,241,14.6,14.4,370.0,2012,1,10,1
6,小番茄-嬌女,73,18.0,18.0,三重區,241,18.0,18.0,310.0,2012,1,12,3
7,小番茄-嬌女,73,12.0,12.0,三重區,241,12.0,12.0,12.0,2012,1,13,4
8,小番茄-嬌女,73,20.0,15.8,三重區,241,19.2,20.0,142.0,2012,1,14,5
9,小番茄-嬌女,73,20.0,20.0,三重區,241,20.0,20.0,180.0,2012,1,15,6
10,小番茄-嬌女,73,18.0,13.0,三重區,241,16.0,16.4,252.0,2012,1,18,2
11,小番茄-嬌女,73,20.0,17.0,三重區,241,19.4,20.0,670.0,2012,1,20,4
12,小番茄-嬌女,73,20.0,20.0,三重區,241,20.0,20.0,30.0,2012,1,28,5
13,小番茄-嬌女,73,15.0,15.0,三重區,241,15.0,15.0,12.0,2012,1,29,6
14,小番茄-嬌女,73,19.0,12.0,三重區,241,16.2,16.7,495.0,2012,1,30,0
15,小番茄-嬌女,73,20.0,15.0,三重區,241,16.1,15.1,240.0,2012,2,1,2
16,小番茄-嬌女,73,17.0,12.0,三重區,241,13.5,12.8,100.0,2012,2,2,3
17,小番茄-嬌女,73,20.0,13.0,三重區,241,16.5,16.6,680.0,2012,2,3,4
18,小番茄-嬌女,73,20.0,12.0,三重區,241,15.7,15.5,250.0,2012,2,4,5
