,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,桃子-進口,Y9,200.0,200.0,三重區,241,200.0,200.0,295.0,2012,1,1,6
1,桃子-進口,Y9,200.0,200.0,三重區,241,200.0,200.0,60.0,2012,1,8,6
2,桃子-進口,Y9,200.0,200.0,三重區,241,200.0,200.0,130.0,2012,2,11,5
3,桃子-進口,Y9,200.0,200.0,三重區,241,200.0,200.0,55.0,2012,2,12,6
4,桃子-進口,Y9,200.0,200.0,三重區,241,200.0,200.0,150.0,2012,2,17,4
5,桃子-進口,Y9,200.0,200.0,三重區,241,200.0,200.0,50.0,2012,2,22,2
6,桃子-進口,Y9,1600.0,1600.0,三重區,241,1600.0,1600.0,6.0,2012,5,8,1
7,桃子-進口,Y9,1600.0,1600.0,三重區,241,1600.0,1600.0,6.0,2012,5,9,2
8,桃子-進口,Y9,1600.0,1600.0,三重區,241,1600.0,1600.0,15.0,2012,5,11,4
9,桃子-進口,Y9,300.0,300.0,三重區,241,300.0,300.0,965.0,2012,5,13,6
10,桃子-進口,Y9,520.7,220.0,三重區,241,280.2,220.0,413.0,2012,5,15,1
11,桃子-進口,Y9,220.0,220.0,三重區,241,220.0,220.0,675.0,2012,5,17,3
12,桃子-進口,Y9,220.0,96.2,三重區,241,195.3,220.0,2525.0,2012,5,18,4
13,桃子-進口,Y9,1600.0,80.0,三重區,241,953.2,1028.7,94.0,2012,5,19,5
14,桃子-進口,Y9,220.0,220.0,三重區,241,220.0,220.0,1030.0,2012,5,20,6
15,桃子-進口,Y9,91.9,80.0,三重區,241,82.4,80.0,2224.0,2012,5,22,1
16,桃子-進口,Y9,220.0,80.0,三重區,241,161.3,168.8,715.0,2012,5,23,2
17,桃子-進口,Y9,1600.0,1600.0,三重區,241,1600.0,1600.0,11.0,2012,5,24,3
18,桃子-進口,Y9,416.8,220.0,三重區,241,259.4,220.0,561.0,2012,5,25,4
19,桃子-進口,Y9,220.0,220.0,三重區,241,220.0,220.0,1165.0,2012,5,26,5
20,桃子-進口,Y9,288.6,220.0,三重區,241,233.7,220.0,2212.0,2012,5,27,6
21,桃子-進口,Y9,220.0,220.0,三重區,241,220.0,220.0,1540.0,2012,5,29,1
22,桃子-進口,Y9,385.0,220.0,三重區,241,253.0,220.0,502.0,2012,5,30,2
23,桃子-進口,Y9,1600.0,1600.0,三重區,241,1600.0,1600.0,20.0,2012,5,31,3
24,桃子-進口,Y9,258.8,149.7,三重區,241,213.7,220.0,2489.0,2012,6,1,4
25,桃子-進口,Y9,275.2,220.0,三重區,241,231.0,220.0,1930.0,2012,6,2,5
26,桃子-進口,Y9,1600.0,220.0,三重區,241,781.4,695.6,59.0,2012,6,3,6
27,桃子-進口,Y9,333.1,80.0,三重區,241,200.7,196.8,3769.0,2012,6,5,1
28,桃子-進口,Y9,334.1,133.9,三重區,241,219.3,209.5,1815.0,2012,6,6,2
29,桃子-進口,Y9,358.4,200.0,三重區,241,243.1,219.1,2473.0,2012,6,7,3
30,桃子-進口,Y9,290.4,200.0,三重區,241,222.0,206.6,2743.0,2012,6,8,4
31,桃子-進口,Y9,463.4,220.0,三重區,241,268.7,220.0,1277.0,2012,6,9,5
32,桃子-進口,Y9,324.5,200.0,三重區,241,229.5,207.6,3112.0,2012,6,10,6
33,桃子-進口,Y9,317.1,144.0,三重區,241,218.4,210.4,2676.0,2012,6,12,1
34,桃子-進口,Y9,296.8,200.0,三重區,241,225.0,209.4,2959.0,2012,6,13,2
35,桃子-進口,Y9,351.0,80.0,三重區,241,237.7,252.4,1814.0,2012,6,14,3
36,桃子-進口,Y9,262.2,80.0,三重區,241,159.6,152.0,4658.0,2012,6,15,4
37,桃子-進口,Y9,280.1,200.0,三重區,241,216.0,200.0,3583.0,2012,6,16,5
38,桃子-進口,Y9,328.0,200.0,三重區,241,230.0,207.4,3577.0,2012,6,17,6
39,桃子-進口,Y9,325.5,80.0,三重區,241,187.9,178.0,7700.0,2012,6,19,1
40,桃子-進口,Y9,227.5,80.0,三重區,241,184.3,204.7,10992.0,2012,6,20,2
41,桃子-進口,Y9,250.4,167.0,三重區,241,210.9,212.4,6006.0,2012,6,21,3
42,桃子-進口,Y9,231.7,125.6,三重區,241,196.4,208.2,18152.0,2012,6,22,4
43,桃子-進口,Y9,235.7,105.7,三重區,241,195.1,211.4,9478.0,2012,6,23,5
44,桃子-進口,Y9,230.9,130.0,三重區,241,198.1,209.8,8569.0,2012,6,26,1
45,桃子-進口,Y9,270.5,174.5,三重區,241,219.2,217.0,6120.0,2012,6,27,2
46,桃子-進口,Y9,242.9,100.0,三重區,241,193.5,208.2,5057.0,2012,6,28,3
47,桃子-進口,Y9,360.9,198.8,三重區,241,239.8,213.1,6600.0,2012,6,29,4
48,桃子-進口,Y9,279.0,214.3,三重區,241,254.7,260.0,9267.0,2012,6,30,5
49,桃子-進口,Y9,263.2,228.7,三重區,241,242.4,240.0,6630.0,2012,7,1,6
50,桃子-進口,Y9,316.1,231.3,三重區,241,253.5,240.0,9100.0,2012,7,3,1
51,桃子-進口,Y9,287.8,146.3,三重區,241,230.8,240.0,6065.0,2012,7,4,2
52,桃子-進口,Y9,398.6,110.0,三重區,241,204.7,171.6,3355.0,2012,7,5,3
53,桃子-進口,Y9,258.6,110.0,三重區,241,191.2,195.7,9043.0,2012,7,6,4
54,桃子-進口,Y9,244.1,131.2,三重區,241,195.1,200.0,6347.0,2012,7,7,5
55,桃子-進口,Y9,243.4,124.7,三重區,241,193.6,200.0,4753.0,2012,7,8,6
56,桃子-進口,Y9,278.2,152.2,三重區,241,206.1,200.0,5169.0,2012,7,10,1
57,桃子-進口,Y9,229.4,90.0,三重區,241,144.9,135.0,6285.0,2012,7,11,2
58,桃子-進口,Y9,238.5,88.7,三重區,241,159.1,156.2,11478.0,2012,7,12,3
59,桃子-進口,Y9,274.3,90.0,三重區,241,192.3,199.1,9176.0,2012,7,13,4
60,桃子-進口,Y9,262.1,106.1,三重區,241,193.7,200.0,6268.5,2012,7,14,5
61,桃子-進口,Y9,381.3,182.2,三重區,241,232.7,200.0,3706.0,2012,7,15,6
62,桃子-進口,Y9,251.2,90.0,三重區,241,167.8,165.9,4898.0,2012,7,17,1
63,桃子-進口,Y9,236.7,90.0,三重區,241,136.1,117.9,13332.0,2012,7,18,2
64,桃子-進口,Y9,249.5,90.0,三重區,241,146.0,130.1,6160.0,2012,7,19,3
65,桃子-進口,Y9,241.4,90.0,三重區,241,169.2,171.6,4535.0,2012,7,20,4
66,桃子-進口,Y9,282.8,176.7,三重區,241,211.9,200.0,10635.0,2012,7,21,5
67,桃子-進口,Y9,245.3,156.1,三重區,241,200.3,200.0,9945.0,2012,7,22,6
68,桃子-進口,Y9,247.1,180.6,三重區,241,205.5,200.0,13612.0,2012,7,24,1
69,桃子-進口,Y9,397.8,103.1,三重區,241,248.5,247.2,6530.0,2012,7,25,2
70,桃子-進口,Y9,355.1,194.6,三重區,241,265.9,260.0,3575.0,2012,7,26,3
71,桃子-進口,Y9,360.5,114.9,三重區,241,227.1,220.0,4280.0,2012,7,27,4
72,桃子-進口,Y9,205.9,195.7,三重區,241,200.3,200.0,4590.0,2012,7,28,5
73,桃子-進口,Y9,243.4,70.0,三重區,241,175.6,188.2,3460.0,2012,7,29,6
74,桃子-進口,Y9,324.8,70.0,三重區,241,191.8,188.1,6410.0,2012,7,31,1
75,桃子-進口,Y9,249.6,70.0,三重區,241,170.4,177.5,4897.0,2012,8,1,2
76,桃子-進口,Y9,224.5,120.3,三重區,241,189.0,200.0,1630.0,2012,8,2,3
77,桃子-進口,Y9,200.0,70.0,三重區,241,162.8,181.3,3490.0,2012,8,3,4
78,桃子-進口,Y9,253.3,70.0,三重區,241,177.9,188.7,6863.0,2012,8,4,5
79,桃子-進口,Y9,200.0,91.7,三重區,241,178.4,200.0,5930.0,2012,8,5,6
80,桃子-進口,Y9,244.3,200.0,三重區,241,208.9,200.0,5236.0,2012,8,7,1
81,桃子-進口,Y9,241.6,200.0,三重區,241,208.3,200.0,4611.0,2012,8,8,2
82,桃子-進口,Y9,211.6,90.8,三重區,241,174.2,189.5,10390.0,2012,8,9,3
83,桃子-進口,Y9,278.1,70.0,三重區,241,154.1,140.9,5635.0,2012,8,10,4
84,桃子-進口,Y9,250.3,133.9,三重區,241,196.8,200.0,9945.0,2012,8,11,5
85,桃子-進口,Y9,200.0,172.8,三重區,241,194.6,200.0,6437.0,2012,8,12,6
86,桃子-進口,Y9,265.6,101.3,三重區,241,184.7,185.6,9150.0,2012,8,14,1
87,桃子-進口,Y9,281.2,70.0,三重區,241,172.1,169.8,11945.0,2012,8,15,2
88,桃子-進口,Y9,200.0,154.0,三重區,241,190.8,200.0,7550.0,2012,8,16,3
89,桃子-進口,Y9,307.3,147.7,三重區,241,211.0,200.0,5965.0,2012,8,17,4
90,桃子-進口,Y9,200.0,189.5,三重區,241,197.9,200.0,12365.0,2012,8,18,5
91,桃子-進口,Y9,386.5,181.0,三重區,241,233.5,200.0,8685.0,2012,8,19,6
92,桃子-進口,Y9,319.8,152.5,三重區,241,214.5,200.0,7345.0,2012,8,21,1
93,桃子-進口,Y9,263.5,182.5,三重區,241,209.2,200.0,7715.0,2012,8,22,2
94,桃子-進口,Y9,205.9,195.1,三重區,241,200.2,200.0,4097.0,2012,8,23,3
95,桃子-進口,Y9,372.3,190.1,三重區,241,232.5,200.0,3187.0,2012,8,24,4
96,桃子-進口,Y9,217.1,192.3,三重區,241,201.9,200.0,5850.0,2012,8,25,5
97,桃子-進口,Y9,200.0,171.5,三重區,241,194.3,200.0,5100.0,2012,8,26,6
98,桃子-進口,Y9,203.8,149.4,三重區,241,190.6,200.0,5305.0,2012,8,28,1
99,桃子-進口,Y9,285.6,178.3,三重區,241,212.8,200.0,5845.0,2012,8,29,2
100,桃子-進口,Y9,211.9,162.1,三重區,241,194.8,200.0,8015.0,2012,8,30,3
101,桃子-進口,Y9,239.8,160.4,三重區,241,198.7,197.8,8805.0,2012,8,31,4
102,桃子-進口,Y9,215.6,140.0,三重區,241,190.0,198.1,5135.0,2012,9,1,5
103,桃子-進口,Y9,228.6,175.7,三重區,241,200.9,200.0,3500.0,2012,9,2,6
104,桃子-進口,Y9,285.9,165.9,三重區,241,210.4,200.0,7625.0,2012,9,5,2
105,桃子-進口,Y9,244.3,154.8,三重區,241,199.8,200.0,5640.0,2012,9,6,3
106,桃子-進口,Y9,261.2,129.9,三重區,241,197.7,199.1,6945.0,2012,9,7,4
107,桃子-進口,Y9,201.7,172.3,三重區,241,194.8,200.0,6070.0,2012,9,8,5
108,桃子-進口,Y9,219.0,167.3,三重區,241,197.3,200.0,2630.0,2012,9,9,6
109,桃子-進口,Y9,200.0,197.8,三重區,241,199.6,200.0,3455.0,2012,9,11,1
110,桃子-進口,Y9,225.8,180.0,三重區,241,199.5,197.2,2330.0,2012,9,12,2
