,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,80.0,2012,1,1,6
1,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,300.0,2012,1,3,1
2,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,400.0,2012,1,4,2
3,西洋梨-西洋梨進口,O99,52.4,50.0,三重區,241,50.5,50.0,210.0,2012,1,5,3
4,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,100.0,2012,1,6,4
5,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,500.0,2012,1,7,5
6,西洋梨-西洋梨進口,O99,60.0,50.0,三重區,241,52.5,50.8,80.0,2012,1,8,6
7,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,200.0,2012,1,10,1
8,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,800.0,2012,1,11,2
9,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,200.0,2012,1,13,4
10,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,300.0,2012,1,22,6
11,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,200.0,2012,1,30,0
12,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,260.0,2012,2,1,2
13,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,200.0,2012,2,2,3
14,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,100.0,2012,2,3,4
15,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,400.0,2012,2,4,5
16,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,400.0,2012,2,9,3
17,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,300.0,2012,2,10,4
18,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,100.0,2012,2,11,5
19,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,160.0,2012,2,14,1
20,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,700.0,2012,2,15,2
21,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,60.0,2012,2,16,3
22,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,120.0,2012,2,17,4
23,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,600.0,2012,2,18,5
24,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,420.0,2012,2,19,6
25,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,440.0,2012,2,21,1
26,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,20.0,2012,2,22,2
27,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,300.0,2012,2,23,3
28,西洋梨-西洋梨進口,O99,50.0,50.0,三重區,241,50.0,50.0,100.0,2012,2,24,4
29,西洋梨-西洋梨進口,O99,80.0,80.0,三重區,241,80.0,80.0,540.0,2012,3,1,3
30,西洋梨-西洋梨進口,O99,80.0,50.0,三重區,241,56.9,51.5,390.0,2012,3,2,4
31,西洋梨-西洋梨進口,O99,80.0,65.5,三重區,241,77.1,80.0,2070.0,2012,3,3,5
32,西洋梨-西洋梨進口,O99,80.0,80.0,三重區,241,80.0,80.0,70.0,2012,3,4,6
33,西洋梨-西洋梨進口,O99,60.0,60.0,三重區,241,60.0,60.0,380.0,2012,3,6,1
34,西洋梨-西洋梨進口,O99,80.0,61.3,三重區,241,76.3,80.0,4550.0,2012,3,8,3
35,西洋梨-西洋梨進口,O99,80.0,80.0,三重區,241,80.0,80.0,200.0,2012,3,9,4
36,西洋梨-西洋梨進口,O99,80.0,80.0,三重區,241,80.0,80.0,190.0,2012,3,10,5
37,西洋梨-西洋梨進口,O99,80.0,80.0,三重區,241,80.0,80.0,180.0,2012,3,11,6
38,西洋梨-西洋梨進口,O99,80.0,80.0,三重區,241,80.0,80.0,60.0,2012,3,13,1
