,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,雜柑-無子檸檬,F5,52.0,12.3,三重區,241,32.6,33.0,587.0,2012,1,1,6
1,雜柑-無子檸檬,F5,51.0,23.0,三重區,241,38.1,38.9,883.0,2012,1,3,1
2,雜柑-無子檸檬,F5,52.9,18.1,三重區,241,37.6,39.0,1434.0,2012,1,4,2
3,雜柑-無子檸檬,F5,49.2,18.3,三重區,241,34.3,34.7,1755.0,2012,1,5,3
4,雜柑-無子檸檬,F5,50.3,18.3,三重區,241,33.9,33.6,1534.0,2012,1,6,4
5,雜柑-無子檸檬,F5,50.5,24.1,三重區,241,38.3,39.0,917.0,2012,1,7,5
6,雜柑-無子檸檬,F5,47.4,21.3,三重區,241,35.4,36.2,1333.0,2012,1,8,6
7,雜柑-無子檸檬,F5,48.6,17.7,三重區,241,34.7,35.7,1891.0,2012,1,10,1
8,雜柑-無子檸檬,F5,45.9,17.0,三重區,241,33.7,35.2,2250.0,2012,1,11,2
9,雜柑-無子檸檬,F5,47.3,12.9,三重區,241,31.9,33.1,2022.0,2012,1,12,3
10,雜柑-無子檸檬,F5,44.7,12.4,三重區,241,28.2,27.9,2206.0,2012,1,13,4
11,雜柑-無子檸檬,F5,47.5,14.9,三重區,241,32.8,33.9,1204.0,2012,1,14,5
12,雜柑-無子檸檬,F5,50.4,19.1,三重區,241,33.4,32.6,885.0,2012,1,15,6
13,雜柑-無子檸檬,F5,57.6,23.4,三重區,241,40.5,40.6,1361.0,2012,1,17,1
14,雜柑-無子檸檬,F5,59.2,28.0,三重區,241,45.9,47.5,1161.0,2012,1,18,2
15,雜柑-無子檸檬,F5,63.2,22.8,三重區,241,44.6,45.7,1986.0,2012,1,19,3
16,雜柑-無子檸檬,F5,61.7,15.3,三重區,241,44.3,48.2,2224.0,2012,1,20,4
17,雜柑-無子檸檬,F5,62.5,20.0,三重區,241,46.0,49.1,1836.0,2012,1,21,5
18,雜柑-無子檸檬,F5,51.0,23.6,三重區,241,37.0,36.8,199.0,2012,1,22,6
19,雜柑-無子檸檬,F5,59.8,19.3,三重區,241,42.1,43.8,2165.0,2012,1,28,5
20,雜柑-無子檸檬,F5,57.1,25.7,三重區,241,43.3,44.6,1804.0,2012,1,29,6
21,雜柑-無子檸檬,F5,59.1,28.5,三重區,241,44.0,44.1,1191.0,2012,1,30,0
22,雜柑-無子檸檬,F5,53.9,18.0,三重區,241,38.9,40.9,2964.0,2012,2,1,2
23,雜柑-無子檸檬,F5,53.0,25.3,三重區,241,40.1,40.8,2084.0,2012,2,2,3
