,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,桑椹,43,80.0,80.0,台中市,400,80.0,80.0,52.0,2012,4,3,1
1,桑椹,43,55.0,55.0,台中市,400,55.0,55.0,90.0,2012,4,6,4
2,桑椹,43,55.0,55.0,台中市,400,55.0,55.0,77.0,2012,4,7,5
3,桑椹,43,50.0,50.0,台中市,400,50.0,50.0,19.0,2012,4,8,6
4,桑椹,43,40.0,40.0,台中市,400,40.0,40.0,80.0,2012,4,10,1
5,桑椹,43,35.0,35.0,台中市,400,35.0,35.0,70.0,2012,4,11,2
6,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,82.0,2012,4,12,3
7,桑椹,43,25.0,25.0,台中市,400,25.0,25.0,32.0,2012,4,18,2
8,桑椹,43,25.0,25.0,台中市,400,25.0,25.0,36.0,2012,4,19,3
9,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,72.0,2012,4,20,4
10,桑椹,43,12.0,12.0,台中市,400,12.0,12.0,64.0,2012,4,21,5
11,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,11.0,2013,3,20,2
12,桑椹,43,25.0,25.0,台中市,400,25.0,25.0,29.0,2013,4,23,1
13,桑椹,43,31.0,31.0,台中市,400,31.0,31.0,72.0,2014,4,1,1
14,桑椹,43,30.0,28.5,台中市,400,29.7,30.0,132.0,2014,4,2,2
15,桑椹,43,20.0,18.0,台中市,400,19.3,20.0,72.0,2014,4,3,3
16,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,120.0,2014,4,4,4
17,桑椹,43,18.0,16.0,台中市,400,17.0,17.0,96.0,2014,4,8,1
18,桑椹,43,17.0,17.0,台中市,400,17.0,17.0,96.0,2014,4,9,2
19,桑椹,43,25.0,25.0,台中市,400,25.0,25.0,24.0,2014,4,10,3
20,桑椹,43,22.0,20.0,台中市,400,21.3,21.0,72.0,2014,4,11,4
21,桑椹,43,26.0,23.0,台中市,400,24.5,24.5,48.0,2014,4,12,5
22,桑椹,43,25.0,25.0,台中市,400,25.0,25.0,216.0,2014,4,13,6
23,桑椹,43,20.0,15.0,台中市,400,19.3,20.0,168.0,2014,4,15,1
24,桑椹,43,18.0,15.0,台中市,400,16.5,16.5,96.0,2014,4,16,2
25,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,24.0,2014,4,17,3
26,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,17.0,2014,4,18,4
27,桑椹,43,35.0,20.0,台中市,400,28.3,27.5,54.0,2014,4,19,5
28,桑椹,43,25.0,15.0,台中市,400,20.5,19.0,99.0,2014,4,20,6
29,桑椹,43,25.0,18.0,台中市,400,23.0,25.0,84.0,2014,4,22,1
30,桑椹,43,22.0,12.0,台中市,400,19.1,17.0,84.0,2014,4,23,2
31,桑椹,43,30.0,30.0,台中市,400,30.0,30.0,24.0,2015,3,22,6
32,桑椹,43,30.0,30.0,台中市,400,30.0,30.0,96.0,2015,3,24,1
33,桑椹,43,30.0,22.0,台中市,400,25.7,25.0,144.0,2015,3,25,2
34,桑椹,43,20.0,20.0,台中市,400,20.0,20.0,153.0,2015,3,26,3
35,桑椹,43,23.0,23.0,台中市,400,23.0,23.0,48.0,2015,3,27,4
36,桑椹,43,20.0,15.0,台中市,400,17.1,16.7,168.0,2015,3,28,5
37,桑椹,43,12.0,12.0,台中市,400,12.0,12.0,240.0,2015,3,29,6
