,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,葡萄柚-紅寶石,H41,25.0,25.0,台中市,400,25.0,25.0,240.0,2012,1,3,1
1,葡萄柚-紅寶石,H41,30.0,30.0,台中市,400,30.0,30.0,1200.0,2012,1,17,1
2,葡萄柚-紅寶石,H41,30.0,30.0,台中市,400,30.0,30.0,240.0,2012,1,18,2
3,葡萄柚-紅寶石,H41,30.0,30.0,台中市,400,30.0,30.0,80.0,2012,2,5,6
4,葡萄柚-紅寶石,H41,25.0,25.0,台中市,400,25.0,25.0,68.0,2012,8,17,4
5,葡萄柚-紅寶石,H41,25.0,25.0,台中市,400,25.0,25.0,72.0,2012,8,28,1
6,葡萄柚-紅寶石,H41,30.0,15.0,台中市,400,26.4,27.0,356.0,2012,8,29,2
7,葡萄柚-紅寶石,H41,28.3,10.0,台中市,400,24.7,23.6,564.0,2012,8,30,3
8,葡萄柚-紅寶石,H41,27.5,19.5,台中市,400,25.4,25.0,396.0,2012,9,5,2
9,葡萄柚-紅寶石,H41,17.0,10.0,台中市,400,12.8,12.0,51.0,2012,9,11,1
10,葡萄柚-紅寶石,H41,23.5,10.0,台中市,400,16.1,15.0,320.0,2012,9,12,2
11,葡萄柚-紅寶石,H41,20.0,14.0,台中市,400,19.4,18.7,324.0,2012,9,13,3
12,葡萄柚-紅寶石,H41,30.0,10.0,台中市,400,23.7,21.7,484.0,2012,9,14,4
13,葡萄柚-紅寶石,H41,30.0,10.0,台中市,400,23.8,19.5,396.0,2012,9,19,2
14,葡萄柚-紅寶石,H41,20.0,10.0,台中市,400,16.9,15.0,234.0,2012,9,21,4
15,葡萄柚-紅寶石,H41,26.5,10.5,台中市,400,22.5,19.0,582.0,2012,9,25,1
16,葡萄柚-紅寶石,H41,20.0,10.0,台中市,400,16.5,14.0,306.0,2012,9,26,2
17,葡萄柚-紅寶石,H41,10.0,10.0,台中市,400,10.0,10.0,36.0,2012,9,27,3
18,葡萄柚-紅寶石,H41,16.0,6.0,台中市,400,14.0,12.5,237.0,2012,9,28,4
19,葡萄柚-紅寶石,H41,16.0,16.0,台中市,400,16.0,16.0,300.0,2012,10,3,2
20,葡萄柚-紅寶石,H41,30.0,30.0,台中市,400,30.0,30.0,72.0,2012,10,4,3
