,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,木瓜-其他,I0,46.0,42.0,台中市,400,44.8,44.0,29.0,2014,12,11,3
1,木瓜-其他,I0,38.0,38.0,台中市,400,38.0,38.0,22.0,2014,12,12,4
2,木瓜-其他,I0,17.0,13.0,台中市,400,15.5,15.0,32.0,2015,1,15,3
3,木瓜-其他,I0,18.0,15.0,台中市,400,16.9,16.5,31.0,2015,1,17,5
4,木瓜-其他,I0,12.0,12.0,台中市,400,12.0,12.0,44.0,2015,1,18,6
5,木瓜-其他,I0,14.0,14.0,台中市,400,14.0,14.0,30.0,2015,1,21,2
6,木瓜-其他,I0,15.0,15.0,台中市,400,15.0,15.0,8.0,2015,2,1,6
7,木瓜-其他,I0,15.0,10.0,台中市,400,11.1,10.0,46.0,2015,2,3,1
8,木瓜-其他,I0,11.0,8.0,台中市,400,8.8,8.0,126.0,2015,2,4,2
9,木瓜-其他,I0,10.0,10.0,台中市,400,10.0,10.0,9.0,2015,2,13,4
10,木瓜-其他,I0,12.0,12.0,台中市,400,12.0,12.0,30.0,2015,2,14,5
11,木瓜-其他,I0,15.0,10.0,台中市,400,12.4,12.0,33.0,2015,2,15,6
12,木瓜-其他,I0,15.0,15.0,台中市,400,15.0,15.0,30.0,2015,2,17,1
13,木瓜-其他,I0,18.0,15.0,台中市,400,15.4,15.0,78.0,2015,2,24,1
14,木瓜-其他,I0,14.5,10.0,台中市,400,13.5,14.0,131.0,2015,2,26,3
15,木瓜-其他,I0,15.0,9.0,台中市,400,12.9,12.5,83.0,2015,2,28,5
16,木瓜-其他,I0,14.5,10.0,台中市,400,12.5,11.5,111.0,2015,3,1,6
17,木瓜-其他,I0,12.5,8.5,台中市,400,10.5,10.0,195.0,2015,3,3,1
18,木瓜-其他,I0,15.0,10.0,台中市,400,13.1,12.5,103.0,2015,3,4,2
19,木瓜-其他,I0,14.0,6.5,台中市,400,10.1,9.2,137.0,2015,3,5,3
