,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,洋香瓜-其他,W0,80.0,60.0,台中市,400,71.0,70.0,120.0,2012,1,3,1
1,洋香瓜-其他,W0,130.0,100.0,台中市,400,111.3,115.0,96.0,2012,1,6,4
2,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,96.0,2012,1,7,5
3,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,132.0,2012,1,10,1
4,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,180.0,2012,1,11,2
5,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,180.0,2012,1,12,3
6,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,96.0,2012,1,17,1
7,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,48.0,2012,1,18,2
8,洋香瓜-其他,W0,170.0,130.0,台中市,400,153.7,150.0,59.0,2012,4,12,3
9,洋香瓜-其他,W0,165.0,120.0,台中市,400,136.6,142.5,38.0,2012,4,13,4
10,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,40.0,2012,4,14,5
11,洋香瓜-其他,W0,125.0,120.0,台中市,400,121.0,122.5,45.0,2012,4,17,1
12,洋香瓜-其他,W0,120.0,120.0,台中市,400,120.0,120.0,40.0,2012,4,18,2
13,洋香瓜-其他,W0,175.0,130.0,台中市,400,142.9,152.5,56.0,2012,4,19,3
14,洋香瓜-其他,W0,180.0,135.0,台中市,400,160.5,175.0,59.0,2012,4,20,4
15,洋香瓜-其他,W0,173.0,130.0,台中市,400,150.1,151.5,60.0,2012,4,21,5
16,洋香瓜-其他,W0,160.0,120.0,台中市,400,135.1,140.0,37.0,2012,4,22,6
17,洋香瓜-其他,W0,165.0,120.0,台中市,400,135.5,142.5,61.0,2012,4,24,1
18,洋香瓜-其他,W0,170.0,100.0,台中市,400,120.8,120.0,39.0,2012,4,25,2
19,洋香瓜-其他,W0,160.0,90.0,台中市,400,110.8,110.0,39.0,2012,4,26,3
20,洋香瓜-其他,W0,170.0,160.0,台中市,400,163.1,165.0,51.0,2012,4,27,4
21,洋香瓜-其他,W0,150.0,18.0,台中市,400,98.3,106.7,112.0,2012,4,28,5
22,洋香瓜-其他,W0,160.0,160.0,台中市,400,160.0,160.0,38.0,2012,4,29,6
23,洋香瓜-其他,W0,160.0,100.0,台中市,400,140.6,135.0,54.0,2012,5,1,1
24,洋香瓜-其他,W0,160.0,160.0,台中市,400,160.0,160.0,52.0,2012,5,2,2
25,洋香瓜-其他,W0,160.0,160.0,台中市,400,160.0,160.0,67.0,2012,5,3,3
26,洋香瓜-其他,W0,175.0,150.0,台中市,400,156.6,160.0,67.0,2012,5,4,4
27,洋香瓜-其他,W0,170.0,160.0,台中市,400,167.0,170.0,81.0,2012,5,5,5
28,洋香瓜-其他,W0,160.0,150.0,台中市,400,157.4,160.0,54.0,2012,5,6,6
29,洋香瓜-其他,W0,170.0,160.0,台中市,400,165.2,165.0,83.0,2012,5,8,1
30,洋香瓜-其他,W0,195.0,150.0,台中市,400,175.0,172.5,90.0,2012,5,9,2
31,洋香瓜-其他,W0,195.0,155.0,台中市,400,177.2,180.0,86.0,2012,5,10,3
32,洋香瓜-其他,W0,190.0,150.0,台中市,400,168.1,158.3,88.0,2012,5,11,4
33,洋香瓜-其他,W0,180.0,155.0,台中市,400,168.2,167.5,85.0,2012,5,12,5
34,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,49.0,2012,5,13,6
35,洋香瓜-其他,W0,165.0,110.0,台中市,400,126.0,120.0,77.0,2012,5,15,1
36,洋香瓜-其他,W0,125.0,70.0,台中市,400,93.8,70.0,37.0,2012,5,16,2
37,洋香瓜-其他,W0,110.0,100.0,台中市,400,103.6,105.0,25.0,2012,5,17,3
38,洋香瓜-其他,W0,130.0,130.0,台中市,400,130.0,130.0,40.0,2012,5,23,2
39,洋香瓜-其他,W0,100.0,100.0,台中市,400,100.0,100.0,35.0,2012,5,24,3
40,洋香瓜-其他,W0,100.0,100.0,台中市,400,100.0,100.0,32.0,2012,5,25,4
41,洋香瓜-其他,W0,100.0,100.0,台中市,400,100.0,100.0,35.0,2012,5,26,5
42,洋香瓜-其他,W0,100.0,100.0,台中市,400,100.0,100.0,50.0,2012,5,29,1
43,洋香瓜-其他,W0,80.0,80.0,台中市,400,80.0,80.0,32.0,2012,5,31,3
44,洋香瓜-其他,W0,60.0,57.5,台中市,400,59.5,60.0,75.0,2012,6,8,4
45,洋香瓜-其他,W0,140.0,130.0,台中市,400,133.3,135.0,33.0,2012,6,12,1
46,洋香瓜-其他,W0,100.0,100.0,台中市,400,100.0,100.0,57.0,2012,6,14,3
47,洋香瓜-其他,W0,100.0,60.0,台中市,400,65.0,85.0,72.0,2012,6,15,4
48,洋香瓜-其他,W0,50.0,50.0,台中市,400,50.0,50.0,34.0,2012,6,16,5
49,洋香瓜-其他,W0,135.0,135.0,台中市,400,135.0,135.0,50.0,2012,12,14,4
50,洋香瓜-其他,W0,70.0,70.0,台中市,400,70.0,70.0,38.0,2012,12,21,4
51,洋香瓜-其他,W0,50.0,40.0,台中市,400,47.0,45.0,69.0,2012,12,22,5
52,洋香瓜-其他,W0,40.0,30.0,台中市,400,36.7,40.0,98.0,2012,12,23,6
53,洋香瓜-其他,W0,40.0,40.0,台中市,400,40.0,40.0,29.0,2012,12,25,1
54,洋香瓜-其他,W0,60.0,50.0,台中市,400,54.0,55.0,45.0,2012,12,26,2
55,洋香瓜-其他,W0,48.0,40.0,台中市,400,41.5,44.0,88.0,2012,12,27,3
