,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,雜柑-桔子,F4,20.0,7.0,台中市,400,18.7,18.3,292.0,2012,1,1,6
1,雜柑-桔子,F4,25.0,12.3,台中市,400,21.1,19.0,1534.0,2012,1,3,1
2,雜柑-桔子,F4,22.5,10.0,台中市,400,17.4,17.0,727.0,2012,1,4,2
3,雜柑-桔子,F4,25.0,12.5,台中市,400,19.8,17.5,345.0,2012,1,5,3
4,雜柑-桔子,F4,22.5,12.5,台中市,400,18.7,18.3,814.0,2012,1,6,4
5,雜柑-桔子,F4,25.0,15.0,台中市,400,18.6,18.3,420.0,2012,1,7,5
6,雜柑-桔子,F4,22.5,7.5,台中市,400,15.0,16.2,1117.0,2012,1,8,6
7,雜柑-桔子,F4,25.0,15.0,台中市,400,19.4,18.3,312.0,2012,1,10,1
8,雜柑-桔子,F4,25.0,20.0,台中市,400,24.0,25.0,234.0,2012,1,11,2
9,雜柑-桔子,F4,30.0,20.0,台中市,400,24.4,25.0,192.0,2012,1,12,3
10,雜柑-桔子,F4,25.0,20.0,台中市,400,23.5,25.0,648.0,2012,1,13,4
11,雜柑-桔子,F4,30.0,12.5,台中市,400,22.5,21.7,784.0,2012,1,14,5
12,雜柑-桔子,F4,30.0,20.0,台中市,400,26.3,28.3,360.0,2012,1,15,6
13,雜柑-桔子,F4,33.0,20.0,台中市,400,28.1,30.0,456.0,2012,1,17,1
14,雜柑-桔子,F4,33.0,16.0,台中市,400,30.0,31.0,260.0,2012,1,18,2
15,雜柑-桔子,F4,50.0,5.0,台中市,400,47.2,24.0,965.0,2012,1,19,3
16,雜柑-桔子,F4,50.0,30.0,台中市,400,47.7,47.5,828.0,2012,1,20,4
17,雜柑-桔子,F4,45.0,30.0,台中市,400,36.2,36.7,1476.0,2012,1,21,5
18,雜柑-桔子,F4,40.0,30.0,台中市,400,31.3,35.0,192.0,2012,1,22,6
19,雜柑-桔子,F4,45.0,12.5,台中市,400,26.4,30.0,432.0,2012,1,28,5
20,雜柑-桔子,F4,50.0,10.0,台中市,400,32.4,35.0,552.0,2012,1,29,6
21,雜柑-桔子,F4,47.5,10.0,台中市,400,33.1,28.0,504.0,2012,1,30,0
22,雜柑-桔子,F4,50.0,15.0,台中市,400,36.0,37.5,480.0,2012,2,1,2
23,雜柑-桔子,F4,47.5,11.0,台中市,400,35.1,32.0,772.0,2012,2,2,3
24,雜柑-桔子,F4,45.0,27.5,台中市,400,37.2,40.0,216.0,2012,2,3,4
25,雜柑-桔子,F4,40.0,15.0,台中市,400,31.2,28.3,322.0,2012,2,4,5
26,雜柑-桔子,F4,40.0,20.0,台中市,400,28.0,33.0,216.0,2012,2,5,6
27,雜柑-桔子,F4,37.5,10.0,台中市,400,23.2,16.0,237.0,2012,2,6,0
28,雜柑-桔子,F4,42.5,25.0,台中市,400,37.3,38.3,409.0,2012,2,9,3
29,雜柑-桔子,F4,42.5,25.0,台中市,400,32.2,40.0,260.0,2012,2,10,4
30,雜柑-桔子,F4,47.5,10.0,台中市,400,29.8,36.7,466.0,2012,2,11,5
31,雜柑-桔子,F4,50.0,10.0,台中市,400,32.1,40.0,726.0,2012,2,12,6
32,雜柑-桔子,F4,45.0,12.5,台中市,400,30.1,30.0,824.0,2012,2,14,1
33,雜柑-桔子,F4,50.0,26.0,台中市,400,43.4,43.3,465.0,2012,2,15,2
34,雜柑-桔子,F4,50.0,20.0,台中市,400,37.7,43.3,312.0,2012,2,16,3
35,雜柑-桔子,F4,50.0,40.0,台中市,400,48.0,50.0,120.0,2012,2,17,4
36,雜柑-桔子,F4,65.0,20.0,台中市,400,48.3,46.7,210.0,2012,2,18,5
37,雜柑-桔子,F4,75.0,50.0,台中市,400,63.3,63.3,480.0,2012,2,19,6
38,雜柑-桔子,F4,70.0,25.0,台中市,400,42.5,38.3,240.0,2012,2,21,1
39,雜柑-桔子,F4,72.5,35.0,台中市,400,54.0,65.0,229.0,2012,2,22,2
40,雜柑-桔子,F4,80.0,35.0,台中市,400,63.5,75.0,618.0,2012,2,23,3
41,雜柑-桔子,F4,80.0,30.0,台中市,400,58.3,70.0,432.0,2012,2,24,4
42,雜柑-桔子,F4,80.0,35.0,台中市,400,59.3,65.0,648.0,2012,2,25,5
43,雜柑-桔子,F4,75.0,50.0,台中市,400,63.4,68.3,540.0,2012,2,26,6
44,雜柑-桔子,F4,72.5,34.0,台中市,400,66.1,62.5,1032.0,2012,2,28,1
45,雜柑-桔子,F4,75.0,30.0,台中市,400,50.7,55.0,885.0,2012,2,29,2
46,雜柑-桔子,F4,70.0,3.0,台中市,400,38.5,48.3,392.0,2012,3,1,3
47,雜柑-桔子,F4,70.0,30.0,台中市,400,45.5,57.5,240.0,2012,3,2,4
48,雜柑-桔子,F4,65.0,30.0,台中市,400,48.6,60.0,168.0,2012,3,3,5
49,雜柑-桔子,F4,55.0,30.0,台中市,400,42.3,50.0,312.0,2012,3,4,6
50,雜柑-桔子,F4,65.0,20.0,台中市,400,45.4,45.0,312.0,2012,3,6,1
51,雜柑-桔子,F4,70.0,30.0,台中市,400,53.7,65.0,214.0,2012,3,7,2
52,雜柑-桔子,F4,70.0,30.0,台中市,400,54.0,63.3,240.0,2012,3,8,3
53,雜柑-桔子,F4,72.5,60.0,台中市,400,67.5,62.5,342.0,2012,3,9,4
54,雜柑-桔子,F4,70.0,30.0,台中市,400,50.7,65.0,168.0,2012,3,10,5
55,雜柑-桔子,F4,77.5,50.0,台中市,400,67.0,70.0,672.0,2012,3,11,6
56,雜柑-桔子,F4,80.0,30.0,台中市,400,65.0,70.0,144.0,2012,3,13,1
57,雜柑-桔子,F4,80.0,40.0,台中市,400,62.9,80.0,336.0,2012,3,14,2
58,雜柑-桔子,F4,85.0,50.0,台中市,400,53.5,75.0,342.0,2012,3,15,3
59,雜柑-桔子,F4,80.0,40.0,台中市,400,47.1,60.0,372.0,2012,3,16,4
60,雜柑-桔子,F4,80.0,45.0,台中市,400,61.8,70.0,408.0,2012,3,17,5
61,雜柑-桔子,F4,75.0,35.0,台中市,400,60.4,56.7,600.0,2012,3,18,6
62,雜柑-桔子,F4,80.0,35.0,台中市,400,68.2,72.5,600.0,2012,3,20,1
63,雜柑-桔子,F4,80.0,40.0,台中市,400,59.2,72.5,462.0,2012,3,21,2
64,雜柑-桔子,F4,80.0,65.0,台中市,400,73.6,80.0,168.0,2012,3,22,3
65,雜柑-桔子,F4,75.0,50.0,台中市,400,62.0,65.0,542.0,2012,3,23,4
66,雜柑-桔子,F4,70.0,70.0,台中市,400,70.0,70.0,24.0,2012,3,24,5
67,雜柑-桔子,F4,70.0,70.0,台中市,400,70.0,70.0,168.0,2012,3,25,6
68,雜柑-桔子,F4,80.0,40.0,台中市,400,49.5,70.0,164.0,2012,3,27,1
69,雜柑-桔子,F4,80.0,40.0,台中市,400,65.0,70.0,96.0,2012,3,28,2
70,雜柑-桔子,F4,80.0,40.0,台中市,400,60.5,70.0,228.0,2012,3,29,3
71,雜柑-桔子,F4,80.0,50.0,台中市,400,67.3,60.0,264.0,2012,3,30,4
72,雜柑-桔子,F4,80.0,55.0,台中市,400,68.4,70.0,228.0,2012,3,31,5
73,雜柑-桔子,F4,80.0,40.0,台中市,400,70.0,80.0,192.0,2012,4,1,6
