,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,木瓜-日昇種,I3,40.0,20.7,台北一,109,30.7,31.0,696.0,2012,1,1,6
1,木瓜-日昇種,I3,40.0,23.1,台北一,109,32.4,32.9,888.0,2012,1,3,1
2,木瓜-日昇種,I3,40.6,13.6,台北一,109,28.0,28.6,1068.0,2012,1,4,2
3,木瓜-日昇種,I3,40.5,22.3,台北一,109,32.2,32.7,768.0,2012,1,5,3
4,木瓜-日昇種,I3,45.0,25.0,台北一,109,33.4,32.3,60.0,2012,1,6,4
5,木瓜-日昇種,I3,45.6,25.5,台北一,109,36.5,37.2,738.0,2012,1,7,5
6,木瓜-日昇種,I3,45.0,35.0,台北一,109,40.6,41.0,210.0,2012,1,8,6
7,木瓜-日昇種,I3,51.4,30.0,台北一,109,42.2,43.2,222.0,2012,1,10,1
8,木瓜-日昇種,I3,48.4,12.2,台北一,109,32.3,33.6,576.0,2012,1,11,2
9,木瓜-日昇種,I3,45.3,26.6,台北一,109,35.9,35.8,438.0,2012,1,12,3
10,木瓜-日昇種,I3,50.0,30.0,台北一,109,41.7,42.8,18.0,2012,1,13,4
11,木瓜-日昇種,I3,55.2,28.2,台北一,109,41.3,41.1,900.0,2012,1,14,5
12,木瓜-日昇種,I3,52.7,30.7,台北一,109,42.2,42.6,1008.0,2012,1,17,1
13,木瓜-日昇種,I3,14.6,10.0,台北一,109,11.2,10.5,150.0,2012,1,18,2
14,木瓜-日昇種,I3,54.2,29.6,台北一,109,41.3,41.0,612.0,2012,1,19,3
15,木瓜-日昇種,I3,54.1,15.0,台北一,109,37.4,39.3,660.0,2012,1,20,4
16,木瓜-日昇種,I3,55.4,15.0,台北一,109,32.3,30.4,774.0,2012,1,21,5
17,木瓜-日昇種,I3,55.0,33.1,台北一,109,47.7,50.1,492.0,2012,1,28,5
18,木瓜-日昇種,I3,55.9,27.9,台北一,109,45.1,47.3,696.0,2012,1,29,6
19,木瓜-日昇種,I3,61.7,35.1,台北一,109,50.3,51.6,438.0,2012,1,30,0
20,木瓜-日昇種,I3,60.0,50.0,台北一,109,55.8,56.3,78.0,2012,2,1,2
21,木瓜-日昇種,I3,60.0,30.0,台北一,109,48.0,50.0,228.0,2012,2,2,3
22,木瓜-日昇種,I3,61.7,35.4,台北一,109,50.7,52.0,690.0,2012,2,4,5
23,木瓜-日昇種,I3,65.8,29.7,台北一,109,49.9,51.4,364.0,2012,2,5,6
24,木瓜-日昇種,I3,74.0,63.0,台北一,109,69.0,69.3,42.0,2012,2,9,3
25,木瓜-日昇種,I3,73.5,28.4,台北一,109,52.7,53.9,729.0,2012,2,11,5
26,木瓜-日昇種,I3,75.0,25.6,台北一,109,56.5,60.6,702.0,2012,2,12,6
27,木瓜-日昇種,I3,74.5,23.5,台北一,109,50.9,52.1,798.0,2012,2,14,1
28,木瓜-日昇種,I3,67.3,47.7,台北一,109,58.5,59.2,192.0,2012,2,15,2
29,木瓜-日昇種,I3,75.0,38.1,台北一,109,63.5,68.1,78.0,2012,2,16,3
30,木瓜-日昇種,I3,70.0,52.7,台北一,109,62.3,63.0,192.0,2012,2,17,4
31,木瓜-日昇種,I3,74.2,35.0,台北一,109,51.5,49.4,319.0,2012,2,18,5
32,木瓜-日昇種,I3,75.7,44.1,台北一,109,61.5,62.5,630.0,2012,2,21,1
33,木瓜-日昇種,I3,80.0,47.9,台北一,109,65.6,66.7,252.0,2012,2,22,2
34,木瓜-日昇種,I3,85.0,83.0,台北一,109,84.0,84.0,54.0,2012,2,24,4
35,木瓜-日昇種,I3,90.0,48.5,台北一,109,71.5,72.9,288.0,2012,2,25,5
36,木瓜-日昇種,I3,73.0,73.0,台北一,109,73.0,73.0,24.0,2012,2,26,6
37,木瓜-日昇種,I3,80.0,21.8,台北一,109,60.4,66.7,328.0,2012,2,28,1
38,木瓜-日昇種,I3,33.4,21.0,台北一,109,23.5,21.0,119.0,2012,2,29,2
39,木瓜-日昇種,I3,91.8,28.0,台北一,109,54.6,51.1,270.0,2012,3,1,3
40,木瓜-日昇種,I3,78.3,51.7,台北一,109,63.3,62.2,180.0,2012,3,2,4
41,木瓜-日昇種,I3,83.4,44.3,台北一,109,64.4,64.7,555.0,2012,3,3,5
42,木瓜-日昇種,I3,72.7,18.9,台北一,109,32.2,23.1,222.0,2012,3,4,6
43,木瓜-日昇種,I3,89.0,15.4,台北一,109,50.3,49.0,690.0,2012,3,6,1
44,木瓜-日昇種,I3,90.7,59.3,台北一,109,74.4,73.9,340.0,2012,3,7,2
45,木瓜-日昇種,I3,87.7,49.3,台北一,109,72.2,74.7,438.0,2012,3,8,3
46,木瓜-日昇種,I3,50.8,19.0,台北一,109,27.5,22.6,540.0,2012,3,9,4
47,木瓜-日昇種,I3,92.8,52.5,台北一,109,75.2,76.9,455.0,2012,3,10,5
48,木瓜-日昇種,I3,93.9,54.8,台北一,109,76.9,78.7,192.0,2012,3,11,6
49,木瓜-日昇種,I3,89.9,22.5,台北一,109,51.6,48.6,336.0,2012,3,13,1
50,木瓜-日昇種,I3,80.0,60.0,台北一,109,71.6,72.6,63.0,2012,3,14,2
51,木瓜-日昇種,I3,81.2,46.7,台北一,109,63.1,62.5,366.0,2012,3,15,3
