,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-雪梨,OW,80.0,19.9,台北一,109,47.8,46.4,13393.0,2012,1,1,6
1,梨-雪梨,OW,80.0,26.5,台北一,109,51.2,49.8,17695.0,2012,1,3,1
2,梨-雪梨,OW,80.0,25.2,台北一,109,48.3,45.5,11269.0,2012,1,4,2
3,梨-雪梨,OW,74.0,18.6,台北一,109,40.4,36.5,7304.0,2012,1,5,3
4,梨-雪梨,OW,80.0,21.3,台北一,109,48.6,47.2,11070.0,2012,1,6,4
5,梨-雪梨,OW,78.4,18.7,台北一,109,41.6,37.0,25627.0,2012,1,7,5
6,梨-雪梨,OW,80.0,21.0,台北一,109,43.7,39.2,10594.0,2012,1,8,6
7,梨-雪梨,OW,75.8,17.4,台北一,109,40.2,36.0,11681.0,2012,1,10,1
8,梨-雪梨,OW,81.1,26.5,台北一,109,44.1,37.7,8182.0,2012,1,11,2
9,梨-雪梨,OW,82.5,23.5,台北一,109,53.4,53.7,10187.0,2012,1,12,3
10,梨-雪梨,OW,87.5,23.9,台北一,109,59.3,61.6,10895.0,2012,1,13,4
11,梨-雪梨,OW,87.9,21.2,台北一,109,49.4,46.0,13157.0,2012,1,14,5
12,梨-雪梨,OW,92.5,20.2,台北一,109,51.1,47.5,8507.0,2012,1,15,6
13,梨-雪梨,OW,85.0,15.6,台北一,109,47.5,45.6,16279.0,2012,1,17,1
14,梨-雪梨,OW,85.9,20.9,台北一,109,48.0,44.5,12202.0,2012,1,18,2
15,梨-雪梨,OW,86.5,24.5,台北一,109,51.7,49.1,11215.0,2012,1,19,3
16,梨-雪梨,OW,85.2,22.3,台北一,109,46.9,42.4,19407.0,2012,1,20,4
17,梨-雪梨,OW,100.0,28.7,台北一,109,61.4,59.5,7600.0,2012,1,21,5
18,梨-雪梨,OW,85.0,30.0,台北一,109,55.2,53.7,1141.0,2012,1,22,6
19,梨-雪梨,OW,65.9,24.7,台北一,109,43.1,41.7,1187.0,2012,1,28,5
20,梨-雪梨,OW,70.0,29.9,台北一,109,51.4,52.4,1680.0,2012,1,29,6
21,梨-雪梨,OW,61.3,26.4,台北一,109,37.1,32.7,1412.0,2012,1,30,0
22,梨-雪梨,OW,75.9,20.0,台北一,109,42.6,39.1,3926.0,2012,2,1,2
23,梨-雪梨,OW,58.2,25.5,台北一,109,38.7,36.5,2068.0,2012,2,2,3
24,梨-雪梨,OW,39.3,19.9,台北一,109,28.7,28.2,1996.0,2012,2,3,4
25,梨-雪梨,OW,48.4,21.1,台北一,109,32.6,31.2,2766.0,2012,2,4,5
26,梨-雪梨,OW,59.3,34.3,台北一,109,43.1,40.6,872.0,2012,2,5,6
27,梨-雪梨,OW,66.2,27.6,台北一,109,46.1,45.6,1541.0,2012,2,6,0
28,梨-雪梨,OW,59.9,25.0,台北一,109,37.7,34.5,2512.0,2012,2,9,3
29,梨-雪梨,OW,56.5,14.7,台北一,109,38.0,39.5,2910.0,2012,2,10,4
30,梨-雪梨,OW,53.3,16.1,台北一,109,36.4,37.5,3589.0,2012,2,11,5
31,梨-雪梨,OW,48.0,25.3,台北一,109,36.6,36.5,2197.0,2012,2,12,6
32,梨-雪梨,OW,53.2,19.3,台北一,109,32.8,30.5,3091.0,2012,2,14,1
33,梨-雪梨,OW,51.4,21.6,台北一,109,32.2,29.4,2182.0,2012,2,15,2
34,梨-雪梨,OW,55.2,27.6,台北一,109,40.6,40.0,2508.0,2012,2,16,3
35,梨-雪梨,OW,60.0,44.1,台北一,109,51.9,51.9,1394.0,2012,2,17,4
36,梨-雪梨,OW,54.3,20.8,台北一,109,38.4,38.9,3802.0,2012,2,18,5
37,梨-雪梨,OW,52.2,15.0,台北一,109,30.3,28.1,2701.0,2012,2,19,6
38,梨-雪梨,OW,63.4,18.1,台北一,109,31.7,25.7,3748.0,2012,2,21,1
39,梨-雪梨,OW,58.6,21.6,台北一,109,38.2,37.0,3274.0,2012,2,22,2
40,梨-雪梨,OW,64.7,30.8,台北一,109,47.7,47.7,1441.0,2012,2,23,3
41,梨-雪梨,OW,51.2,22.1,台北一,109,36.7,36.8,762.0,2012,2,24,4
42,梨-雪梨,OW,49.2,20.0,台北一,109,35.6,36.3,419.0,2012,2,25,5
43,梨-雪梨,OW,55.4,25.0,台北一,109,42.9,44.7,684.0,2012,2,26,6
44,梨-雪梨,OW,55.2,25.0,台北一,109,38.7,37.8,1569.0,2012,2,28,1
45,梨-雪梨,OW,55.7,25.0,台北一,109,44.7,47.6,985.0,2012,2,29,2
46,梨-雪梨,OW,45.0,13.5,台北一,109,34.8,38.5,981.0,2012,3,1,3
47,梨-雪梨,OW,63.3,25.0,台北一,109,37.7,33.5,754.0,2012,3,2,4
48,梨-雪梨,OW,87.2,30.4,台北一,109,47.2,39.5,861.0,2012,3,3,5
