,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-其他,R0,105.0,50.0,台北一,109,75.2,73.7,44.0,2012,1,1,6
1,芒果-其他,R0,110.0,56.3,台北一,109,81.5,80.3,109.0,2012,1,3,1
2,芒果-其他,R0,111.8,50.0,台北一,109,77.9,75.9,33.0,2012,1,4,2
3,芒果-其他,R0,120.0,60.0,台北一,109,83.4,79.0,50.0,2012,1,5,3
4,芒果-其他,R0,115.0,60.0,台北一,109,87.1,86.9,47.0,2012,1,6,4
5,芒果-其他,R0,110.0,60.0,台北一,109,93.7,99.5,35.0,2012,1,7,5
6,芒果-其他,R0,120.0,61.8,台北一,109,94.7,97.2,62.0,2012,1,8,6
7,芒果-其他,R0,110.0,50.3,台北一,109,83.3,85.5,48.0,2012,1,10,1
8,芒果-其他,R0,120.2,70.9,台北一,109,92.7,90.9,62.0,2012,1,11,2
9,芒果-其他,R0,120.0,77.5,台北一,109,100.7,102.0,57.0,2012,1,12,3
10,芒果-其他,R0,100.0,90.0,台北一,109,96.0,96.7,25.0,2012,1,13,4
11,芒果-其他,R0,105.0,95.0,台北一,109,100.2,100.3,25.0,2012,1,14,5
12,芒果-其他,R0,105.0,70.0,台北一,109,82.0,78.3,60.0,2012,1,15,6
13,芒果-其他,R0,100.0,70.0,台北一,109,76.9,71.5,65.0,2012,1,17,1
14,芒果-其他,R0,100.0,45.9,台北一,109,66.2,61.7,67.0,2012,1,18,2
15,芒果-其他,R0,60.0,60.0,台北一,109,60.0,60.0,15.0,2012,1,19,3
16,芒果-其他,R0,80.0,70.0,台北一,109,73.3,72.2,15.0,2012,1,20,4
17,芒果-其他,R0,110.0,58.2,台北一,109,82.9,82.2,102.0,2012,1,21,5
18,芒果-其他,R0,71.3,53.8,台北一,109,62.8,63.0,48.0,2012,1,22,6
19,芒果-其他,R0,126.9,80.0,台北一,109,103.9,104.2,130.0,2012,1,28,5
20,芒果-其他,R0,80.0,80.0,台北一,109,80.0,80.0,6.0,2012,1,29,6
21,芒果-其他,R0,125.2,70.0,台北一,109,96.0,94.9,116.0,2012,1,30,0
22,芒果-其他,R0,100.0,60.3,台北一,109,81.3,82.1,145.0,2012,2,1,2
23,芒果-其他,R0,128.6,65.0,台北一,109,99.3,101.0,105.0,2012,2,2,3
24,芒果-其他,R0,81.0,40.0,台北一,109,51.0,44.6,168.0,2012,2,3,4
25,芒果-其他,R0,104.6,59.1,台北一,109,88.6,93.2,66.0,2012,2,4,5
26,芒果-其他,R0,95.9,40.0,台北一,109,63.5,60.5,205.0,2012,2,5,6
27,芒果-其他,R0,103.6,50.0,台北一,109,75.5,74.6,66.0,2012,2,6,0
28,芒果-其他,R0,0.0,0.0,台北一,109,44.9689119170984,44.9689119170984,386.0,2012,2,9,3
29,芒果-其他,R0,110.0,54.0,台北一,109,81.7,81.5,52.0,2012,2,10,4
30,芒果-其他,R0,110.0,37.3,台北一,109,78.1,81.0,78.0,2012,2,11,5
31,芒果-其他,R0,95.0,70.9,台北一,109,83.6,84.1,66.0,2012,2,12,6
32,芒果-其他,R0,100.0,100.0,台北一,109,100.0,100.0,28.0,2012,2,14,1
33,芒果-其他,R0,55.0,45.0,台北一,109,49.4,49.1,27.0,2012,2,15,2
34,芒果-其他,R0,147.8,50.4,台北一,109,94.5,91.4,162.0,2012,2,16,3
35,芒果-其他,R0,135.0,60.0,台北一,109,95.2,93.7,150.0,2012,2,17,4
36,芒果-其他,R0,135.0,58.7,台北一,109,94.2,92.5,115.0,2012,2,18,5
37,芒果-其他,R0,130.0,58.4,台北一,109,88.9,85.4,157.0,2012,2,19,6
38,芒果-其他,R0,113.2,50.0,台北一,109,69.9,62.1,181.0,2012,2,21,1
39,芒果-其他,R0,135.0,75.0,台北一,109,94.2,87.1,78.0,2012,2,22,2
40,芒果-其他,R0,110.0,65.0,台北一,109,95.7,101.2,84.0,2012,2,23,3
41,芒果-其他,R0,140.0,59.9,台北一,109,86.6,77.7,73.0,2012,2,24,4
42,芒果-其他,R0,104.7,50.6,台北一,109,71.1,66.7,266.0,2012,2,25,5
43,芒果-其他,R0,100.0,43.8,台北一,109,76.5,79.6,117.0,2012,2,26,6
