,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,西瓜-秀鈴,T7,28.0,21.4,台北一,109,25.5,26.1,476.0,2012,3,2,4
1,西瓜-秀鈴,T7,29.9,21.0,台北一,109,24.6,24.0,1067.0,2012,3,3,5
2,西瓜-秀鈴,T7,22.4,20.0,台北一,109,21.3,21.4,628.0,2012,3,4,6
3,西瓜-秀鈴,T7,30.0,24.4,台北一,109,27.8,28.2,600.0,2012,3,6,1
4,西瓜-秀鈴,T7,28.7,19.3,台北一,109,24.1,24.1,1121.0,2012,3,7,2
5,西瓜-秀鈴,T7,28.0,17.7,台北一,109,23.5,23.9,606.0,2012,3,8,3
6,西瓜-秀鈴,T7,27.2,20.0,台北一,109,24.4,24.9,947.0,2012,3,9,4
7,西瓜-秀鈴,T7,23.8,16.0,台北一,109,21.2,22.1,875.0,2012,3,10,5
8,西瓜-秀鈴,T7,22.0,22.0,台北一,109,22.0,22.0,105.0,2012,3,11,6
9,西瓜-秀鈴,T7,26.0,15.0,台北一,109,22.9,24.5,422.0,2012,3,14,2
10,西瓜-秀鈴,T7,24.8,16.7,台北一,109,21.0,21.2,848.0,2012,3,15,3
11,西瓜-秀鈴,T7,26.0,18.2,台北一,109,22.4,22.6,1065.0,2012,3,16,4
12,西瓜-秀鈴,T7,23.4,18.0,台北一,109,21.2,21.6,1051.0,2012,3,17,5
13,西瓜-秀鈴,T7,25.0,21.5,台北一,109,22.8,22.6,568.0,2012,3,18,6
14,西瓜-秀鈴,T7,27.0,25.0,台北一,109,26.4,26.7,746.0,2012,3,20,1
15,西瓜-秀鈴,T7,25.7,14.5,台北一,109,21.7,22.7,1033.0,2012,3,21,2
16,西瓜-秀鈴,T7,25.7,18.7,台北一,109,23.0,23.5,996.0,2012,3,22,3
17,西瓜-秀鈴,T7,13.0,10.0,台北一,109,11.0,10.7,54.0,2012,3,25,6
18,西瓜-秀鈴,T7,24.1,15.8,台北一,109,18.8,18.0,2350.0,2012,3,27,1
19,西瓜-秀鈴,T7,25.0,16.6,台北一,109,21.6,22.1,666.0,2012,3,30,4
20,西瓜-秀鈴,T7,20.0,20.0,台北一,109,20.0,20.0,1524.0,2012,3,31,5
21,西瓜-秀鈴,T7,27.6,24.2,台北一,109,26.4,26.7,1038.0,2012,4,1,6
22,西瓜-秀鈴,T7,25.8,15.0,台北一,109,18.5,17.2,3699.0,2012,4,2,0
23,西瓜-秀鈴,T7,28.0,23.2,台北一,109,26.5,27.1,1543.0,2012,4,3,1
24,西瓜-秀鈴,T7,24.8,17.7,台北一,109,22.5,23.4,2002.0,2012,4,6,4
25,西瓜-秀鈴,T7,22.7,18.0,台北一,109,20.0,19.8,4352.0,2012,4,7,5
26,西瓜-秀鈴,T7,20.3,14.4,台北一,109,16.1,15.3,5041.0,2012,4,10,1
