,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,鳳梨-其他,B0,30.0,25.3,台北一,109,28.3,28.7,145.0,2012,6,19,1
1,鳳梨-其他,B0,10.0,10.0,台北一,109,10.0,10.0,102.0,2012,6,21,3
2,鳳梨-其他,B0,32.7,12.0,台北一,109,19.1,17.0,520.0,2012,6,26,1
3,鳳梨-其他,B0,22.0,18.3,台北一,109,21.3,22.0,291.0,2012,6,30,5
4,鳳梨-其他,B0,36.0,13.7,台北一,109,25.6,26.2,310.0,2012,7,7,5
5,鳳梨-其他,B0,32.0,20.0,台北一,109,26.4,26.7,944.0,2012,7,8,6
6,鳳梨-其他,B0,24.5,22.0,台北一,109,22.6,22.1,683.0,2012,7,10,1
7,鳳梨-其他,B0,21.0,21.0,台北一,109,21.0,21.0,156.0,2012,7,11,2
8,鳳梨-其他,B0,20.0,15.0,台北一,109,18.9,19.7,65.0,2012,7,15,6
9,鳳梨-其他,B0,25.0,25.0,台北一,109,25.0,25.0,193.0,2012,7,17,1
10,鳳梨-其他,B0,25.0,23.5,台北一,109,24.7,25.0,206.0,2012,7,18,2
11,鳳梨-其他,B0,33.0,30.0,台北一,109,32.3,32.8,347.0,2012,7,19,3
12,鳳梨-其他,B0,15.0,15.0,台北一,109,15.0,15.0,26.0,2012,7,20,4
13,鳳梨-其他,B0,12.0,12.0,台北一,109,12.0,12.0,74.0,2012,7,21,5
14,鳳梨-其他,B0,28.0,24.1,台北一,109,26.0,25.9,187.0,2012,7,25,2
15,鳳梨-其他,B0,22.0,15.0,台北一,109,18.4,18.3,75.0,2012,7,31,1
16,鳳梨-其他,B0,15.0,15.0,台北一,109,15.0,15.0,204.0,2012,8,2,3
17,鳳梨-其他,B0,15.0,15.0,台北一,109,15.0,15.0,306.0,2012,8,12,6
18,鳳梨-其他,B0,15.0,15.0,台北一,109,15.0,15.0,23.0,2012,8,14,1
19,鳳梨-其他,B0,42.0,38.0,台北一,109,39.9,39.9,124.0,2012,9,28,4
20,鳳梨-其他,B0,40.0,40.0,台北一,109,40.0,40.0,90.0,2012,9,29,5
21,鳳梨-其他,B0,38.0,38.0,台北一,109,38.0,38.0,60.0,2012,10,3,2
22,鳳梨-其他,B0,30.0,30.0,台北一,109,30.0,30.0,35.0,2012,10,5,4
23,鳳梨-其他,B0,25.0,25.0,台北一,109,25.0,25.0,102.0,2012,10,9,1
24,鳳梨-其他,B0,25.0,21.1,台北一,109,24.2,25.0,78.0,2012,10,16,1
25,鳳梨-其他,B0,28.0,20.0,台北一,109,26.0,27.3,86.0,2012,10,24,2
26,鳳梨-其他,B0,22.0,15.0,台北一,109,17.3,16.5,310.0,2012,11,14,2
27,鳳梨-其他,B0,32.0,32.0,台北一,109,32.0,32.0,42.0,2013,1,25,4
28,鳳梨-其他,B0,17.0,17.0,台北一,109,17.0,17.0,40.0,2013,1,26,5
29,鳳梨-其他,B0,30.0,30.0,台北一,109,30.0,30.0,39.0,2013,1,27,6
30,鳳梨-其他,B0,20.0,20.0,台北一,109,20.0,20.0,12.0,2013,5,12,6
31,鳳梨-其他,B0,25.9,19.7,台北一,109,22.4,22.0,281.0,2013,5,22,2
32,鳳梨-其他,B0,25.8,23.0,台北一,109,24.6,24.7,778.0,2013,5,28,1
33,鳳梨-其他,B0,24.4,19.4,台北一,109,22.1,22.2,929.0,2013,5,29,2
34,鳳梨-其他,B0,20.0,20.0,台北一,109,20.0,20.0,574.0,2013,5,30,3
35,鳳梨-其他,B0,24.0,23.0,台北一,109,23.4,23.4,310.0,2013,6,1,5
36,鳳梨-其他,B0,25.0,22.0,台北一,109,22.6,22.0,180.0,2013,6,2,6
37,鳳梨-其他,B0,38.0,33.0,台北一,109,36.1,36.6,435.0,2013,6,4,1
38,鳳梨-其他,B0,35.0,27.0,台北一,109,32.9,34.2,864.0,2013,6,5,2
39,鳳梨-其他,B0,35.8,28.0,台北一,109,30.4,29.4,1021.0,2013,6,6,3
40,鳳梨-其他,B0,37.0,31.8,台北一,109,34.9,35.3,426.0,2013,6,7,4
41,鳳梨-其他,B0,35.0,30.0,台北一,109,33.1,33.6,805.0,2013,6,8,5
42,鳳梨-其他,B0,32.3,23.5,台北一,109,27.3,26.9,1587.0,2013,6,9,6
43,鳳梨-其他,B0,38.0,33.0,台北一,109,35.7,35.8,355.0,2013,6,11,1
44,鳳梨-其他,B0,35.0,25.0,台北一,109,29.1,28.5,204.0,2013,6,12,2
45,鳳梨-其他,B0,31.0,22.6,台北一,109,27.3,27.7,1916.0,2013,6,15,5
46,鳳梨-其他,B0,29.8,20.4,台北一,109,24.9,24.7,1887.0,2013,6,16,6
47,鳳梨-其他,B0,29.2,15.0,台北一,109,20.8,19.9,493.0,2013,6,18,1
48,鳳梨-其他,B0,22.0,15.0,台北一,109,19.8,20.7,160.0,2013,6,20,3
49,鳳梨-其他,B0,18.0,15.8,台北一,109,17.6,18.0,333.0,2013,6,21,4
50,鳳梨-其他,B0,30.0,23.8,台北一,109,28.1,28.9,748.0,2013,6,22,5
51,鳳梨-其他,B0,30.0,17.4,台北一,109,25.5,26.7,801.0,2013,6,25,1
52,鳳梨-其他,B0,23.4,18.3,台北一,109,21.7,22.3,1713.0,2013,6,26,2
53,鳳梨-其他,B0,21.0,18.0,台北一,109,18.9,18.5,1003.0,2013,6,27,3
54,鳳梨-其他,B0,25.0,21.0,台北一,109,22.8,22.6,711.0,2013,6,28,4
55,鳳梨-其他,B0,23.0,12.7,台北一,109,20.2,21.8,524.0,2013,6,29,5
56,鳳梨-其他,B0,22.0,20.0,台北一,109,21.4,21.6,186.0,2013,6,30,6
57,鳳梨-其他,B0,21.9,11.7,台北一,109,16.8,16.8,1438.0,2013,7,2,1
58,鳳梨-其他,B0,23.0,13.0,台北一,109,17.0,16.4,814.0,2013,7,3,2
59,鳳梨-其他,B0,22.4,13.0,台北一,109,17.2,16.9,1192.0,2013,7,4,3
60,鳳梨-其他,B0,26.0,21.0,台北一,109,23.0,22.7,554.0,2013,7,5,4
61,鳳梨-其他,B0,28.8,8.0,台北一,109,18.8,19.1,605.0,2013,7,6,5
