,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,木瓜-其他,I0,7.1,5.0,台北二,104,6.1,6.2,567.0,2013,12,17,1
1,木瓜-其他,I0,8.0,8.0,台北二,104,8.0,8.0,25.0,2014,3,27,3
2,木瓜-其他,I0,5.0,3.0,台北二,104,4.3,4.6,36.0,2014,9,11,3
3,木瓜-其他,I0,7.0,5.9,台北二,104,6.8,7.0,759.0,2014,9,28,6
4,木瓜-其他,I0,7.0,5.0,台北二,104,6.2,6.4,78.0,2014,10,1,2
5,木瓜-其他,I0,7.0,7.0,台北二,104,7.0,7.0,162.0,2014,10,2,3
6,木瓜-其他,I0,10.0,7.6,台北二,104,9.1,9.4,316.0,2014,10,3,4
7,木瓜-其他,I0,12.3,5.0,台北二,104,8.0,7.5,720.0,2014,10,5,6
8,木瓜-其他,I0,14.5,5.0,台北二,104,8.1,7.0,618.0,2014,10,7,1
9,木瓜-其他,I0,12.1,5.0,台北二,104,9.9,10.7,798.0,2014,10,8,2
10,木瓜-其他,I0,13.9,5.0,台北二,104,10.9,11.8,416.0,2014,10,9,3
11,木瓜-其他,I0,18.0,10.0,台北二,104,11.9,10.5,213.0,2014,10,12,6
12,木瓜-其他,I0,10.0,10.0,台北二,104,10.0,10.0,208.0,2014,10,14,1
13,木瓜-其他,I0,9.8,5.0,台北二,104,6.0,5.0,233.0,2014,10,15,2
14,木瓜-其他,I0,7.0,6.0,台北二,104,6.4,6.3,156.0,2014,10,16,3
15,木瓜-其他,I0,18.0,7.0,台北二,104,14.8,16.3,150.0,2014,10,17,4
16,木瓜-其他,I0,14.7,8.2,台北二,104,11.9,12.1,545.0,2014,10,18,5
17,木瓜-其他,I0,14.3,8.5,台北二,104,11.0,10.7,320.0,2014,10,19,6
18,木瓜-其他,I0,15.9,7.8,台北二,104,11.7,11.7,243.0,2014,10,21,1
19,木瓜-其他,I0,5.0,5.0,台北二,104,5.0,5.0,43.0,2014,10,22,2
20,木瓜-其他,I0,16.3,10.0,台北二,104,12.2,11.6,399.0,2014,10,23,3
21,木瓜-其他,I0,19.5,16.0,台北二,104,17.6,17.6,180.0,2014,10,24,4
22,木瓜-其他,I0,10.0,10.0,台北二,104,10.0,10.0,53.0,2014,10,26,6
23,木瓜-其他,I0,19.8,10.0,台北二,104,14.6,14.4,386.0,2014,10,28,1
24,木瓜-其他,I0,30.0,27.0,台北二,104,28.5,28.5,171.0,2014,10,29,2
25,木瓜-其他,I0,18.0,12.0,台北二,104,14.5,14.2,805.0,2014,10,30,3
26,木瓜-其他,I0,15.0,10.0,台北二,104,13.6,14.4,176.0,2014,10,31,4
27,木瓜-其他,I0,15.0,8.8,台北二,104,12.6,13.1,525.0,2014,11,1,5
28,木瓜-其他,I0,12.0,10.0,台北二,104,10.6,10.3,394.0,2014,11,2,6
29,木瓜-其他,I0,20.0,13.0,台北二,104,16.3,16.1,328.0,2014,11,4,1
30,木瓜-其他,I0,17.9,10.1,台北二,104,13.6,13.3,738.0,2014,11,5,2
31,木瓜-其他,I0,23.0,18.0,台北二,104,19.6,19.0,50.0,2014,11,6,3
32,木瓜-其他,I0,15.0,15.0,台北二,104,15.0,15.0,144.0,2014,11,7,4
33,木瓜-其他,I0,10.0,10.0,台北二,104,10.0,10.0,36.0,2014,11,8,5
34,木瓜-其他,I0,23.0,18.7,台北二,104,20.9,21.0,310.0,2014,11,9,6
35,木瓜-其他,I0,20.0,18.0,台北二,104,19.0,19.0,48.0,2014,11,11,1
36,木瓜-其他,I0,24.6,14.0,台北二,104,19.9,20.3,1088.0,2014,11,12,2
37,木瓜-其他,I0,22.0,20.0,台北二,104,20.4,20.1,140.0,2014,11,13,3
38,木瓜-其他,I0,23.3,15.7,台北二,104,19.7,19.9,250.0,2014,11,14,4
39,木瓜-其他,I0,15.1,7.6,台北二,104,9.3,8.0,216.0,2014,11,15,5
40,木瓜-其他,I0,26.0,25.0,台北二,104,25.5,25.5,19.0,2014,11,16,6
41,木瓜-其他,I0,28.1,25.0,台北二,104,25.6,25.0,160.0,2014,11,18,1
42,木瓜-其他,I0,27.5,22.1,台北二,104,24.6,24.4,230.0,2014,11,19,2
43,木瓜-其他,I0,27.9,19.7,台北二,104,24.5,25.0,811.0,2014,11,20,3
44,木瓜-其他,I0,28.0,20.7,台北二,104,24.5,24.5,130.0,2014,11,21,4
45,木瓜-其他,I0,30.0,20.0,台北二,104,26.4,27.4,430.0,2014,11,22,5
46,木瓜-其他,I0,29.7,16.4,台北二,104,22.4,21.9,404.0,2014,11,25,1
47,木瓜-其他,I0,33.6,28.9,台北二,104,30.8,30.4,92.0,2014,11,26,2
48,木瓜-其他,I0,29.0,16.5,台北二,104,21.4,21.4,920.0,2014,11,27,3
49,木瓜-其他,I0,20.0,15.0,台北二,104,18.2,18.6,119.0,2014,11,28,4
50,木瓜-其他,I0,15.0,7.2,台北二,104,11.8,12.2,108.0,2014,11,29,5
51,木瓜-其他,I0,20.0,20.0,台北二,104,20.0,20.0,70.0,2014,11,30,6
52,木瓜-其他,I0,33.2,8.0,台北二,104,20.1,19.8,528.0,2014,12,2,1
53,木瓜-其他,I0,34.5,10.3,台北二,104,27.5,30.9,322.0,2014,12,3,2
54,木瓜-其他,I0,26.5,24.0,台北二,104,25.1,25.0,312.0,2014,12,4,3
