,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,荔枝-其他,J0,65.0,65.0,台北二,104,65.0,65.0,48.0,2012,5,1,1
1,荔枝-其他,J0,150.0,150.0,台北二,104,150.0,150.0,24.0,2012,5,2,2
2,荔枝-其他,J0,120.0,94.3,台北二,104,103.4,100.9,53.0,2012,5,4,4
3,荔枝-其他,J0,90.0,70.0,台北二,104,80.0,80.0,60.0,2012,5,8,1
4,荔枝-其他,J0,48.5,45.0,台北二,104,45.7,45.0,130.0,2012,5,9,2
5,荔枝-其他,J0,43.0,43.0,台北二,104,43.0,43.0,126.0,2012,5,10,3
6,荔枝-其他,J0,50.0,50.0,台北二,104,50.0,50.0,30.0,2012,5,11,4
7,荔枝-其他,J0,56.2,40.1,台北二,104,48.0,48.0,122.0,2012,5,12,5
8,荔枝-其他,J0,46.8,40.0,台北二,104,42.0,41.1,125.0,2012,5,13,6
9,荔枝-其他,J0,56.7,37.2,台北二,104,45.6,44.8,150.0,2012,5,15,1
10,荔枝-其他,J0,40.0,35.0,台北二,104,37.5,37.5,106.0,2012,5,16,2
11,荔枝-其他,J0,40.0,40.0,台北二,104,40.0,40.0,13.0,2012,5,17,3
12,荔枝-其他,J0,40.0,30.0,台北二,104,36.9,38.2,78.0,2012,5,18,4
13,荔枝-其他,J0,35.0,35.0,台北二,104,35.0,35.0,16.0,2012,5,19,5
14,荔枝-其他,J0,30.0,30.0,台北二,104,30.0,30.0,20.0,2012,5,23,2
15,荔枝-其他,J0,40.0,30.1,台北二,104,35.8,36.2,172.0,2012,5,24,3
16,荔枝-其他,J0,38.0,25.0,台北二,104,30.0,29.0,219.0,2012,5,25,4
17,荔枝-其他,J0,26.0,24.2,台北二,104,25.6,26.0,167.0,2012,5,26,5
18,荔枝-其他,J0,25.0,20.0,台北二,104,23.1,23.5,314.0,2012,5,27,6
19,荔枝-其他,J0,26.0,20.0,台北二,104,22.7,22.6,292.0,2012,5,29,1
20,荔枝-其他,J0,30.0,21.0,台北二,104,27.7,29.2,141.0,2012,5,30,2
