,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-秋水梨,O2,25.0,25.0,台北二,104,25.0,25.0,238.0,2012,1,6,4
1,梨-秋水梨,O2,42.3,20.0,台北二,104,26.1,22.7,451.0,2012,1,8,6
2,梨-秋水梨,O2,45.0,39.7,台北二,104,43.5,44.2,481.0,2012,1,18,2
3,梨-秋水梨,O2,30.0,30.0,台北二,104,30.0,30.0,212.0,2012,4,7,5
4,梨-秋水梨,O2,65.0,50.0,台北二,104,57.5,57.5,56.0,2012,5,1,1
5,梨-秋水梨,O2,60.0,50.0,台北二,104,55.0,55.0,70.0,2012,5,2,2
6,梨-秋水梨,O2,59.7,22.0,台北二,104,35.5,32.0,106.0,2012,5,4,4
7,梨-秋水梨,O2,54.8,40.0,台北二,104,46.9,46.6,84.0,2012,5,5,5
8,梨-秋水梨,O2,56.1,16.8,台北二,104,37.2,37.7,980.0,2012,5,6,6
9,梨-秋水梨,O2,36.3,13.4,台北二,104,23.6,22.8,728.0,2012,5,8,1
10,梨-秋水梨,O2,39.1,14.6,台北二,104,26.4,26.1,442.0,2012,5,9,2
11,梨-秋水梨,O2,48.6,27.7,台北二,104,37.3,36.7,1410.0,2012,5,10,3
12,梨-秋水梨,O2,49.1,21.0,台北二,104,34.6,34.3,1438.0,2012,5,11,4
13,梨-秋水梨,O2,45.8,33.0,台北二,104,39.1,38.9,1716.0,2012,5,12,5
14,梨-秋水梨,O2,48.5,19.6,台北二,104,33.0,32.4,2257.0,2012,5,13,6
15,梨-秋水梨,O2,56.2,16.0,台北二,104,33.5,31.8,2312.0,2012,5,15,1
16,梨-秋水梨,O2,64.0,17.3,台北二,104,33.8,29.3,1586.0,2012,5,16,2
17,梨-秋水梨,O2,52.3,22.3,台北二,104,32.4,29.1,2552.0,2012,5,17,3
18,梨-秋水梨,O2,70.2,25.9,台北二,104,38.7,32.4,3184.0,2012,5,18,4
19,梨-秋水梨,O2,89.8,24.5,台北二,104,46.6,39.6,5457.0,2012,5,19,5
20,梨-秋水梨,O2,69.2,25.2,台北二,104,42.0,38.6,6495.0,2012,5,20,6
21,梨-秋水梨,O2,59.4,23.7,台北二,104,37.4,34.7,6424.0,2012,5,22,1
22,梨-秋水梨,O2,50.8,26.2,台北二,104,35.6,33.7,5627.0,2012,5,23,2
23,梨-秋水梨,O2,47.7,22.4,台北二,104,33.4,32.3,3709.0,2012,5,24,3
24,梨-秋水梨,O2,47.2,20.9,台北二,104,31.8,30.3,3763.0,2012,5,25,4
25,梨-秋水梨,O2,54.4,19.3,台北二,104,33.7,31.5,6820.0,2012,5,26,5
26,梨-秋水梨,O2,52.6,17.9,台北二,104,31.8,29.5,6216.0,2012,5,27,6
27,梨-秋水梨,O2,40.9,16.0,台北二,104,27.6,27.1,5829.0,2012,5,29,1
28,梨-秋水梨,O2,58.6,20.4,台北二,104,35.5,32.9,8192.0,2012,5,30,2
29,梨-秋水梨,O2,64.5,19.0,台北二,104,35.5,31.4,4050.0,2012,5,31,3
30,梨-秋水梨,O2,53.4,20.0,台北二,104,33.7,31.7,5960.0,2012,6,1,4
31,梨-秋水梨,O2,56.2,23.6,台北二,104,35.5,32.5,8324.0,2012,6,2,5
32,梨-秋水梨,O2,51.1,25.3,台北二,104,35.4,33.5,5334.0,2012,6,3,6
33,梨-秋水梨,O2,42.8,24.1,台北二,104,34.2,34.8,4473.0,2012,6,5,1
34,梨-秋水梨,O2,43.8,26.9,台北二,104,35.2,35.1,1642.0,2012,6,6,2
35,梨-秋水梨,O2,69.5,29.2,台北二,104,41.4,36.1,1646.0,2012,6,7,3
36,梨-秋水梨,O2,78.8,29.3,台北二,104,46.6,41.5,1466.0,2012,6,8,4
37,梨-秋水梨,O2,68.1,28.6,台北二,104,39.0,32.8,2007.0,2012,6,9,5
38,梨-秋水梨,O2,69.4,30.0,台北二,104,41.9,36.7,1892.0,2012,6,10,6
39,梨-秋水梨,O2,78.3,30.0,台北二,104,44.5,38.0,560.0,2012,6,12,1
40,梨-秋水梨,O2,79.7,48.1,台北二,104,61.1,59.2,332.0,2012,6,13,2
41,梨-秋水梨,O2,60.5,30.0,台北二,104,36.7,30.9,2058.0,2012,6,14,3
42,梨-秋水梨,O2,47.1,30.0,台北二,104,33.8,30.7,2854.0,2012,6,15,4
43,梨-秋水梨,O2,56.1,29.6,台北二,104,37.2,33.4,3804.0,2012,6,16,5
44,梨-秋水梨,O2,48.3,29.6,台北二,104,35.3,32.9,2737.0,2012,6,17,6
45,梨-秋水梨,O2,48.9,24.0,台北二,104,35.9,35.4,633.0,2012,6,19,1
46,梨-秋水梨,O2,40.0,20.0,台北二,104,33.1,35.2,101.0,2012,6,20,2
47,梨-秋水梨,O2,55.4,20.0,台北二,104,38.0,38.2,693.0,2012,6,21,3
48,梨-秋水梨,O2,40.3,18.9,台北二,104,28.6,28.0,483.0,2012,6,23,5
49,梨-秋水梨,O2,35.0,17.1,台北二,104,26.4,26.7,410.0,2012,6,26,1
