,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-進口,O9,58.4,48.9,台北二,104,50.8,48.9,535.0,2012,1,1,6
1,梨-進口,O9,92.2,45.2,台北二,104,67.8,67.2,3970.0,2012,1,3,1
2,梨-進口,O9,93.3,53.3,台北二,104,79.9,84.2,2475.0,2012,1,4,2
3,梨-進口,O9,57.8,48.9,台北二,104,55.1,56.2,1315.0,2012,1,5,3
4,梨-進口,O9,173.3,66.7,台北二,104,103.1,91.8,1050.0,2012,1,6,4
5,梨-進口,O9,94.0,53.3,台北二,104,68.3,64.7,2520.0,2012,1,7,5
6,梨-進口,O9,98.1,51.8,台北二,104,66.5,60.8,3350.0,2012,1,8,6
7,梨-進口,O9,62.3,46.6,台北二,104,54.2,54.0,7970.0,2012,1,10,1
8,梨-進口,O9,80.0,47.7,台北二,104,61.2,59.4,7920.0,2012,1,11,2
9,梨-進口,O9,79.8,54.2,台北二,104,65.2,64.1,3755.0,2012,1,12,3
10,梨-進口,O9,61.8,42.9,台北二,104,50.8,49.7,7130.0,2012,1,13,4
11,梨-進口,O9,89.1,49.6,台北二,104,62.7,58.3,6625.0,2012,1,14,5
12,梨-進口,O9,71.3,48.6,台北二,104,57.3,55.6,7920.0,2012,1,15,6
13,梨-進口,O9,126.7,47.2,台北二,104,67.0,53.6,3310.0,2012,1,17,1
14,梨-進口,O9,81.9,50.6,台北二,104,58.8,53.9,7750.0,2012,1,18,2
15,梨-進口,O9,67.8,53.3,台北二,104,56.2,53.3,9780.0,2012,1,19,3
16,梨-進口,O9,84.4,48.8,台北二,104,56.2,49.2,5605.0,2012,1,20,4
17,梨-進口,O9,108.2,53.3,台北二,104,65.7,55.6,3115.0,2012,1,21,5
18,梨-進口,O9,73.5,61.2,台北二,104,64.3,62.2,900.0,2012,1,22,6
19,梨-進口,O9,96.8,48.9,台北二,104,58.5,48.9,920.0,2012,1,28,5
20,梨-進口,O9,76.2,48.9,台北二,104,55.7,51.2,670.0,2012,1,29,6
21,梨-進口,O9,89.5,44.4,台北二,104,60.2,55.7,1255.0,2012,1,30,0
22,梨-進口,O9,72.7,40.0,台北二,104,47.4,41.4,1120.0,2012,2,1,2
23,梨-進口,O9,36.4,35.6,台北二,104,35.7,35.6,825.0,2012,2,2,3
24,梨-進口,O9,130.0,125.0,台北二,104,127.5,127.5,40.0,2012,2,4,5
25,梨-進口,O9,130.0,125.0,台北二,104,126.3,125.4,80.0,2012,2,5,6
26,梨-進口,O9,67.7,41.1,台北二,104,48.4,44.4,1940.0,2012,2,6,0
27,梨-進口,O9,117.8,32.9,台北二,104,61.0,51.4,540.0,2012,2,9,3
28,梨-進口,O9,110.1,44.4,台北二,104,75.2,73.8,580.0,2012,2,10,4
29,梨-進口,O9,146.1,41.8,台北二,104,85.5,79.8,3650.0,2012,2,11,5
30,梨-進口,O9,78.3,37.0,台北二,104,47.1,40.0,2325.0,2012,2,12,6
31,梨-進口,O9,48.9,44.4,台北二,104,45.3,44.4,890.0,2012,2,14,1
32,梨-進口,O9,109.9,35.6,台北二,104,50.4,35.6,1950.0,2012,2,15,2
33,梨-進口,O9,41.0,35.6,台北二,104,36.7,35.6,2355.0,2012,2,16,3
34,梨-進口,O9,35.6,35.6,台北二,104,35.6,35.6,300.0,2012,2,17,4
35,梨-進口,O9,46.5,35.6,台北二,104,38.9,37.6,1775.0,2012,2,18,5
36,梨-進口,O9,58.8,38.0,台北二,104,43.3,39.9,1160.0,2012,2,19,6
37,梨-進口,O9,53.2,35.6,台北二,104,39.1,35.6,6240.0,2012,2,21,1
38,梨-進口,O9,66.2,31.1,台北二,104,40.7,35.5,1280.0,2012,2,22,2
39,梨-進口,O9,74.4,35.6,台北二,104,49.9,46.5,940.0,2012,2,23,3
40,梨-進口,O9,34.6,30.3,台北二,104,31.7,31.1,5195.0,2012,2,24,4
41,梨-進口,O9,40.5,35.3,台北二,104,39.2,40.0,1585.0,2012,2,25,5
42,梨-進口,O9,55.0,55.0,台北二,104,55.0,55.0,10.0,2012,2,26,6
43,梨-進口,O9,55.0,55.0,台北二,104,55.0,55.0,90.0,2012,2,28,1
44,梨-進口,O9,34.0,31.1,台北二,104,31.7,31.1,1660.0,2012,3,1,3
45,梨-進口,O9,50.0,50.0,台北二,104,50.0,50.0,230.0,2012,3,2,4
46,梨-進口,O9,50.0,50.0,台北二,104,50.0,50.0,230.0,2012,3,3,5
47,梨-進口,O9,36.4,29.0,台北二,104,31.4,30.5,310.0,2012,3,4,6
48,梨-進口,O9,93.3,37.5,台北二,104,66.5,67.2,1620.0,2012,3,6,1
49,梨-進口,O9,53.8,30.0,台北二,104,41.4,41.0,480.0,2012,3,7,2
50,梨-進口,O9,51.1,28.4,台北二,104,36.9,35.0,870.0,2012,3,8,3
51,梨-進口,O9,53.3,47.0,台北二,104,52.0,53.1,1430.0,2012,3,9,4
52,梨-進口,O9,80.0,61.5,台北二,104,70.1,69.7,900.0,2012,3,10,5
53,梨-進口,O9,68.3,62.5,台北二,104,66.2,66.7,1875.0,2012,3,11,6
54,梨-進口,O9,80.0,56.6,台北二,104,75.3,80.0,800.0,2012,3,13,1
55,梨-進口,O9,53.3,40.0,台北二,104,47.7,48.3,2575.0,2012,3,14,2
56,梨-進口,O9,66.7,56.2,台北二,104,64.6,66.7,1760.0,2012,3,15,3
57,梨-進口,O9,60.7,53.3,台北二,104,57.4,57.7,805.0,2012,3,16,4
58,梨-進口,O9,54.8,40.0,台北二,104,45.5,44.2,2660.0,2012,3,17,5
59,梨-進口,O9,59.8,35.6,台北二,104,46.8,46.2,3685.0,2012,3,18,6
60,梨-進口,O9,73.1,22.2,台北二,104,36.6,29.2,400.0,2012,3,20,1
61,梨-進口,O9,66.7,48.0,台北二,104,58.5,59.2,1020.0,2012,3,21,2
62,梨-進口,O9,67.1,35.6,台北二,104,50.2,49.5,5470.0,2012,3,22,3
63,梨-進口,O9,88.1,85.0,台北二,104,85.6,85.0,80.0,2012,3,23,4
64,梨-進口,O9,58.6,43.0,台北二,104,54.0,56.1,2920.0,2012,3,24,5
65,梨-進口,O9,76.5,48.7,台北二,104,65.1,66.7,525.0,2012,3,25,6
66,梨-進口,O9,66.3,47.7,台北二,104,55.3,54.1,4110.0,2012,3,27,1
67,梨-進口,O9,65.4,57.8,台北二,104,61.1,60.8,2130.0,2012,3,28,2
68,梨-進口,O9,69.6,58.6,台北二,104,64.7,65.2,3510.0,2012,3,29,3
69,梨-進口,O9,59.3,53.7,台北二,104,57.3,57.8,1040.0,2012,3,30,4
70,梨-進口,O9,156.5,53.3,台北二,104,77.8,59.8,980.0,2012,3,31,5
71,梨-進口,O9,91.7,57.8,台北二,104,64.6,57.8,1775.0,2012,4,1,6
72,梨-進口,O9,119.9,57.8,台北二,104,74.3,64.7,1010.0,2012,4,2,0
73,梨-進口,O9,86.3,48.4,台北二,104,60.7,56.2,1670.0,2012,4,3,1
74,梨-進口,O9,117.9,53.3,台北二,104,66.2,53.3,1115.0,2012,4,6,4
75,梨-進口,O9,73.3,53.3,台北二,104,61.3,59.9,1990.0,2012,4,7,5
76,梨-進口,O9,180.0,180.0,台北二,104,180.0,180.0,10.0,2012,4,8,6
77,梨-進口,O9,73.9,53.3,台北二,104,58.9,55.7,1570.0,2012,4,10,1
78,梨-進口,O9,68.4,57.8,台北二,104,60.5,58.7,4645.0,2012,4,11,2
79,梨-進口,O9,180.0,58.0,台北二,104,82.4,58.0,50.0,2012,4,12,3
80,梨-進口,O9,180.0,55.0,台北二,104,86.3,65.4,40.0,2012,4,13,4
81,梨-進口,O9,55.0,55.0,台北二,104,55.0,55.0,20.0,2012,4,14,5
82,梨-進口,O9,66.7,62.2,台北二,104,64.4,64.5,900.0,2012,4,15,6
83,梨-進口,O9,75.3,57.7,台北二,104,62.6,60.1,1540.0,2012,4,17,1
84,梨-進口,O9,62.2,57.6,台北二,104,59.2,58.7,1235.0,2012,4,18,2
85,梨-進口,O9,62.2,48.9,台北二,104,51.7,49.2,2040.0,2012,4,19,3
86,梨-進口,O9,94.4,62.2,台北二,104,68.7,62.2,3280.0,2012,4,20,4
87,梨-進口,O9,80.0,80.0,台北二,104,80.0,80.0,200.0,2012,4,21,5
88,梨-進口,O9,57.8,57.8,台北二,104,57.8,57.8,330.0,2012,4,24,1
89,梨-進口,O9,80.0,62.2,台北二,104,66.7,63.7,600.0,2012,4,25,2
90,梨-進口,O9,55.0,55.0,台北二,104,55.0,55.0,10.0,2012,4,26,3
91,梨-進口,O9,80.0,54.2,台北二,104,74.8,80.0,165.0,2012,4,27,4
92,梨-進口,O9,84.8,62.2,台北二,104,66.7,62.2,1010.0,2012,4,28,5
93,梨-進口,O9,77.0,62.2,台北二,104,65.2,62.2,360.0,2012,4,29,6
94,梨-進口,O9,53.3,50.0,台北二,104,50.8,50.2,65.0,2012,5,1,1
95,梨-進口,O9,55.4,49.7,台北二,104,53.0,53.2,320.0,2012,5,2,2
96,梨-進口,O9,81.3,69.8,台北二,104,78.2,80.0,147.0,2012,5,3,3
97,梨-進口,O9,50.0,45.0,台北二,104,46.3,45.4,120.0,2012,5,4,4
98,梨-進口,O9,80.0,43.0,台北二,104,57.6,54.9,90.0,2012,5,5,5
99,梨-進口,O9,83.0,75.0,台北二,104,78.6,78.3,270.0,2012,5,6,6
