,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甜橙-進口,E9,16.7,16.7,台北二,104,16.7,16.7,100.0,2012,2,16,3
1,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,200.0,2012,2,26,6
2,甜橙-進口,E9,26.7,26.7,台北二,104,26.7,26.7,980.0,2012,2,28,1
3,甜橙-進口,E9,26.7,26.7,台北二,104,26.7,26.7,860.0,2012,3,2,4
4,甜橙-進口,E9,26.7,26.7,台北二,104,26.7,26.7,1380.0,2012,3,4,6
5,甜橙-進口,E9,26.7,26.7,台北二,104,26.7,26.7,200.0,2012,3,10,5
6,甜橙-進口,E9,26.7,20.0,台北二,104,21.3,20.0,900.0,2012,3,13,1
7,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,880.0,2012,3,15,3
8,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,1740.0,2012,3,20,1
9,甜橙-進口,E9,26.7,23.3,台北二,104,25.6,26.0,1820.0,2012,3,22,3
10,甜橙-進口,E9,26.7,23.3,台北二,104,24.4,24.1,600.0,2012,3,23,4
11,甜橙-進口,E9,26.7,26.7,台北二,104,26.7,26.7,200.0,2012,3,24,5
12,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,400.0,2012,3,27,1
13,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,1260.0,2012,3,28,2
14,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,140.0,2012,3,29,3
15,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,2160.0,2012,3,31,5
16,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,100.0,2012,4,1,6
17,甜橙-進口,E9,23.3,20.4,台北二,104,22.8,23.3,3460.0,2012,4,3,1
18,甜橙-進口,E9,23.3,20.3,台北二,104,22.7,23.3,5080.0,2012,4,6,4
19,甜橙-進口,E9,233.3,23.3,台北二,104,107.3,93.3,100.0,2012,4,7,5
20,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,3480.0,2012,4,13,4
21,甜橙-進口,E9,24.1,23.3,台北二,104,23.5,23.3,4140.0,2012,4,14,5
22,甜橙-進口,E9,46.7,46.7,台北二,104,46.7,46.7,100.0,2012,4,17,1
23,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,2820.0,2012,4,20,4
24,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,3680.0,2012,4,21,5
25,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,300.0,2012,4,25,2
26,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,5560.0,2012,4,26,3
27,甜橙-進口,E9,24.1,23.3,台北二,104,23.5,23.3,4360.0,2012,4,27,4
28,甜橙-進口,E9,26.7,20.3,台北二,104,23.8,24.0,4720.0,2012,4,28,5
29,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,300.0,2012,4,29,6
30,甜橙-進口,E9,33.3,23.3,台北二,104,25.6,23.7,6480.0,2012,5,1,1
31,甜橙-進口,E9,23.3,23.3,台北二,104,23.3,23.3,3240.0,2012,5,2,2
32,甜橙-進口,E9,23.3,20.5,台北二,104,22.8,23.3,3320.0,2012,5,3,3
33,甜橙-進口,E9,28.9,23.3,台北二,104,24.6,23.6,4390.0,2012,5,4,4
34,甜橙-進口,E9,49.4,20.6,台北二,104,28.0,23.3,2290.0,2012,5,5,5
35,甜橙-進口,E9,69.2,23.3,台北二,104,32.5,23.3,1920.0,2012,5,6,6
36,甜橙-進口,E9,87.0,23.3,台北二,104,57.1,58.3,1120.0,2012,5,8,1
37,甜橙-進口,E9,36.1,23.3,台北二,104,25.9,23.3,4470.0,2012,5,9,2
38,甜橙-進口,E9,30.6,22.1,台北二,104,24.9,24.0,10970.0,2012,5,10,3
39,甜橙-進口,E9,47.7,23.3,台北二,104,29.8,26.0,3290.0,2012,5,11,4
40,甜橙-進口,E9,25.7,23.3,台北二,104,23.8,23.3,6750.0,2012,5,12,5
41,甜橙-進口,E9,26.7,26.7,台北二,104,26.7,26.7,1080.0,2012,5,13,6
42,甜橙-進口,E9,24.8,20.5,台北二,104,23.1,23.3,6650.0,2012,5,15,1
43,甜橙-進口,E9,23.7,23.3,台北二,104,23.4,23.3,8410.0,2012,5,16,2
44,甜橙-進口,E9,25.9,23.3,台北二,104,23.9,23.3,7930.0,2012,5,17,3
45,甜橙-進口,E9,69.5,24.3,台北二,104,34.8,26.7,1380.0,2012,5,19,5
46,甜橙-進口,E9,25.4,23.3,台北二,104,23.8,23.3,4350.0,2012,5,20,6
47,甜橙-進口,E9,26.4,23.3,台北二,104,24.1,23.6,6600.0,2012,5,22,1
