,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-芒果青,R8,50.0,50.0,台北二,104,50.0,50.0,88.0,2012,1,6,4
1,芒果-芒果青,R8,22.0,22.0,台北二,104,22.0,22.0,8.0,2012,2,11,5
2,芒果-芒果青,R8,33.0,33.0,台北二,104,33.0,33.0,10.0,2012,2,24,4
3,芒果-芒果青,R8,48.0,48.0,台北二,104,48.0,48.0,31.0,2012,2,25,5
4,芒果-芒果青,R8,10.0,10.0,台北二,104,10.0,10.0,14.0,2012,2,26,6
5,芒果-芒果青,R8,30.0,10.0,台北二,104,22.4,24.0,29.0,2012,2,28,1
6,芒果-芒果青,R8,25.0,25.0,台北二,104,25.0,25.0,12.0,2012,3,2,4
7,芒果-芒果青,R8,40.0,40.0,台北二,104,40.0,40.0,20.0,2012,3,3,5
8,芒果-芒果青,R8,45.0,21.0,台北二,104,37.0,39.7,54.0,2012,3,7,2
9,芒果-芒果青,R8,27.0,27.0,台北二,104,27.0,27.0,20.0,2012,3,11,6
10,芒果-芒果青,R8,35.0,25.0,台北二,104,31.6,32.7,44.0,2012,3,13,1
11,芒果-芒果青,R8,25.0,25.0,台北二,104,25.0,25.0,12.0,2012,3,14,2
12,芒果-芒果青,R8,20.0,20.0,台北二,104,20.0,20.0,14.0,2012,3,16,4
13,芒果-芒果青,R8,40.0,25.0,台北二,104,28.8,26.3,48.0,2012,3,17,5
14,芒果-芒果青,R8,55.0,18.0,台北二,104,42.7,46.8,36.0,2012,3,21,2
15,芒果-芒果青,R8,49.0,25.0,台北二,104,41.0,43.7,36.0,2012,3,22,3
16,芒果-芒果青,R8,36.0,36.0,台北二,104,36.0,36.0,18.0,2012,3,23,4
17,芒果-芒果青,R8,60.6,37.6,台北二,104,47.4,46.3,121.0,2012,3,24,5
18,芒果-芒果青,R8,70.0,45.0,台北二,104,56.0,55.1,68.0,2012,3,25,6
19,芒果-芒果青,R8,58.3,27.1,台北二,104,40.7,39.4,153.0,2012,3,27,1
20,芒果-芒果青,R8,52.0,50.0,台北二,104,51.1,51.2,42.0,2012,3,28,2
21,芒果-芒果青,R8,56.4,18.9,台北二,104,40.6,42.5,117.0,2012,3,29,3
22,芒果-芒果青,R8,47.7,23.0,台北二,104,38.4,40.4,106.0,2012,3,30,4
23,芒果-芒果青,R8,59.2,30.8,台北二,104,50.2,53.7,136.0,2012,3,31,5
24,芒果-芒果青,R8,62.8,31.9,台北二,104,43.2,40.5,266.0,2012,4,1,6
25,芒果-芒果青,R8,42.7,22.8,台北二,104,35.4,37.2,145.0,2012,4,2,0
26,芒果-芒果青,R8,55.9,13.5,台北二,104,29.8,26.6,262.0,2012,4,3,1
27,芒果-芒果青,R8,44.8,16.6,台北二,104,36.4,40.3,237.0,2012,4,6,4
28,芒果-芒果青,R8,49.1,29.2,台北二,104,41.2,42.6,474.0,2012,4,7,5
29,芒果-芒果青,R8,52.7,27.2,台北二,104,40.5,40.9,774.0,2012,4,8,6
30,芒果-芒果青,R8,40.8,8.0,台北二,104,20.3,17.6,1036.0,2012,4,10,1
31,芒果-芒果青,R8,46.0,10.0,台北二,104,27.7,27.5,474.0,2012,4,11,2
32,芒果-芒果青,R8,28.1,13.1,台北二,104,20.2,19.9,586.0,2012,4,12,3
33,芒果-芒果青,R8,42.7,9.4,台北二,104,21.6,18.5,541.0,2012,4,13,4
34,芒果-芒果青,R8,47.3,11.6,台北二,104,24.2,20.6,332.0,2012,4,14,5
35,芒果-芒果青,R8,49.3,20.9,台北二,104,30.9,28.1,773.0,2012,4,15,6
36,芒果-芒果青,R8,30.0,9.7,台北二,104,15.4,12.3,1080.0,2012,4,17,1
37,芒果-芒果青,R8,34.6,10.3,台北二,104,20.6,19.4,569.0,2012,4,18,2
38,芒果-芒果青,R8,45.8,9.8,台北二,104,20.7,16.0,760.0,2012,4,19,3
39,芒果-芒果青,R8,40.5,11.3,台北二,104,21.4,18.4,803.0,2012,4,20,4
40,芒果-芒果青,R8,33.3,10.0,台北二,104,19.1,17.4,1001.0,2012,4,21,5
41,芒果-芒果青,R8,50.0,10.8,台北二,104,25.3,21.8,1202.0,2012,4,22,6
42,芒果-芒果青,R8,27.1,10.0,台北二,104,16.8,15.6,1329.0,2012,4,24,1
43,芒果-芒果青,R8,29.2,10.5,台北二,104,18.4,17.4,1226.0,2012,4,25,2
44,芒果-芒果青,R8,42.9,11.6,台北二,104,25.5,24.4,534.0,2012,4,26,3
45,芒果-芒果青,R8,36.9,11.1,台北二,104,22.1,20.9,834.0,2012,4,27,4
46,芒果-芒果青,R8,42.1,12.3,台北二,104,22.5,19.4,1207.0,2012,4,28,5
47,芒果-芒果青,R8,36.0,14.7,台北二,104,23.8,22.8,1009.0,2012,4,29,6
48,芒果-芒果青,R8,26.6,10.7,台北二,104,15.8,13.9,1886.0,2012,5,1,1
49,芒果-芒果青,R8,34.2,10.4,台北二,104,17.8,14.9,1380.0,2012,5,2,2
50,芒果-芒果青,R8,33.7,12.1,台北二,104,22.5,22.2,798.0,2012,5,3,3
51,芒果-芒果青,R8,40.2,15.2,台北二,104,25.6,24.2,919.0,2012,5,4,4
52,芒果-芒果青,R8,36.7,13.2,台北二,104,21.3,18.8,799.0,2012,5,5,5
53,芒果-芒果青,R8,28.2,15.8,台北二,104,21.6,21.4,772.0,2012,5,6,6
54,芒果-芒果青,R8,28.9,15.4,台北二,104,21.9,21.7,1115.0,2012,5,8,1
55,芒果-芒果青,R8,30.3,15.4,台北二,104,22.4,22.1,848.0,2012,5,9,2
56,芒果-芒果青,R8,35.8,11.6,台北二,104,19.7,17.0,989.0,2012,5,10,3
57,芒果-芒果青,R8,27.9,19.5,台北二,104,22.4,21.5,644.0,2012,5,11,4
58,芒果-芒果青,R8,26.8,15.3,台北二,104,20.8,20.6,797.0,2012,5,12,5
59,芒果-芒果青,R8,27.3,15.6,台北二,104,20.4,19.6,807.0,2012,5,13,6
60,芒果-芒果青,R8,22.7,17.3,台北二,104,19.7,19.5,937.0,2012,5,15,1
61,芒果-芒果青,R8,24.7,10.1,台北二,104,15.8,14.7,593.0,2012,5,16,2
62,芒果-芒果青,R8,29.3,10.0,台北二,104,17.3,15.7,765.0,2012,5,17,3
63,芒果-芒果青,R8,28.9,15.3,台北二,104,19.6,18.0,558.0,2012,5,18,4
64,芒果-芒果青,R8,25.4,14.2,台北二,104,19.5,19.3,841.0,2012,5,19,5
65,芒果-芒果青,R8,22.5,11.7,台北二,104,15.7,14.8,951.0,2012,5,20,6
66,芒果-芒果青,R8,25.3,11.8,台北二,104,18.8,19.0,626.0,2012,5,22,1
67,芒果-芒果青,R8,24.7,8.0,台北二,104,16.3,16.3,503.0,2012,5,23,2
68,芒果-芒果青,R8,18.1,10.0,台北二,104,14.1,14.2,572.0,2012,5,24,3
69,芒果-芒果青,R8,27.4,10.0,台北二,104,15.9,14.0,589.0,2012,5,25,4
70,芒果-芒果青,R8,35.0,15.0,台北二,104,25.3,25.5,288.0,2012,5,26,5
71,芒果-芒果青,R8,36.6,12.0,台北二,104,21.8,20.1,502.0,2012,5,27,6
72,芒果-芒果青,R8,19.8,11.2,台北二,104,14.1,13.1,705.0,2012,5,29,1
73,芒果-芒果青,R8,21.1,7.5,台北二,104,13.7,13.4,501.0,2012,5,30,2
74,芒果-芒果青,R8,21.1,11.8,台北二,104,14.1,12.5,485.0,2012,5,31,3
75,芒果-芒果青,R8,15.3,11.6,台北二,104,13.0,12.7,650.0,2012,6,1,4
76,芒果-芒果青,R8,13.7,8.7,台北二,104,10.8,10.5,297.0,2012,6,2,5
77,芒果-芒果青,R8,22.0,10.0,台北二,104,15.7,15.5,140.0,2012,6,3,6
78,芒果-芒果青,R8,20.9,13.6,台北二,104,16.6,16.2,352.0,2012,6,5,1
79,芒果-芒果青,R8,28.4,12.0,台北二,104,17.1,15.0,268.0,2012,6,6,2
80,芒果-芒果青,R8,25.0,12.8,台北二,104,18.9,19.0,348.0,2012,6,7,3
81,芒果-芒果青,R8,26.6,17.0,台北二,104,21.2,20.8,314.0,2012,6,8,4
82,芒果-芒果青,R8,25.0,16.7,台北二,104,22.3,23.2,279.0,2012,6,9,5
83,芒果-芒果青,R8,35.0,25.0,台北二,104,31.6,32.6,61.0,2012,6,10,6
84,芒果-芒果青,R8,33.0,22.0,台北二,104,28.2,28.6,190.0,2012,6,12,1
85,芒果-芒果青,R8,26.0,13.0,台北二,104,19.7,19.9,178.0,2012,6,13,2
86,芒果-芒果青,R8,37.8,21.8,台北二,104,33.4,35.8,207.0,2012,6,14,3
87,芒果-芒果青,R8,41.4,32.0,台北二,104,34.5,33.0,147.0,2012,6,15,4
88,芒果-芒果青,R8,27.9,20.0,台北二,104,23.1,22.6,511.0,2012,6,16,5
89,芒果-芒果青,R8,32.4,20.0,台北二,104,24.5,23.3,847.0,2012,6,17,6
90,芒果-芒果青,R8,24.8,14.7,台北二,104,18.1,17.0,640.0,2012,6,19,1
91,芒果-芒果青,R8,25.0,15.0,台北二,104,21.9,23.1,130.0,2012,6,20,2
92,芒果-芒果青,R8,20.0,20.0,台北二,104,20.0,20.0,6.0,2012,6,21,3
93,芒果-芒果青,R8,34.1,20.0,台北二,104,23.3,20.7,173.0,2012,6,22,4
94,芒果-芒果青,R8,25.5,20.0,台北二,104,22.5,22.3,420.0,2012,6,23,5
95,芒果-芒果青,R8,30.7,8.9,台北二,104,22.5,24.3,312.0,2012,6,26,1
96,芒果-芒果青,R8,29.2,16.0,台北二,104,19.6,17.7,371.0,2012,6,27,2
97,芒果-芒果青,R8,31.0,19.0,台北二,104,22.9,21.5,546.0,2012,6,28,3
98,芒果-芒果青,R8,25.0,13.0,台北二,104,18.8,18.6,410.0,2012,6,29,4
99,芒果-芒果青,R8,25.0,13.7,台北二,104,21.3,22.6,261.0,2012,6,30,5
100,芒果-芒果青,R8,25.0,25.0,台北二,104,25.0,25.0,6.0,2012,7,1,6
