,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,荔枝-竹葉黑,J4,45.0,45.0,台北二,104,45.0,45.0,12.0,2012,5,11,4
1,荔枝-竹葉黑,J4,70.0,70.0,台北二,104,70.0,70.0,11.0,2012,5,20,6
2,荔枝-竹葉黑,J4,70.0,70.0,台北二,104,70.0,70.0,104.0,2012,5,22,1
3,荔枝-竹葉黑,J4,65.0,65.0,台北二,104,65.0,65.0,34.0,2012,5,23,2
4,荔枝-竹葉黑,J4,59.9,38.9,台北二,104,44.6,41.5,262.0,2012,5,24,3
5,荔枝-竹葉黑,J4,45.0,43.0,台北二,104,43.9,43.8,119.0,2012,5,25,4
6,荔枝-竹葉黑,J4,39.4,29.8,台北二,104,34.0,33.6,745.0,2012,5,26,5
7,荔枝-竹葉黑,J4,37.0,31.7,台北二,104,34.9,35.3,699.0,2012,5,27,6
8,荔枝-竹葉黑,J4,42.2,25.0,台北二,104,33.3,33.0,1058.0,2012,5,30,2
9,荔枝-竹葉黑,J4,39.6,31.4,台北二,104,35.5,35.4,1030.0,2012,5,31,3
10,荔枝-竹葉黑,J4,46.9,35.0,台北二,104,41.4,41.7,775.0,2012,6,1,4
11,荔枝-竹葉黑,J4,56.2,40.0,台北二,104,47.9,47.9,1107.0,2012,6,2,5
12,荔枝-竹葉黑,J4,74.3,44.4,台北二,104,61.0,62.2,1381.0,2012,6,3,6
13,荔枝-竹葉黑,J4,78.4,43.9,台北二,104,59.4,58.2,1423.0,2012,6,5,1
14,荔枝-竹葉黑,J4,64.3,42.2,台北二,104,53.7,54.0,1048.0,2012,6,6,2
15,荔枝-竹葉黑,J4,49.2,35.2,台北二,104,40.8,39.9,1626.0,2012,6,7,3
16,荔枝-竹葉黑,J4,57.1,44.4,台北二,104,51.6,52.1,1488.0,2012,6,8,4
17,荔枝-竹葉黑,J4,61.6,43.0,台北二,104,54.8,56.5,2743.0,2012,6,9,5
