,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蘋果-惠,X3,40.0,35.0,台北二,104,37.4,37.3,170.0,2012,1,20,4
1,蘋果-惠,X3,65.0,45.3,台北二,104,56.4,57.3,102.0,2012,7,22,6
2,蘋果-惠,X3,45.0,15.0,台北二,104,24.2,20.4,39.0,2012,7,28,5
3,蘋果-惠,X3,40.0,35.0,台北二,104,36.8,36.3,102.0,2012,8,10,4
4,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,32.0,2012,8,11,5
5,蘋果-惠,X3,40.0,25.0,台北二,104,32.7,32.9,31.0,2012,8,16,3
6,蘋果-惠,X3,40.0,25.0,台北二,104,31.0,30.0,60.0,2012,8,18,5
7,蘋果-惠,X3,22.0,22.0,台北二,104,22.0,22.0,12.0,2012,8,24,4
8,蘋果-惠,X3,35.0,35.0,台北二,104,35.0,35.0,52.0,2012,9,1,5
9,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,90.0,2012,9,2,6
10,蘋果-惠,X3,50.0,50.0,台北二,104,50.0,50.0,12.0,2012,9,8,5
11,蘋果-惠,X3,50.0,50.0,台北二,104,50.0,50.0,240.0,2012,9,13,3
12,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,168.0,2012,9,16,6
13,蘋果-惠,X3,50.0,50.0,台北二,104,50.0,50.0,160.0,2012,9,20,3
14,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,180.0,2012,9,21,4
15,蘋果-惠,X3,50.0,50.0,台北二,104,50.0,50.0,330.0,2012,9,28,4
16,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,104.0,2012,10,13,5
17,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,12.0,2012,10,24,2
18,蘋果-惠,X3,50.0,50.0,台北二,104,50.0,50.0,26.0,2012,10,30,1
19,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,45.0,2012,11,10,5
20,蘋果-惠,X3,38.8,20.0,台北二,104,27.9,26.9,120.0,2012,11,22,3
21,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,135.0,2012,11,24,5
22,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,120.0,2012,12,1,5
23,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,350.0,2012,12,16,6
24,蘋果-惠,X3,100.0,100.0,台北二,104,100.0,100.0,216.0,2013,1,8,1
25,蘋果-惠,X3,80.0,40.0,台北二,104,66.3,70.5,198.0,2013,1,12,5
26,蘋果-惠,X3,20.0,20.0,台北二,104,20.0,20.0,54.0,2013,6,21,4
27,蘋果-惠,X3,50.0,41.7,台北二,104,47.2,48.1,118.0,2013,7,27,5
28,蘋果-惠,X3,60.0,58.0,台北二,104,59.0,59.0,100.0,2013,8,3,5
29,蘋果-惠,X3,50.0,45.0,台北二,104,47.5,47.5,100.0,2013,8,4,6
30,蘋果-惠,X3,46.3,30.0,台北二,104,38.2,38.2,232.0,2013,8,6,1
31,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,60.0,2013,8,17,5
32,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,45.0,2013,8,20,1
33,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,32.0,2013,9,1,6
34,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,32.0,2013,9,8,6
35,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,13.0,2013,9,25,2
36,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,48.0,2013,9,28,5
37,蘋果-惠,X3,40.0,40.0,台北二,104,40.0,40.0,40.0,2013,10,1,1
38,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,80.0,2013,10,2,2
39,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,16.0,2013,10,4,4
40,蘋果-惠,X3,150.0,85.0,台北二,104,104.0,95.1,26.0,2013,10,5,5
41,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,64.0,2013,10,8,1
42,蘋果-惠,X3,59.6,36.0,台北二,104,46.4,45.5,309.0,2013,10,9,2
43,蘋果-惠,X3,60.0,60.0,台北二,104,60.0,60.0,100.0,2013,10,12,5
44,蘋果-惠,X3,90.0,60.0,台北二,104,74.2,73.6,60.0,2013,10,17,3
45,蘋果-惠,X3,80.0,70.0,台北二,104,73.9,73.2,79.0,2013,10,18,4
46,蘋果-惠,X3,80.0,80.0,台北二,104,80.0,80.0,240.0,2013,10,19,5
47,蘋果-惠,X3,80.0,80.0,台北二,104,80.0,80.0,30.0,2013,10,20,6
48,蘋果-惠,X3,48.0,45.0,台北二,104,46.3,46.1,56.0,2013,10,22,1
49,蘋果-惠,X3,70.0,70.0,台北二,104,70.0,70.0,80.0,2013,10,26,5
50,蘋果-惠,X3,80.0,80.0,台北二,104,80.0,80.0,192.0,2013,11,2,5
