,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,釋迦-鳳梨釋迦,32,85.2,24.4,台北二,104,42.6,34.4,1558.0,2012,1,1,6
1,釋迦-鳳梨釋迦,32,64.7,21.0,台北二,104,33.6,27.5,2323.0,2012,1,3,1
2,釋迦-鳳梨釋迦,32,73.9,24.5,台北二,104,38.9,32.1,1470.0,2012,1,4,2
3,釋迦-鳳梨釋迦,32,75.9,24.0,台北二,104,40.8,34.7,1510.0,2012,1,5,3
4,釋迦-鳳梨釋迦,32,96.2,22.7,台北二,104,45.2,35.7,1220.0,2012,1,6,4
5,釋迦-鳳梨釋迦,32,85.8,21.4,台北二,104,48.1,44.5,1775.0,2012,1,7,5
6,釋迦-鳳梨釋迦,32,73.8,23.6,台北二,104,45.9,44.0,1506.0,2012,1,8,6
7,釋迦-鳳梨釋迦,32,92.4,20.4,台北二,104,44.7,37.0,1230.0,2012,1,10,1
8,釋迦-鳳梨釋迦,32,87.3,23.6,台北二,104,54.9,54.6,1578.0,2012,1,11,2
9,釋迦-鳳梨釋迦,32,87.4,24.7,台北二,104,48.5,43.4,1249.0,2012,1,12,3
10,釋迦-鳳梨釋迦,32,89.5,24.1,台北二,104,49.2,44.2,1227.0,2012,1,13,4
11,釋迦-鳳梨釋迦,32,106.7,24.4,台北二,104,53.3,45.2,1614.0,2012,1,14,5
12,釋迦-鳳梨釋迦,32,91.1,21.4,台北二,104,53.3,51.4,1531.0,2012,1,15,6
13,釋迦-鳳梨釋迦,32,118.8,20.0,台北二,104,57.8,50.0,1508.0,2012,1,17,1
14,釋迦-鳳梨釋迦,32,93.0,19.5,台北二,104,39.5,28.4,3030.0,2012,1,18,2
15,釋迦-鳳梨釋迦,32,106.0,16.5,台北二,104,45.4,34.8,2758.0,2012,1,19,3
16,釋迦-鳳梨釋迦,32,101.9,19.2,台北二,104,48.3,40.1,3369.0,2012,1,20,4
17,釋迦-鳳梨釋迦,32,114.0,20.0,台北二,104,43.7,28.2,1825.0,2012,1,21,5
18,釋迦-鳳梨釋迦,32,77.5,18.4,台北二,104,35.4,27.0,921.0,2012,1,28,5
19,釋迦-鳳梨釋迦,32,57.9,18.8,台北二,104,30.6,25.4,1497.0,2012,1,29,6
20,釋迦-鳳梨釋迦,32,55.0,17.2,台北二,104,31.2,28.0,2970.0,2012,1,30,0
21,釋迦-鳳梨釋迦,32,75.5,19.5,台北二,104,39.0,33.3,1742.0,2012,2,1,2
22,釋迦-鳳梨釋迦,32,68.9,20.8,台北二,104,39.4,35.8,1406.0,2012,2,2,3
23,釋迦-鳳梨釋迦,32,56.6,19.4,台北二,104,35.0,33.0,980.0,2012,2,3,4
24,釋迦-鳳梨釋迦,32,69.5,17.0,台北二,104,35.8,30.8,1369.0,2012,2,4,5
25,釋迦-鳳梨釋迦,32,64.6,17.4,台北二,104,34.2,29.8,1897.0,2012,2,5,6
26,釋迦-鳳梨釋迦,32,58.4,22.0,台北二,104,36.3,33.6,1049.0,2012,2,6,0
27,釋迦-鳳梨釋迦,32,74.0,25.0,台北二,104,43.4,39.3,694.0,2012,2,9,3
28,釋迦-鳳梨釋迦,32,70.8,27.9,台北二,104,43.9,40.2,747.0,2012,2,10,4
29,釋迦-鳳梨釋迦,32,45.1,24.1,台北二,104,29.6,26.3,1019.0,2012,2,11,5
30,釋迦-鳳梨釋迦,32,72.9,26.5,台北二,104,41.4,35.9,893.0,2012,2,12,6
31,釋迦-鳳梨釋迦,32,69.5,26.8,台北二,104,47.0,46.2,1248.0,2012,2,14,1
32,釋迦-鳳梨釋迦,32,63.9,25.3,台北二,104,38.9,35.1,1255.0,2012,2,15,2
33,釋迦-鳳梨釋迦,32,77.9,20.8,台北二,104,41.8,36.7,898.0,2012,2,16,3
34,釋迦-鳳梨釋迦,32,84.2,23.6,台北二,104,47.0,42.4,1219.0,2012,2,17,4
35,釋迦-鳳梨釋迦,32,102.3,30.7,台北二,104,55.0,47.3,909.0,2012,2,18,5
36,釋迦-鳳梨釋迦,32,90.9,31.2,台北二,104,50.6,43.6,1111.0,2012,2,19,6
37,釋迦-鳳梨釋迦,32,88.0,28.6,台北二,104,47.7,40.6,1049.0,2012,2,21,1
38,釋迦-鳳梨釋迦,32,95.4,24.8,台北二,104,50.4,43.9,1547.0,2012,2,22,2
39,釋迦-鳳梨釋迦,32,81.8,26.6,台北二,104,54.0,53.9,763.0,2012,2,23,3
40,釋迦-鳳梨釋迦,32,65.2,26.4,台北二,104,37.4,31.8,572.0,2012,2,24,4
41,釋迦-鳳梨釋迦,32,47.9,25.6,台北二,104,35.1,34.0,893.0,2012,2,25,5
42,釋迦-鳳梨釋迦,32,81.9,30.0,台北二,104,54.5,53.6,476.0,2012,2,26,6
43,釋迦-鳳梨釋迦,32,80.5,36.5,台北二,104,55.8,53.9,466.0,2012,2,28,1
44,釋迦-鳳梨釋迦,32,78.9,50.2,台北二,104,67.6,69.7,135.0,2012,2,29,2
45,釋迦-鳳梨釋迦,32,64.3,30.0,台北二,104,42.6,39.5,576.0,2012,3,1,3
46,釋迦-鳳梨釋迦,32,63.7,24.4,台北二,104,40.8,38.7,897.0,2012,3,2,4
47,釋迦-鳳梨釋迦,32,88.6,37.3,台北二,104,57.2,53.4,975.0,2012,3,3,5
48,釋迦-鳳梨釋迦,32,48.0,33.6,台北二,104,40.5,40.4,251.0,2012,3,4,6
49,釋迦-鳳梨釋迦,32,111.8,41.4,台北二,104,62.5,53.2,707.0,2012,3,6,1
50,釋迦-鳳梨釋迦,32,126.3,31.6,台北二,104,66.0,57.3,762.0,2012,3,7,2
51,釋迦-鳳梨釋迦,32,87.5,32.5,台北二,104,56.0,53.3,543.0,2012,3,8,3
52,釋迦-鳳梨釋迦,32,99.5,35.3,台北二,104,54.0,45.1,699.0,2012,3,9,4
53,釋迦-鳳梨釋迦,32,88.9,34.0,台北二,104,47.6,38.3,986.0,2012,3,10,5
54,釋迦-鳳梨釋迦,32,83.2,29.0,台北二,104,46.1,39.5,1019.0,2012,3,11,6
55,釋迦-鳳梨釋迦,32,90.0,34.6,台北二,104,50.2,42.2,1337.0,2012,3,13,1
56,釋迦-鳳梨釋迦,32,100.1,33.4,台北二,104,55.8,48.5,913.0,2012,3,14,2
57,釋迦-鳳梨釋迦,32,85.7,34.4,台北二,104,54.9,51.5,982.0,2012,3,15,3
58,釋迦-鳳梨釋迦,32,102.0,35.3,台北二,104,52.2,41.2,490.0,2012,3,16,4
59,釋迦-鳳梨釋迦,32,116.7,44.3,台北二,104,75.6,72.4,380.0,2012,3,17,5
60,釋迦-鳳梨釋迦,32,70.3,35.3,台北二,104,50.6,49.1,953.0,2012,3,18,6
61,釋迦-鳳梨釋迦,32,125.5,34.6,台北二,104,67.0,58.2,487.0,2012,3,20,1
62,釋迦-鳳梨釋迦,32,94.3,41.2,台北二,104,65.1,63.3,693.0,2012,3,21,2
63,釋迦-鳳梨釋迦,32,105.4,29.7,台北二,104,55.0,46.6,589.0,2012,3,22,3
64,釋迦-鳳梨釋迦,32,102.0,26.4,台北二,104,50.1,40.8,993.0,2012,3,23,4
65,釋迦-鳳梨釋迦,32,94.7,24.7,台北二,104,46.6,38.0,1105.0,2012,3,24,5
66,釋迦-鳳梨釋迦,32,83.2,30.0,台北二,104,45.7,38.5,318.0,2012,3,25,6
67,釋迦-鳳梨釋迦,32,114.0,37.6,台北二,104,57.6,45.5,331.0,2012,3,27,1
68,釋迦-鳳梨釋迦,32,126.2,35.0,台北二,104,62.1,49.8,291.0,2012,3,28,2
69,釋迦-鳳梨釋迦,32,122.4,33.1,台北二,104,63.5,54.0,259.0,2012,3,29,3
70,釋迦-鳳梨釋迦,32,111.9,38.2,台北二,104,61.9,53.2,407.0,2012,3,30,4
71,釋迦-鳳梨釋迦,32,77.6,38.7,台北二,104,48.6,42.3,432.0,2012,3,31,5
72,釋迦-鳳梨釋迦,32,167.3,81.8,台北二,104,137.3,145.8,66.0,2012,4,1,6
73,釋迦-鳳梨釋迦,32,160.0,110.0,台北二,104,134.0,133.3,30.0,2012,4,2,0
74,釋迦-鳳梨釋迦,32,121.1,29.0,台北二,104,73.0,71.5,175.0,2012,4,3,1
75,釋迦-鳳梨釋迦,32,130.0,125.0,台北二,104,128.8,129.6,24.0,2012,4,6,4
76,釋迦-鳳梨釋迦,32,170.0,150.0,台北二,104,160.0,160.0,18.0,2012,4,7,5
