,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,雜柑-桔子,F4,22.5,13.6,台北二,104,19.0,19.7,222.0,2012,1,1,6
1,雜柑-桔子,F4,23.0,17.2,台北二,104,21.2,22.0,120.0,2012,1,3,1
2,雜柑-桔子,F4,30.5,20.0,台北二,104,23.9,23.1,269.0,2012,1,4,2
3,雜柑-桔子,F4,21.5,8.2,台北二,104,13.8,13.2,354.0,2012,1,5,3
4,雜柑-桔子,F4,23.4,6.0,台北二,104,14.3,14.1,388.0,2012,1,6,4
5,雜柑-桔子,F4,25.0,8.0,台北二,104,15.1,14.1,428.0,2012,1,7,5
6,雜柑-桔子,F4,18.6,10.7,台北二,104,14.9,15.1,312.0,2012,1,8,6
7,雜柑-桔子,F4,25.0,9.0,台北二,104,20.8,23.3,134.0,2012,1,10,1
8,雜柑-桔子,F4,45.0,15.0,台北二,104,26.8,24.7,33.0,2012,1,11,2
9,雜柑-桔子,F4,47.9,8.0,台北二,104,36.2,41.7,115.0,2012,1,12,3
10,雜柑-桔子,F4,62.0,38.4,台北二,104,46.4,43.9,185.0,2012,1,13,4
11,雜柑-桔子,F4,46.6,28.0,台北二,104,37.9,38.3,219.0,2012,1,14,5
12,雜柑-桔子,F4,57.6,33.5,台北二,104,45.3,45.2,188.0,2012,1,15,6
13,雜柑-桔子,F4,51.8,21.4,台北二,104,38.3,39.4,300.0,2012,1,17,1
14,雜柑-桔子,F4,66.0,26.2,台北二,104,42.8,40.6,313.0,2012,1,18,2
15,雜柑-桔子,F4,55.4,12.0,台北二,104,33.0,32.5,1435.0,2012,1,19,3
16,雜柑-桔子,F4,44.8,17.1,台北二,104,31.7,32.2,3386.0,2012,1,20,4
17,雜柑-桔子,F4,38.9,9.6,台北二,104,24.6,24.9,2616.0,2012,1,21,5
18,雜柑-桔子,F4,40.8,8.0,台北二,104,20.5,17.9,206.0,2012,1,22,6
19,雜柑-桔子,F4,54.0,16.1,台北二,104,30.1,26.8,870.0,2012,1,28,5
20,雜柑-桔子,F4,31.5,10.0,台北二,104,19.3,18.4,2600.0,2012,1,29,6
21,雜柑-桔子,F4,60.5,27.8,台北二,104,47.1,49.0,1000.0,2012,1,30,0
22,雜柑-桔子,F4,70.4,27.5,台北二,104,53.2,56.1,203.0,2012,2,1,2
23,雜柑-桔子,F4,60.0,26.8,台北二,104,49.3,53.2,369.0,2012,2,2,3
24,雜柑-桔子,F4,43.1,8.6,台北二,104,25.7,25.6,551.0,2012,2,3,4
25,雜柑-桔子,F4,37.5,10.0,台北二,104,22.4,21.4,584.0,2012,2,4,5
26,雜柑-桔子,F4,43.6,6.5,台北二,104,18.3,13.8,279.0,2012,2,5,6
27,雜柑-桔子,F4,42.2,8.0,台北二,104,22.3,20.4,236.0,2012,2,6,0
28,雜柑-桔子,F4,60.0,7.7,台北二,104,40.6,45.1,185.0,2012,2,9,3
29,雜柑-桔子,F4,77.1,10.0,台北二,104,39.6,37.0,186.0,2012,2,10,4
30,雜柑-桔子,F4,61.8,32.5,台北二,104,48.2,48.9,346.0,2012,2,11,5
31,雜柑-桔子,F4,52.1,32.2,台北二,104,41.1,40.5,296.0,2012,2,12,6
32,雜柑-桔子,F4,68.0,27.7,台北二,104,45.0,43.2,103.0,2012,2,14,1
33,雜柑-桔子,F4,71.8,28.0,台北二,104,53.2,55.4,174.0,2012,2,15,2
34,雜柑-桔子,F4,76.0,8.8,台北二,104,44.6,46.0,191.0,2012,2,16,3
35,雜柑-桔子,F4,76.9,40.0,台北二,104,58.6,58.7,121.0,2012,2,17,4
36,雜柑-桔子,F4,80.3,33.1,台北二,104,48.3,42.6,286.0,2012,2,18,5
37,雜柑-桔子,F4,77.1,40.7,台北二,104,56.6,55.1,127.0,2012,2,19,6
38,雜柑-桔子,F4,74.6,28.1,台北二,104,56.3,59.6,321.0,2012,2,21,1
39,雜柑-桔子,F4,85.0,23.9,台北二,104,53.3,52.5,184.0,2012,2,22,2
40,雜柑-桔子,F4,72.2,10.0,台北二,104,40.0,39.3,315.0,2012,2,23,3
41,雜柑-桔子,F4,65.0,21.1,台北二,104,47.0,49.6,184.0,2012,2,24,4
42,雜柑-桔子,F4,90.0,10.0,台北二,104,59.1,65.2,93.0,2012,2,25,5
43,雜柑-桔子,F4,71.0,44.5,台北二,104,60.4,62.2,209.0,2012,2,26,6
44,雜柑-桔子,F4,80.0,80.0,台北二,104,80.0,80.0,38.0,2012,2,28,1
45,雜柑-桔子,F4,64.0,48.5,台北二,104,58.6,60.2,191.0,2012,2,29,2
46,雜柑-桔子,F4,80.0,53.0,台北二,104,60.9,57.2,93.0,2012,3,1,3
47,雜柑-桔子,F4,70.4,18.4,台北二,104,42.9,42.0,272.0,2012,3,2,4
48,雜柑-桔子,F4,85.0,30.0,台北二,104,58.9,59.8,80.0,2012,3,3,5
49,雜柑-桔子,F4,115.0,50.0,台北二,104,82.9,83.1,84.0,2012,3,4,6
50,雜柑-桔子,F4,88.3,18.0,台北二,104,51.9,51.1,137.0,2012,3,6,1
51,雜柑-桔子,F4,91.3,26.2,台北二,104,51.8,47.2,123.0,2012,3,7,2
52,雜柑-桔子,F4,84.3,25.1,台北二,104,48.8,44.8,147.0,2012,3,8,3
53,雜柑-桔子,F4,100.0,53.0,台北二,104,74.1,72.4,63.0,2012,3,9,4
54,雜柑-桔子,F4,125.0,70.0,台北二,104,97.1,96.8,50.0,2012,3,10,5
55,雜柑-桔子,F4,104.4,31.0,台北二,104,74.0,78.2,129.0,2012,3,11,6
56,雜柑-桔子,F4,110.0,76.8,台北二,104,90.4,88.4,114.0,2012,3,13,1
57,雜柑-桔子,F4,89.7,37.3,台北二,104,61.8,60.7,284.0,2012,3,14,2
58,雜柑-桔子,F4,87.8,27.4,台北二,104,64.8,69.6,229.0,2012,3,15,3
59,雜柑-桔子,F4,82.1,36.9,台北二,104,62.9,65.2,234.0,2012,3,16,4
60,雜柑-桔子,F4,80.0,16.8,台北二,104,58.5,65.2,104.0,2012,3,17,5
61,雜柑-桔子,F4,84.4,47.0,台北二,104,59.4,55.2,82.0,2012,3,18,6
62,雜柑-桔子,F4,95.5,30.0,台北二,104,76.8,86.2,78.0,2012,3,20,1
63,雜柑-桔子,F4,95.0,45.0,台北二,104,79.1,85.1,59.0,2012,3,21,2
64,雜柑-桔子,F4,90.0,64.3,台北二,104,79.0,80.2,200.0,2012,3,22,3
65,雜柑-桔子,F4,90.0,75.0,台北二,104,83.5,84.1,135.0,2012,3,23,4
66,雜柑-桔子,F4,86.8,63.0,台北二,104,74.9,74.9,171.0,2012,3,24,5
67,雜柑-桔子,F4,95.0,95.0,台北二,104,95.0,95.0,11.0,2012,3,25,6
68,雜柑-桔子,F4,88.0,42.5,台北二,104,65.6,65.8,176.0,2012,3,27,1
69,雜柑-桔子,F4,96.0,70.0,台北二,104,80.7,79.2,66.0,2012,3,28,2
70,雜柑-桔子,F4,111.0,55.0,台北二,104,91.2,96.6,56.0,2012,3,29,3
71,雜柑-桔子,F4,108.7,20.0,台北二,104,63.2,62.4,103.0,2012,3,30,4
72,雜柑-桔子,F4,102.1,45.0,台北二,104,79.5,83.4,255.0,2012,3,31,5
73,雜柑-桔子,F4,87.8,67.0,台北二,104,73.0,70.0,246.0,2012,4,1,6
74,雜柑-桔子,F4,96.0,35.0,台北二,104,57.5,52.1,57.0,2012,4,2,0
75,雜柑-桔子,F4,108.4,62.0,台北二,104,93.1,98.3,178.0,2012,4,3,1
76,雜柑-桔子,F4,119.0,78.8,台北二,104,99.9,100.5,172.0,2012,4,6,4
77,雜柑-桔子,F4,110.0,96.7,台北二,104,104.9,105.9,107.0,2012,4,7,5
78,雜柑-桔子,F4,160.0,130.0,台北二,104,146.5,147.6,49.0,2012,4,8,6
79,雜柑-桔子,F4,116.2,62.8,台北二,104,103.4,112.6,145.0,2012,4,10,1
80,雜柑-桔子,F4,114.3,73.9,台北二,104,94.2,94.3,272.0,2012,4,11,2
81,雜柑-桔子,F4,110.0,62.5,台北二,104,87.3,88.0,189.0,2012,4,12,3
82,雜柑-桔子,F4,145.0,105.0,台北二,104,120.9,118.1,74.0,2012,4,13,4
83,雜柑-桔子,F4,117.5,52.5,台北二,104,93.0,98.4,200.0,2012,4,14,5
84,雜柑-桔子,F4,119.7,83.3,台北二,104,101.2,101.0,103.0,2012,4,15,6
85,雜柑-桔子,F4,125.0,120.1,台北二,104,124.0,125.0,51.0,2012,4,17,1
86,雜柑-桔子,F4,155.0,40.0,台北二,104,101.6,104.3,41.0,2012,4,18,2
87,雜柑-桔子,F4,145.0,100.0,台北二,104,127.0,130.0,70.0,2012,4,19,3
88,雜柑-桔子,F4,147.0,60.0,台北二,104,103.7,103.8,157.0,2012,4,20,4
89,雜柑-桔子,F4,132.9,82.4,台北二,104,103.2,100.3,339.0,2012,4,21,5
90,雜柑-桔子,F4,119.6,83.5,台北二,104,105.1,107.4,231.0,2012,4,22,6
91,雜柑-桔子,F4,111.1,35.9,台北二,104,72.6,72.0,236.0,2012,4,24,1
92,雜柑-桔子,F4,120.0,65.0,台北二,104,86.1,81.8,167.0,2012,4,25,2
93,雜柑-桔子,F4,105.0,100.0,台北二,104,101.7,101.2,65.0,2012,4,26,3
94,雜柑-桔子,F4,104.3,70.0,台北二,104,84.7,83.0,76.0,2012,4,27,4
95,雜柑-桔子,F4,115.0,91.0,台北二,104,104.6,105.7,67.0,2012,4,28,5
96,雜柑-桔子,F4,106.0,59.3,台北二,104,84.6,85.9,131.0,2012,4,29,6
97,雜柑-桔子,F4,125.0,85.0,台北二,104,111.8,116.4,83.0,2012,5,1,1
98,雜柑-桔子,F4,124.9,103.1,台北二,104,115.8,117.0,109.0,2012,5,2,2
99,雜柑-桔子,F4,119.8,102.7,台北二,104,113.4,114.8,116.0,2012,5,3,3
100,雜柑-桔子,F4,100.0,100.0,台北二,104,100.0,100.0,18.0,2012,5,4,4
101,雜柑-桔子,F4,125.0,55.0,台北二,104,102.5,110.8,55.0,2012,5,5,5
102,雜柑-桔子,F4,135.0,120.0,台北二,104,128.0,128.4,73.0,2012,5,6,6
103,雜柑-桔子,F4,130.0,93.7,台北二,104,116.8,120.1,222.0,2012,5,8,1
104,雜柑-桔子,F4,113.1,82.7,台北二,104,93.8,91.1,434.0,2012,5,9,2
105,雜柑-桔子,F4,125.0,80.0,台北二,104,102.0,101.6,140.0,2012,5,10,3
106,雜柑-桔子,F4,97.9,50.0,台北二,104,63.3,56.3,340.0,2012,5,11,4
107,雜柑-桔子,F4,100.0,47.0,台北二,104,68.1,64.5,197.0,2012,5,12,5
108,雜柑-桔子,F4,98.6,44.9,台北二,104,62.3,56.0,219.0,2012,5,13,6
109,雜柑-桔子,F4,91.5,45.0,台北二,104,61.7,57.4,188.0,2012,5,15,1
110,雜柑-桔子,F4,71.6,41.3,台北二,104,57.6,58.3,338.0,2012,5,16,2
111,雜柑-桔子,F4,70.6,36.4,台北二,104,51.8,50.6,336.0,2012,5,17,3
112,雜柑-桔子,F4,72.3,33.4,台北二,104,46.9,42.9,298.0,2012,5,18,4
113,雜柑-桔子,F4,70.0,50.0,台北二,104,58.3,57.1,135.0,2012,5,19,5
114,雜柑-桔子,F4,66.0,47.2,台北二,104,54.3,52.7,193.0,2012,5,20,6
115,雜柑-桔子,F4,64.3,32.6,台北二,104,43.8,40.7,371.0,2012,5,22,1
116,雜柑-桔子,F4,51.9,21.3,台北二,104,31.7,28.4,520.0,2012,5,23,2
117,雜柑-桔子,F4,45.2,22.2,台北二,104,30.9,29.0,446.0,2012,5,24,3
118,雜柑-桔子,F4,30.6,14.6,台北二,104,20.4,19.0,634.0,2012,5,25,4
119,雜柑-桔子,F4,35.0,20.0,台北二,104,27.0,26.6,135.0,2012,5,26,5
120,雜柑-桔子,F4,31.5,18.0,台北二,104,23.4,22.5,264.0,2012,5,27,6
121,雜柑-桔子,F4,30.8,18.2,台北二,104,25.7,26.5,259.0,2012,5,29,1
122,雜柑-桔子,F4,38.6,25.0,台北二,104,29.0,27.2,159.0,2012,5,30,2
123,雜柑-桔子,F4,44.0,30.2,台北二,104,39.2,40.7,107.0,2012,5,31,3
124,雜柑-桔子,F4,42.0,25.9,台北二,104,33.7,33.6,264.0,2012,6,1,4
125,雜柑-桔子,F4,35.0,25.8,台北二,104,30.6,30.8,249.0,2012,6,2,5
126,雜柑-桔子,F4,41.0,27.1,台北二,104,33.9,33.8,373.0,2012,6,3,6
127,雜柑-桔子,F4,28.4,23.5,台北二,104,25.9,25.8,453.0,2012,6,5,1
128,雜柑-桔子,F4,30.0,18.2,台北二,104,23.8,23.6,421.0,2012,6,6,2
129,雜柑-桔子,F4,27.8,14.3,台北二,104,20.8,20.6,438.0,2012,6,7,3
130,雜柑-桔子,F4,32.6,20.0,台北二,104,26.1,26.0,243.0,2012,6,8,4
131,雜柑-桔子,F4,35.0,23.8,台北二,104,29.0,28.7,297.0,2012,6,9,5
132,雜柑-桔子,F4,39.8,28.8,台北二,104,35.2,35.7,159.0,2012,6,10,6
133,雜柑-桔子,F4,47.9,34.0,台北二,104,37.9,35.9,145.0,2012,6,12,1
134,雜柑-桔子,F4,43.6,37.5,台北二,104,40.3,40.1,137.0,2012,6,13,2
135,雜柑-桔子,F4,54.4,35.0,台北二,104,47.5,49.3,272.0,2012,6,14,3
136,雜柑-桔子,F4,42.9,24.5,台北二,104,34.4,34.9,419.0,2012,6,15,4
137,雜柑-桔子,F4,51.6,33.3,台北二,104,41.4,40.8,316.0,2012,6,16,5
138,雜柑-桔子,F4,36.1,16.8,台北二,104,27.4,28.1,486.0,2012,6,17,6
139,雜柑-桔子,F4,44.8,28.2,台北二,104,37.3,37.8,410.0,2012,6,19,1
140,雜柑-桔子,F4,35.0,24.8,台北二,104,30.6,31.1,408.0,2012,6,20,2
141,雜柑-桔子,F4,32.0,20.0,台北二,104,25.0,24.3,270.0,2012,6,21,3
142,雜柑-桔子,F4,33.9,19.0,台北二,104,24.7,23.5,361.0,2012,6,22,4
143,雜柑-桔子,F4,30.0,15.1,台北二,104,23.4,23.9,413.0,2012,6,23,5
144,雜柑-桔子,F4,32.3,17.1,台北二,104,24.9,25.0,595.0,2012,6,26,1
145,雜柑-桔子,F4,29.2,14.1,台北二,104,22.8,23.5,500.0,2012,6,27,2
146,雜柑-桔子,F4,37.2,17.7,台北二,104,24.4,22.4,659.0,2012,6,28,3
147,雜柑-桔子,F4,26.2,15.6,台北二,104,21.4,21.8,572.0,2012,6,29,4
148,雜柑-桔子,F4,31.5,17.4,台北二,104,25.6,26.3,544.0,2012,6,30,5
149,雜柑-桔子,F4,27.6,19.1,台北二,104,23.5,23.7,466.0,2012,7,1,6
150,雜柑-桔子,F4,41.1,23.1,台北二,104,30.9,30.2,323.0,2012,7,3,1
151,雜柑-桔子,F4,39.5,20.7,台北二,104,31.4,32.2,338.0,2012,7,4,2
152,雜柑-桔子,F4,36.9,25.6,台北二,104,30.5,30.0,486.0,2012,7,5,3
153,雜柑-桔子,F4,35.7,21.6,台北二,104,27.7,27.0,475.0,2012,7,6,4
154,雜柑-桔子,F4,31.7,21.5,台北二,104,26.1,25.8,616.0,2012,7,7,5
155,雜柑-桔子,F4,25.2,15.1,台北二,104,21.0,21.5,454.0,2012,7,8,6
156,雜柑-桔子,F4,31.4,15.4,台北二,104,25.9,27.6,336.0,2012,7,10,1
157,雜柑-桔子,F4,32.0,21.5,台北二,104,27.2,27.5,447.0,2012,7,11,2
158,雜柑-桔子,F4,29.9,21.4,台北二,104,25.0,24.5,496.0,2012,7,12,3
159,雜柑-桔子,F4,35.4,13.9,台北二,104,24.2,24.0,484.0,2012,7,13,4
160,雜柑-桔子,F4,40.0,18.1,台北二,104,28.3,27.8,481.0,2012,7,14,5
161,雜柑-桔子,F4,28.0,15.4,台北二,104,22.9,23.7,484.0,2012,7,15,6
162,雜柑-桔子,F4,40.3,13.6,台北二,104,27.4,27.7,382.0,2012,7,17,1
163,雜柑-桔子,F4,37.0,19.5,台北二,104,28.5,28.7,634.0,2012,7,18,2
164,雜柑-桔子,F4,46.6,24.0,台北二,104,30.9,27.9,543.0,2012,7,19,3
