,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,西瓜-黃肉,T5,18.0,15.0,台東市,930,16.0,0.0,706.0,2013,5,22,2
1,西瓜-黃肉,T5,25.0,15.0,台東市,930,20.0,0.0,750.0,2013,5,23,3
2,西瓜-黃肉,T5,25.0,15.0,台東市,930,20.0,0.0,650.0,2013,5,25,5
3,西瓜-黃肉,T5,25.0,15.0,台東市,930,22.0,0.0,500.0,2013,5,26,6
4,西瓜-黃肉,T5,25.0,15.0,台東市,930,18.0,0.0,600.0,2013,5,28,1
5,西瓜-黃肉,T5,25.0,15.0,台東市,930,22.0,0.0,550.0,2013,5,29,2
6,西瓜-黃肉,T5,25.0,15.0,台東市,930,16.0,0.0,550.0,2013,5,30,3
7,西瓜-黃肉,T5,22.0,15.0,台東市,930,18.0,0.0,650.0,2013,5,31,4
8,西瓜-黃肉,T5,25.0,15.0,台東市,930,17.0,0.0,580.0,2013,6,1,5
9,西瓜-黃肉,T5,25.0,15.0,台東市,930,18.0,0.0,540.0,2013,6,2,6
10,西瓜-黃肉,T5,25.0,15.0,台東市,930,16.0,16.0,540.0,2013,6,4,1
11,西瓜-黃肉,T5,25.0,15.0,台東市,930,16.0,16.0,480.0,2013,6,5,2
12,西瓜-黃肉,T5,28.0,15.0,台東市,930,21.0,22.0,500.0,2013,6,6,3
13,西瓜-黃肉,T5,28.0,15.0,台東市,930,20.0,21.0,400.0,2013,6,7,4
14,西瓜-黃肉,T5,28.0,15.0,台東市,930,20.0,21.0,400.0,2013,6,8,5
15,西瓜-黃肉,T5,28.0,15.0,台東市,930,19.0,20.0,500.0,2013,6,9,6
16,西瓜-黃肉,T5,28.0,15.0,台東市,930,20.0,21.0,650.0,2013,6,11,1
17,西瓜-黃肉,T5,28.0,15.0,台東市,930,20.0,21.0,500.0,2013,6,12,2
18,西瓜-黃肉,T5,28.0,15.0,台東市,930,20.0,20.0,460.0,2013,6,15,5
19,西瓜-黃肉,T5,28.0,15.0,台東市,930,21.0,21.0,460.0,2013,6,16,6
20,西瓜-黃肉,T5,28.0,15.0,台東市,930,22.0,21.0,450.0,2013,6,18,1
21,西瓜-黃肉,T5,28.0,15.0,台東市,930,22.0,22.0,220.0,2013,6,19,2
22,西瓜-黃肉,T5,28.0,15.0,台東市,930,23.0,22.0,200.0,2013,6,20,3
23,西瓜-黃肉,T5,28.0,15.0,台東市,930,23.0,22.0,300.0,2013,6,21,4
24,西瓜-黃肉,T5,28.0,15.0,台東市,930,23.0,22.0,300.0,2013,6,22,5
25,西瓜-黃肉,T5,28.0,15.0,台東市,930,22.0,22.0,200.0,2013,6,23,6
26,西瓜-黃肉,T5,22.0,15.0,台東市,930,16.0,17.0,300.0,2013,6,26,2
27,西瓜-黃肉,T5,22.0,10.0,台東市,930,16.0,15.0,250.0,2013,6,27,3
28,西瓜-黃肉,T5,22.0,15.0,台東市,930,16.0,16.0,250.0,2013,6,30,6
29,西瓜-黃肉,T5,19.0,7.0,台東市,930,12.0,12.0,350.0,2013,7,16,1
30,西瓜-黃肉,T5,17.0,7.0,台東市,930,11.0,10.0,350.0,2013,7,20,5
31,西瓜-黃肉,T5,17.0,8.0,台東市,930,11.0,10.0,300.0,2013,7,21,6
32,西瓜-黃肉,T5,16.0,7.0,台東市,930,11.0,10.0,280.0,2013,7,23,1
33,西瓜-黃肉,T5,16.0,7.0,台東市,930,11.0,10.0,320.0,2013,7,24,2
34,西瓜-黃肉,T5,18.0,7.0,台東市,930,11.0,10.0,300.0,2013,7,25,3
35,西瓜-黃肉,T5,16.0,10.0,台東市,930,12.0,12.0,350.0,2013,7,26,4
36,西瓜-黃肉,T5,16.0,10.0,台東市,930,12.0,12.0,350.0,2013,7,27,5
37,西瓜-黃肉,T5,18.0,7.0,台東市,930,11.0,10.0,500.0,2013,7,28,6
38,西瓜-黃肉,T5,16.0,10.0,台東市,930,11.1,12.0,500.0,2013,7,31,2
39,西瓜-黃肉,T5,17.0,9.0,台東市,930,12.0,12.0,450.0,2013,8,1,3
40,西瓜-黃肉,T5,17.0,9.0,台東市,930,10.0,11.0,300.0,2013,8,2,4
41,西瓜-黃肉,T5,15.0,9.0,台東市,930,10.0,11.0,500.0,2013,8,3,5
42,西瓜-黃肉,T5,15.0,9.0,台東市,930,11.4,11.4,220.0,2013,8,4,6
43,西瓜-黃肉,T5,18.0,10.0,台東市,930,12.7,13.0,750.0,2013,8,6,1
44,西瓜-黃肉,T5,18.0,10.0,台東市,930,13.0,13.0,600.0,2013,8,7,2
45,西瓜-黃肉,T5,18.0,11.0,台東市,930,15.0,12.0,400.0,2013,8,8,3
46,西瓜-黃肉,T5,18.0,10.0,台東市,930,12.0,12.0,420.0,2013,8,9,4
47,西瓜-黃肉,T5,18.0,10.0,台東市,930,12.8,12.4,350.0,2013,8,10,5
48,西瓜-黃肉,T5,18.0,10.0,台東市,930,12.8,12.0,350.0,2013,8,11,6
49,西瓜-黃肉,T5,21.0,11.0,台東市,930,15.0,13.0,350.0,2013,8,13,1
50,西瓜-黃肉,T5,22.0,11.0,台東市,930,15.0,15.0,460.0,2013,8,14,2
51,西瓜-黃肉,T5,22.0,11.0,台東市,930,15.0,15.0,300.0,2013,8,15,3
52,西瓜-黃肉,T5,23.0,11.0,台東市,930,15.3,15.0,500.0,2013,8,16,4
53,西瓜-黃肉,T5,23.0,10.0,台東市,930,14.0,13.0,570.0,2013,8,17,5
54,西瓜-黃肉,T5,25.0,10.0,台東市,930,15.0,15.0,400.0,2013,8,18,6
