,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,680.0,2012,4,29,6
1,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,650.0,2012,4,30,0
2,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,680.0,2012,5,1,1
3,榴槤-進口,859,68.0,65.0,嘉義市,600,65.0,65.0,710.0,2012,5,2,2
4,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,780.0,2012,5,3,3
5,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,750.0,2012,5,4,4
6,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1850.0,2012,5,5,5
7,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1790.0,2012,5,7,0
8,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1800.0,2012,5,8,1
9,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1750.0,2012,5,9,2
10,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2330.0,2012,5,10,3
11,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2200.0,2012,5,11,4
12,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2880.0,2012,5,12,5
13,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2330.0,2012,5,13,6
14,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2100.0,2012,5,14,0
15,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2350.0,2012,5,15,1
16,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2400.0,2012,5,16,2
17,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2500.0,2012,5,17,3
18,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2400.0,2012,5,18,4
19,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,2550.0,2012,5,19,5
20,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1880.0,2012,5,21,0
21,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1880.0,2012,5,23,2
22,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1800.0,2012,5,24,3
23,榴槤-進口,859,70.0,70.0,嘉義市,600,70.0,70.0,1900.0,2012,5,25,4
24,榴槤-進口,859,75.0,75.0,嘉義市,600,75.0,75.0,1800.0,2012,5,26,5
25,榴槤-進口,859,72.0,72.0,嘉義市,600,72.0,72.0,1700.0,2012,5,28,0
26,榴槤-進口,859,71.0,71.0,嘉義市,600,71.0,71.0,1900.0,2012,5,29,1
27,榴槤-進口,859,72.0,72.0,嘉義市,600,72.0,72.0,1200.0,2012,5,30,2
28,榴槤-進口,859,72.0,72.0,嘉義市,600,72.0,72.0,1700.0,2012,5,31,3
29,榴槤-進口,859,74.0,74.0,嘉義市,600,74.0,74.0,850.0,2012,6,1,4
30,榴槤-進口,859,73.0,73.0,嘉義市,600,73.0,73.0,950.0,2012,6,2,5
31,榴槤-進口,859,73.0,73.0,嘉義市,600,73.0,73.0,950.0,2012,6,4,0
32,榴槤-進口,859,73.0,73.0,嘉義市,600,73.0,73.0,980.0,2012,6,6,2
33,榴槤-進口,859,72.0,72.0,嘉義市,600,72.0,72.0,700.0,2012,6,7,3
