,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-紅龍玉文,R2,30.0,13.0,嘉義市,600,23.0,23.0,2800.0,2013,7,7,6
1,芒果-紅龍玉文,R2,27.0,12.0,嘉義市,600,21.0,21.0,1600.0,2013,7,8,0
2,芒果-紅龍玉文,R2,30.0,13.0,嘉義市,600,22.0,22.0,1500.0,2013,7,10,2
3,芒果-紅龍玉文,R2,30.0,13.0,嘉義市,600,23.0,23.0,2000.0,2013,7,11,3
4,芒果-紅龍玉文,R2,29.0,12.0,嘉義市,600,22.0,22.0,2500.0,2013,7,12,4
5,芒果-紅龍玉文,R2,29.0,12.0,嘉義市,600,22.0,22.0,2000.0,2013,7,13,5
6,芒果-紅龍玉文,R2,30.0,12.0,嘉義市,600,22.0,22.0,2500.0,2013,7,14,6
7,芒果-紅龍玉文,R2,30.0,13.0,嘉義市,600,22.0,22.0,2300.0,2013,7,15,0
8,芒果-紅龍玉文,R2,30.0,14.0,嘉義市,600,23.0,23.0,2000.0,2013,7,16,1
9,芒果-紅龍玉文,R2,28.0,12.0,嘉義市,600,20.0,20.0,2200.0,2013,7,17,2
10,芒果-紅龍玉文,R2,27.0,12.0,嘉義市,600,18.0,18.0,2000.0,2013,7,18,3
11,芒果-紅龍玉文,R2,28.0,12.0,嘉義市,600,17.0,17.0,2200.0,2013,7,19,4
12,芒果-紅龍玉文,R2,29.0,13.0,嘉義市,600,20.0,20.0,2300.0,2013,7,20,5
13,芒果-紅龍玉文,R2,28.0,12.0,嘉義市,600,20.0,20.0,1800.0,2013,7,21,6
14,芒果-紅龍玉文,R2,27.0,12.0,嘉義市,600,22.0,22.0,1500.0,2013,7,22,0
15,芒果-紅龍玉文,R2,28.0,12.0,嘉義市,600,22.0,22.0,1800.0,2013,7,24,2
16,芒果-紅龍玉文,R2,28.0,14.0,嘉義市,600,23.0,23.0,1700.0,2013,7,25,3
17,芒果-紅龍玉文,R2,29.0,17.0,嘉義市,600,25.0,25.0,1500.0,2013,7,26,4
18,芒果-紅龍玉文,R2,28.0,16.0,嘉義市,600,24.0,24.0,1600.0,2013,7,27,5
19,芒果-紅龍玉文,R2,28.0,16.0,嘉義市,600,24.0,24.0,1500.0,2013,7,28,6
20,芒果-紅龍玉文,R2,30.0,17.0,嘉義市,600,24.0,24.0,1600.0,2013,7,29,0
21,芒果-紅龍玉文,R2,30.0,17.0,嘉義市,600,25.0,25.0,1800.0,2013,7,30,1
22,芒果-紅龍玉文,R2,30.0,17.0,嘉義市,600,24.0,24.0,1700.0,2013,7,31,2
23,芒果-紅龍玉文,R2,42.0,20.0,嘉義市,600,30.0,30.0,1500.0,2013,8,1,3
24,芒果-紅龍玉文,R2,42.0,18.0,嘉義市,600,28.0,28.0,1400.0,2013,8,2,4
25,芒果-紅龍玉文,R2,42.0,19.0,嘉義市,600,28.0,28.0,1600.0,2013,8,3,5
26,芒果-紅龍玉文,R2,45.0,20.0,嘉義市,600,28.0,28.0,1800.0,2013,8,4,6
27,芒果-紅龍玉文,R2,42.0,20.0,嘉義市,600,29.0,29.0,1500.0,2013,8,5,0
