,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,荔枝-糯米,J3,33.0,18.0,嘉義市,600,25.0,25.0,500.0,2013,6,26,2
1,荔枝-糯米,J3,34.0,17.0,嘉義市,600,25.0,25.0,550.0,2013,6,27,3
2,荔枝-糯米,J3,34.0,18.0,嘉義市,600,26.0,26.0,550.0,2013,6,28,4
3,荔枝-糯米,J3,33.0,17.0,嘉義市,600,25.0,25.0,600.0,2013,6,29,5
4,荔枝-糯米,J3,35.0,18.0,嘉義市,600,28.0,28.0,500.0,2013,6,30,6
5,荔枝-糯米,J3,34.0,17.0,嘉義市,600,26.0,26.0,420.0,2013,7,1,0
6,荔枝-糯米,J3,56.0,23.0,嘉義市,600,30.0,30.0,450.0,2013,7,2,1
7,荔枝-糯米,J3,58.0,24.0,嘉義市,600,31.0,31.0,500.0,2013,7,3,2
8,荔枝-糯米,J3,58.0,24.0,嘉義市,600,32.0,32.0,550.0,2013,7,4,3
9,荔枝-糯米,J3,60.0,25.0,嘉義市,600,35.0,35.0,500.0,2013,7,5,4
10,荔枝-糯米,J3,58.0,28.0,嘉義市,600,36.0,36.0,400.0,2013,7,6,5
11,荔枝-糯米,J3,57.0,28.0,嘉義市,600,35.0,35.0,450.0,2013,7,7,6
12,荔枝-糯米,J3,58.0,28.0,嘉義市,600,36.0,36.0,400.0,2013,7,8,0
13,荔枝-糯米,J3,57.0,27.0,嘉義市,600,37.0,37.0,600.0,2013,7,10,2
14,荔枝-糯米,J3,58.0,33.0,嘉義市,600,40.0,40.0,500.0,2013,7,11,3
15,荔枝-糯米,J3,58.0,34.0,嘉義市,600,42.0,42.0,600.0,2013,7,12,4
16,荔枝-糯米,J3,59.0,34.0,嘉義市,600,42.0,42.0,500.0,2013,7,13,5
17,荔枝-糯米,J3,58.0,33.0,嘉義市,600,41.0,41.0,550.0,2013,7,14,6
18,荔枝-糯米,J3,58.0,33.0,嘉義市,600,40.0,40.0,450.0,2013,7,16,1
19,荔枝-糯米,J3,50.0,22.0,嘉義市,600,33.0,33.0,1200.0,2014,6,24,1
20,荔枝-糯米,J3,50.0,23.0,嘉義市,600,34.0,34.0,1300.0,2014,6,25,2
21,荔枝-糯米,J3,50.0,23.0,嘉義市,600,35.0,35.0,1400.0,2014,6,26,3
22,荔枝-糯米,J3,50.0,23.0,嘉義市,600,35.0,35.0,1200.0,2014,6,27,4
23,荔枝-糯米,J3,50.0,23.0,嘉義市,600,33.0,33.0,1000.0,2014,6,29,6
24,荔枝-糯米,J3,50.0,23.0,嘉義市,600,33.0,33.0,1200.0,2014,6,30,0
25,荔枝-糯米,J3,45.0,23.0,嘉義市,600,30.0,30.0,700.0,2014,7,1,1
26,荔枝-糯米,J3,45.0,23.0,嘉義市,600,31.0,31.0,680.0,2014,7,2,2
27,荔枝-糯米,J3,46.0,23.0,嘉義市,600,31.0,31.0,600.0,2014,7,3,3
28,荔枝-糯米,J3,42.0,18.0,嘉義市,600,30.0,30.0,950.0,2014,7,4,4
29,荔枝-糯米,J3,40.0,18.0,嘉義市,600,28.0,28.0,900.0,2014,7,5,5
30,荔枝-糯米,J3,38.0,18.0,嘉義市,600,27.0,27.0,850.0,2014,7,6,6
31,荔枝-糯米,J3,37.0,18.0,嘉義市,600,26.0,26.0,1000.0,2014,7,7,0
32,荔枝-糯米,J3,40.0,18.0,嘉義市,600,28.0,28.0,700.0,2014,7,8,1
33,荔枝-糯米,J3,42.0,18.0,嘉義市,600,27.0,27.0,750.0,2014,7,9,2
34,荔枝-糯米,J3,40.0,17.0,嘉義市,600,26.0,26.0,600.0,2014,7,10,3
35,荔枝-糯米,J3,42.0,17.0,嘉義市,600,25.0,25.0,580.0,2014,7,11,4
36,荔枝-糯米,J3,40.0,15.0,嘉義市,600,23.0,23.0,480.0,2014,7,13,6
37,荔枝-糯米,J3,40.0,17.0,嘉義市,600,23.0,23.0,500.0,2014,7,14,0
38,荔枝-糯米,J3,40.0,17.0,嘉義市,600,23.0,23.0,400.0,2014,7,15,1
39,荔枝-糯米,J3,40.0,17.0,嘉義市,600,22.0,22.0,380.0,2014,7,16,2
40,荔枝-糯米,J3,40.0,18.0,嘉義市,600,23.0,23.0,400.0,2014,7,17,3
41,荔枝-糯米,J3,40.0,18.0,嘉義市,600,23.0,23.0,400.0,2014,7,18,4
42,荔枝-糯米,J3,42.0,18.0,嘉義市,600,22.0,22.0,450.0,2014,7,19,5
43,荔枝-糯米,J3,40.0,18.0,嘉義市,600,25.0,25.0,380.0,2014,7,20,6
44,荔枝-糯米,J3,30.0,20.0,嘉義市,600,25.0,25.0,1200.0,2015,6,22,0
45,荔枝-糯米,J3,30.0,20.0,嘉義市,600,25.0,25.0,1500.0,2015,6,24,2
46,荔枝-糯米,J3,50.0,25.0,嘉義市,600,35.0,35.0,2100.0,2015,6,25,3
47,荔枝-糯米,J3,50.0,24.0,嘉義市,600,35.0,35.0,2200.0,2015,6,26,4
48,荔枝-糯米,J3,53.0,25.0,嘉義市,600,40.0,40.0,2400.0,2015,6,27,5
49,荔枝-糯米,J3,51.0,25.0,嘉義市,600,38.0,38.0,1500.0,2015,6,28,6
50,荔枝-糯米,J3,50.0,25.0,嘉義市,600,38.0,38.0,1600.0,2015,6,29,0
51,荔枝-糯米,J3,45.0,20.0,嘉義市,600,33.0,33.0,1400.0,2015,6,30,1
