,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甜瓜-美濃,V1,25.0,15.0,宜蘭市,260,20.0,20.0,1520.0,2013,5,1,2
1,甜瓜-美濃,V1,30.0,10.0,宜蘭市,260,20.0,20.0,1580.0,2013,5,2,3
2,甜瓜-美濃,V1,15.0,7.0,宜蘭市,260,13.5,10.0,1560.0,2013,5,3,4
3,甜瓜-美濃,V1,35.0,25.0,宜蘭市,260,30.0,30.0,2080.0,2013,5,10,4
4,甜瓜-美濃,V1,20.0,10.0,宜蘭市,260,15.0,15.0,1520.0,2013,5,12,6
5,甜瓜-美濃,V1,25.0,16.0,宜蘭市,260,20.0,20.0,2270.0,2013,5,14,1
6,甜瓜-美濃,V1,22.0,18.0,宜蘭市,260,20.0,20.0,2520.0,2013,5,15,2
7,甜瓜-美濃,V1,27.0,21.0,宜蘭市,260,24.0,24.0,2150.0,2013,5,17,4
8,甜瓜-美濃,V1,28.0,20.0,宜蘭市,260,24.0,25.0,1880.0,2013,5,18,5
9,甜瓜-美濃,V1,24.0,18.0,宜蘭市,260,20.0,20.0,2940.0,2013,5,19,6
10,甜瓜-美濃,V1,25.0,18.0,宜蘭市,260,21.0,20.0,2830.0,2013,5,21,1
11,甜瓜-美濃,V1,28.0,20.0,宜蘭市,260,24.0,25.0,2450.0,2013,5,22,2
12,甜瓜-美濃,V1,28.0,20.0,宜蘭市,260,23.0,23.0,3250.0,2013,5,23,3
13,甜瓜-美濃,V1,30.0,20.0,宜蘭市,260,25.0,25.0,2550.0,2013,5,26,6
14,甜瓜-美濃,V1,28.0,20.0,宜蘭市,260,25.0,25.0,2850.0,2013,5,28,1
15,甜瓜-美濃,V1,27.0,20.0,宜蘭市,260,24.0,25.0,2370.0,2013,5,29,2
16,甜瓜-美濃,V1,25.0,15.0,宜蘭市,260,20.0,20.0,2100.0,2013,5,30,3
