,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-愛文,R1,40.0,20.0,宜蘭市,260,30.0,30.0,2540.0,2013,5,1,2
1,芒果-愛文,R1,65.0,40.0,宜蘭市,260,51.6,50.0,2780.0,2013,5,2,3
2,芒果-愛文,R1,60.0,20.0,宜蘭市,260,40.0,40.0,3500.0,2013,5,3,4
3,芒果-愛文,R1,35.0,20.0,宜蘭市,260,25.0,25.0,2430.0,2013,5,4,5
4,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,25.0,2450.0,2013,5,5,6
5,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,25.0,3240.0,2013,5,7,1
6,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,25.0,2200.0,2013,5,8,2
7,芒果-愛文,R1,70.0,40.0,宜蘭市,260,53.3,50.0,3540.0,2013,5,9,3
8,芒果-愛文,R1,26.0,18.0,宜蘭市,260,23.0,22.0,3620.0,2013,5,10,4
9,芒果-愛文,R1,22.0,18.0,宜蘭市,260,20.0,20.0,2340.0,2013,5,12,6
10,芒果-愛文,R1,25.0,16.0,宜蘭市,260,20.0,20.0,2750.0,2013,5,14,1
11,芒果-愛文,R1,28.0,20.0,宜蘭市,260,24.0,25.0,2530.0,2013,5,15,2
12,芒果-愛文,R1,50.0,25.0,宜蘭市,260,35.0,35.0,2680.0,2013,5,16,3
13,芒果-愛文,R1,28.0,24.0,宜蘭市,260,26.0,26.0,2240.0,2013,5,17,4
14,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,26.0,3210.0,2013,5,18,5
15,芒果-愛文,R1,36.0,20.0,宜蘭市,260,27.0,26.0,3520.0,2013,5,19,6
16,芒果-愛文,R1,33.0,20.0,宜蘭市,260,27.0,28.0,2740.0,2013,5,21,1
17,芒果-愛文,R1,28.0,20.0,宜蘭市,260,24.0,24.0,2650.0,2013,5,22,2
18,芒果-愛文,R1,38.0,20.0,宜蘭市,260,27.0,25.0,3350.0,2013,5,23,3
19,芒果-愛文,R1,28.0,20.0,宜蘭市,260,24.0,25.0,2340.0,2013,5,26,6
20,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,25.0,2750.0,2013,5,28,1
21,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,25.0,2400.0,2013,5,29,2
22,芒果-愛文,R1,30.0,20.0,宜蘭市,260,25.0,25.0,2200.0,2013,5,30,3
23,芒果-愛文,R1,40.0,20.0,宜蘭市,260,30.0,30.0,2200.0,2013,5,31,4
24,芒果-愛文,R1,65.0,30.0,宜蘭市,260,48.33,50.0,2540.0,2013,6,1,5
25,芒果-愛文,R1,72.0,30.0,宜蘭市,260,55.0,55.0,2640.0,2013,6,2,6
26,芒果-愛文,R1,70.0,40.0,宜蘭市,260,52.3,50.0,2870.0,2013,6,4,1
27,芒果-愛文,R1,72.0,30.0,宜蘭市,260,50.0,50.0,2640.0,2013,6,5,2
28,芒果-愛文,R1,75.0,40.0,宜蘭市,260,60.0,60.0,3210.0,2013,6,6,3
29,芒果-愛文,R1,75.0,30.0,宜蘭市,260,55.0,60.0,3980.0,2013,6,7,4
30,芒果-愛文,R1,75.0,30.0,宜蘭市,260,55.0,60.0,3750.0,2013,6,8,5
31,芒果-愛文,R1,75.0,50.0,宜蘭市,260,55.0,60.0,4050.0,2013,6,9,6
32,芒果-愛文,R1,80.0,50.0,宜蘭市,260,63.3,60.0,4860.0,2013,6,11,1
33,芒果-愛文,R1,70.0,40.0,宜蘭市,260,55.0,55.0,4150.0,2013,6,12,2
34,芒果-愛文,R1,65.0,40.0,宜蘭市,260,51.6,50.0,5230.0,2013,6,15,5
35,芒果-愛文,R1,55.0,45.0,宜蘭市,260,50.0,50.0,4500.0,2013,6,16,6
36,芒果-愛文,R1,50.0,35.0,宜蘭市,260,45.0,45.0,5230.0,2013,6,18,1
37,芒果-愛文,R1,50.0,40.0,宜蘭市,260,40.0,45.0,4250.0,2013,6,19,2
