,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,棗子,22,80.0,40.0,宜蘭市,260,60.0,60.0,3120.0,2013,12,1,6
1,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3780.0,2013,12,3,1
2,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3450.0,2013,12,4,2
3,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3650.0,2013,12,5,3
4,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3650.0,2013,12,6,4
5,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3680.0,2013,12,7,5
6,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3890.0,2013,12,8,6
7,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,4650.0,2013,12,10,1
8,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,4680.0,2013,12,11,2
9,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,4560.0,2013,12,12,3
10,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,3890.0,2013,12,13,4
11,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5320.0,2013,12,14,5
12,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,4650.0,2013,12,19,3
13,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,4560.0,2013,12,21,5
14,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5320.0,2013,12,22,6
15,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5870.0,2013,12,24,1
16,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5320.0,2013,12,25,2
17,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5320.0,2013,12,26,3
18,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5460.0,2013,12,27,4
19,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5890.0,2013,12,28,5
20,棗子,22,75.0,35.0,宜蘭市,260,55.0,55.0,5680.0,2013,12,29,6
21,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,5890.0,2014,1,1,2
22,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,5680.0,2014,1,2,3
23,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,5890.0,2014,1,3,4
24,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,5980.0,2014,1,4,5
25,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,5980.0,2014,1,5,6
26,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,6120.0,2014,1,7,1
27,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,6210.0,2014,1,8,2
28,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,6120.0,2014,1,9,3
29,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,6320.0,2014,1,10,4
30,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,6250.0,2014,1,11,5
31,棗子,22,90.0,40.0,宜蘭市,260,63.3,60.0,6530.0,2014,1,12,6
32,棗子,22,100.0,40.0,宜蘭市,260,66.6,60.0,6850.0,2014,1,14,1
33,棗子,22,100.0,40.0,宜蘭市,260,66.6,60.0,7120.0,2014,1,15,2
34,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7050.0,2014,1,16,3
35,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,6980.0,2014,1,17,4
36,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7120.0,2014,1,18,5
37,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7120.0,2014,1,19,6
38,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7250.0,2014,1,21,1
39,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7520.0,2014,1,22,2
40,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7210.0,2014,1,23,3
41,棗子,22,90.0,30.0,宜蘭市,260,56.6,50.0,7120.0,2014,1,24,4
42,棗子,22,100.0,30.0,宜蘭市,260,63.3,60.0,7650.0,2014,1,25,5
43,棗子,22,100.0,30.0,宜蘭市,260,63.3,60.0,8250.0,2014,1,26,6
44,棗子,22,100.0,30.0,宜蘭市,260,63.3,60.0,7650.0,2014,1,27,0
45,棗子,22,100.0,30.0,宜蘭市,260,63.3,60.0,8560.0,2014,1,28,1
46,棗子,22,100.0,30.0,宜蘭市,260,63.3,60.0,10520.0,2014,1,29,2
47,棗子,22,100.0,30.0,宜蘭市,260,63.3,60.0,8520.0,2014,1,30,3
48,棗子,22,80.0,30.0,宜蘭市,260,56.6,60.0,6850.0,2014,2,5,2
49,棗子,22,80.0,30.0,宜蘭市,260,56.6,60.0,7890.0,2014,2,6,3
50,棗子,22,80.0,30.0,宜蘭市,260,56.6,60.0,8950.0,2014,2,7,4
51,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8960.0,2014,2,8,5
52,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7650.0,2014,2,9,6
53,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7560.0,2014,2,11,1
54,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7980.0,2014,2,12,2
55,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7980.0,2014,2,13,3
56,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8250.0,2014,2,14,4
57,棗子,22,60.0,20.0,宜蘭市,260,40.0,40.0,6520.0,2014,2,20,3
58,棗子,22,60.0,20.0,宜蘭市,260,40.0,40.0,7520.0,2014,2,21,4
59,棗子,22,60.0,20.0,宜蘭市,260,40.0,40.0,8450.0,2014,2,22,5
60,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8210.0,2014,2,23,6
61,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8560.0,2014,2,25,1
62,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8650.0,2014,2,26,2
63,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8350.0,2014,2,27,3
64,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,9650.0,2014,2,28,4
65,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,9210.0,2014,3,1,5
66,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8650.0,2014,3,2,6
67,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8650.0,2014,3,4,1
68,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,9120.0,2014,3,5,2
69,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8950.0,2014,3,6,3
70,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,9120.0,2014,3,7,4
71,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,9250.0,2014,3,8,5
72,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,9120.0,2014,3,9,6
73,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8950.0,2014,3,11,1
74,棗子,22,70.0,20.0,宜蘭市,260,46.6,50.0,8650.0,2014,3,12,2
75,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,9530.0,2014,3,13,3
76,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,9650.0,2014,3,14,4
77,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8970.0,2014,3,15,5
78,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8930.0,2014,3,16,6
79,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8120.0,2014,3,18,1
80,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7980.0,2014,3,19,2
81,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7980.0,2014,3,20,3
82,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,7650.0,2014,3,21,4
83,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8560.0,2014,3,22,5
84,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8230.0,2014,3,23,6
85,棗子,22,80.0,20.0,宜蘭市,260,50.0,50.0,8530.0,2014,3,25,1
86,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,8150.0,2014,3,26,2
87,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,7950.0,2014,3,27,3
88,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,7540.0,2014,3,28,4
89,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,8120.0,2014,3,29,5
90,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,7120.0,2014,3,30,6
91,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,4230.0,2014,4,1,1
92,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,5210.0,2014,4,2,2
93,棗子,22,70.0,20.0,宜蘭市,260,50.0,50.0,4210.0,2014,4,3,3
