,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,火龍果-白肉,811,35.0,15.0,宜蘭市,260,25.0,25.0,3890.0,2013,7,18,3
1,火龍果-白肉,811,40.0,15.0,宜蘭市,260,28.3,30.0,3890.0,2013,7,19,4
2,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4950.0,2013,7,20,5
3,火龍果-白肉,811,50.0,20.0,宜蘭市,260,35.0,35.0,4050.0,2013,7,21,6
4,火龍果-白肉,811,60.0,20.0,宜蘭市,260,40.0,40.0,4210.0,2013,7,23,1
5,火龍果-白肉,811,50.0,30.0,宜蘭市,260,40.0,40.0,3890.0,2013,7,24,2
6,火龍果-白肉,811,50.0,20.0,宜蘭市,260,40.0,40.0,4050.0,2013,7,25,3
7,火龍果-白肉,811,50.0,30.0,宜蘭市,260,40.0,40.0,4560.0,2013,7,26,4
8,火龍果-白肉,811,50.0,30.0,宜蘭市,260,40.0,40.0,4230.0,2013,7,27,5
9,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4780.0,2013,7,28,6
10,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4050.0,2013,7,30,1
11,火龍果-白肉,811,40.0,20.0,宜蘭市,260,40.0,30.0,4050.0,2013,7,31,2
12,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4050.0,2013,8,1,3
13,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4560.0,2013,8,2,4
14,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,5630.0,2013,8,3,5
15,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4980.0,2013,8,4,6
16,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,5980.0,2013,8,6,1
17,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4650.0,2013,8,7,2
18,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4650.0,2013,8,8,3
19,火龍果-白肉,811,40.0,20.0,宜蘭市,260,30.0,30.0,4650.0,2013,8,9,4
20,火龍果-白肉,811,45.0,25.0,宜蘭市,260,33.3,30.0,4870.0,2013,8,10,5
21,火龍果-白肉,811,45.0,25.0,宜蘭市,260,33.3,30.0,5060.0,2013,8,11,6
22,火龍果-白肉,811,40.0,25.0,宜蘭市,260,31.6,30.0,4980.0,2013,8,13,1
23,火龍果-白肉,811,40.0,25.0,宜蘭市,260,31.6,30.0,4780.0,2013,8,14,2
24,火龍果-白肉,811,40.0,25.0,宜蘭市,260,31.6,30.0,4870.0,2013,8,15,3
25,火龍果-白肉,811,40.0,25.0,宜蘭市,260,31.6,30.0,4560.0,2013,8,16,4
26,火龍果-白肉,811,50.0,25.0,宜蘭市,260,38.3,40.0,4780.0,2013,8,17,5
27,火龍果-白肉,811,60.0,25.0,宜蘭市,260,41.6,40.0,5120.0,2013,8,18,6
28,火龍果-白肉,811,65.0,30.0,宜蘭市,260,45.0,40.0,5560.0,2013,8,20,1
29,火龍果-白肉,811,70.0,30.0,宜蘭市,260,46.6,40.0,5560.0,2013,8,21,2
30,火龍果-白肉,811,70.0,30.0,宜蘭市,260,46.6,40.0,5120.0,2013,8,24,5
31,火龍果-白肉,811,70.0,30.0,宜蘭市,260,46.6,40.0,5560.0,2013,8,25,6
32,火龍果-白肉,811,70.0,30.0,宜蘭市,260,46.6,40.0,5120.0,2013,8,27,1
33,火龍果-白肉,811,70.0,25.0,宜蘭市,260,45.0,40.0,5460.0,2013,8,28,2
