,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,雜柑-桔子,F4,30.0,20.0,宜蘭市,260,25.0,25.0,1850.0,2014,9,6,5
1,雜柑-桔子,F4,20.0,10.0,宜蘭市,260,15.0,15.0,750.0,2015,8,4,1
2,雜柑-桔子,F4,60.0,30.0,宜蘭市,260,40.0,45.0,500.0,2016,1,22,4
3,雜柑-桔子,F4,50.0,18.0,宜蘭市,260,35.0,40.0,650.0,2016,1,23,5
4,雜柑-桔子,F4,50.0,18.0,宜蘭市,260,35.0,40.0,600.0,2016,1,24,6
5,雜柑-桔子,F4,50.0,18.0,宜蘭市,260,35.0,40.0,450.0,2016,1,26,1
6,雜柑-桔子,F4,50.0,18.0,宜蘭市,260,35.0,40.0,480.0,2016,1,27,2
7,雜柑-桔子,F4,50.0,25.0,宜蘭市,260,40.0,40.0,350.0,2016,1,31,6
8,雜柑-桔子,F4,50.0,25.0,宜蘭市,260,40.0,40.0,500.0,2016,2,2,1
9,雜柑-桔子,F4,40.0,22.0,宜蘭市,260,32.0,30.0,680.0,2016,2,3,2
10,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,850.0,2016,2,4,3
11,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,1060.0,2016,2,5,4
12,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,1150.0,2016,2,6,5
13,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,880.0,2016,2,7,6
14,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,750.0,2016,2,13,5
15,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,660.0,2016,2,14,6
16,雜柑-桔子,F4,40.0,20.0,宜蘭市,260,30.0,30.0,850.0,2016,2,17,2
17,雜柑-桔子,F4,50.0,20.0,宜蘭市,260,30.0,30.0,880.0,2016,2,18,3
