,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,李-紅肉李,N3,46.6,46.6,東勢鎮,423,46.6,46.6,14.4,2012,5,11,4
1,李-紅肉李,N3,25.0,22.4,東勢鎮,423,22.4,25.0,70.2,2012,5,14,0
2,李-紅肉李,N3,50.0,50.0,東勢鎮,423,50.0,50.0,376.2,2012,5,16,2
3,李-紅肉李,N3,46.6,46.6,東勢鎮,423,46.6,46.6,45.0,2012,5,17,3
4,李-紅肉李,N3,68.3,25.6,東勢鎮,423,49.2,48.7,670.2,2012,5,18,4
5,李-紅肉李,N3,75.0,27.5,東勢鎮,423,50.5,50.4,513.6,2012,5,19,5
6,李-紅肉李,N3,68.9,30.3,東勢鎮,423,50.9,48.9,1611.6,2012,5,21,0
7,李-紅肉李,N3,88.0,38.6,東勢鎮,423,63.7,62.4,720.6,2012,5,22,1
8,李-紅肉李,N3,69.3,21.3,東勢鎮,423,46.5,46.3,1409.4,2012,5,23,2
9,李-紅肉李,N3,58.6,20.8,東勢鎮,423,36.3,35.7,908.4,2012,5,24,3
10,李-紅肉李,N3,66.6,19.6,東勢鎮,423,40.3,36.1,1018.2,2012,5,25,4
11,李-紅肉李,N3,68.4,19.0,東勢鎮,423,48.4,46.9,954.0,2012,5,26,5
12,李-紅肉李,N3,57.6,17.6,東勢鎮,423,40.1,40.4,1804.8,2012,5,28,0
13,李-紅肉李,N3,56.9,11.3,東勢鎮,423,33.1,35.2,1475.4,2012,5,29,1
14,李-紅肉李,N3,66.2,27.8,東勢鎮,423,50.7,56.3,783.0,2012,5,30,2
15,李-紅肉李,N3,66.0,17.0,東勢鎮,423,41.4,41.8,1936.2,2012,5,31,3
16,李-紅肉李,N3,60.9,31.4,東勢鎮,423,43.7,43.3,1848.0,2012,6,1,4
17,李-紅肉李,N3,74.3,17.3,東勢鎮,423,44.8,29.3,958.8,2012,6,2,5
18,李-紅肉李,N3,72.5,25.1,東勢鎮,423,52.4,51.5,3642.6,2012,6,4,0
19,李-紅肉李,N3,59.8,18.9,東勢鎮,423,39.2,37.3,2518.8,2012,6,5,1
20,李-紅肉李,N3,63.3,28.0,東勢鎮,423,44.8,44.7,3016.2,2012,6,6,2
21,李-紅肉李,N3,61.2,23.4,東勢鎮,423,46.5,43.1,1935.0,2012,6,7,3
22,李-紅肉李,N3,69.0,27.2,東勢鎮,423,39.2,40.6,2200.8,2012,6,8,4
23,李-紅肉李,N3,26.6,24.5,東勢鎮,423,25.0,25.0,276.0,2012,6,9,5
24,李-紅肉李,N3,37.5,20.7,東勢鎮,423,27.5,22.0,423.0,2012,6,11,0
25,李-紅肉李,N3,73.7,22.9,東勢鎮,423,37.9,31.9,981.6,2012,6,12,1
26,李-紅肉李,N3,66.6,47.2,東勢鎮,423,53.2,50.0,156.0,2012,6,13,2
27,李-紅肉李,N3,61.0,30.8,東勢鎮,423,40.0,39.4,1404.0,2012,6,14,3
28,李-紅肉李,N3,79.1,43.3,東勢鎮,423,59.3,58.8,816.6,2012,6,15,4
29,李-紅肉李,N3,71.8,36.8,東勢鎮,423,51.3,51.0,2039.4,2012,6,16,5
30,李-紅肉李,N3,80.0,43.1,東勢鎮,423,59.1,57.8,2226.0,2012,6,17,6
31,李-紅肉李,N3,55.9,33.1,東勢鎮,423,38.8,39.7,1638.0,2012,6,18,0
32,李-紅肉李,N3,74.0,40.6,東勢鎮,423,61.3,57.1,1296.0,2012,6,19,1
33,李-紅肉李,N3,75.0,38.1,東勢鎮,423,57.6,56.6,567.0,2012,6,20,2
34,李-紅肉李,N3,41.6,40.8,東勢鎮,423,41.5,41.6,1749.0,2012,6,21,3
35,李-紅肉李,N3,53.6,32.8,東勢鎮,423,42.1,40.5,883.8,2012,6,22,4
36,李-紅肉李,N3,29.1,29.1,東勢鎮,423,29.1,29.1,24.0,2012,7,2,0
37,李-紅肉李,N3,108.3,91.6,東勢鎮,423,91.6,108.3,48.0,2013,4,9,1
38,李-紅肉李,N3,50.0,41.0,東勢鎮,423,41.0,50.0,66.0,2013,5,3,4
39,李-紅肉李,N3,43.3,42.7,東勢鎮,423,42.7,43.3,240.0,2013,5,7,1
40,李-紅肉李,N3,46.6,45.5,東勢鎮,423,45.5,46.6,225.0,2013,5,8,2
41,李-紅肉李,N3,50.0,25.0,東勢鎮,423,33.4,39.9,548.4,2013,5,9,3
42,李-紅肉李,N3,59.7,25.2,東勢鎮,423,39.7,43.2,918.0,2013,5,10,4
43,李-紅肉李,N3,58.3,58.3,東勢鎮,423,58.3,58.3,117.0,2013,5,13,0
44,李-紅肉李,N3,62.5,30.4,東勢鎮,423,45.1,39.3,336.0,2013,5,14,1
45,李-紅肉李,N3,58.3,56.0,東勢鎮,423,56.0,58.3,99.0,2013,5,15,2
46,李-紅肉李,N3,58.3,58.3,東勢鎮,423,58.3,58.3,117.0,2013,5,16,3
47,李-紅肉李,N3,38.3,34.7,東勢鎮,423,34.7,38.3,99.0,2013,5,17,4
48,李-紅肉李,N3,71.3,33.3,東勢鎮,423,57.6,54.6,498.0,2013,5,18,5
49,李-紅肉李,N3,61.7,21.6,東勢鎮,423,40.9,38.4,1224.0,2013,5,20,0
50,李-紅肉李,N3,71.9,25.7,東勢鎮,423,49.9,49.6,1851.0,2013,5,21,1
51,李-紅肉李,N3,80.0,29.1,東勢鎮,423,59.9,61.2,1068.0,2013,5,22,2
52,李-紅肉李,N3,72.3,34.2,東勢鎮,423,62.2,59.7,1327.2,2013,5,23,3
53,李-紅肉李,N3,86.2,28.7,東勢鎮,423,57.8,57.9,2350.8,2013,5,24,4
54,李-紅肉李,N3,73.9,32.9,東勢鎮,423,63.6,58.2,1465.8,2013,5,25,5
55,李-紅肉李,N3,87.4,29.1,東勢鎮,423,62.1,62.0,4006.2,2013,5,27,0
56,李-紅肉李,N3,85.3,31.3,東勢鎮,423,49.9,47.7,1954.2,2013,5,28,1
57,李-紅肉李,N3,82.0,24.2,東勢鎮,423,50.4,49.9,2347.8,2013,5,29,2
58,李-紅肉李,N3,84.7,34.8,東勢鎮,423,61.9,58.5,2538.0,2013,5,30,3
59,李-紅肉李,N3,74.9,16.1,東勢鎮,423,38.5,35.8,2845.8,2013,5,31,4
60,李-紅肉李,N3,91.6,44.1,東勢鎮,423,61.9,67.2,447.0,2013,6,1,5
61,李-紅肉李,N3,71.3,24.4,東勢鎮,423,49.0,50.1,2958.0,2013,6,3,0
62,李-紅肉李,N3,84.5,15.9,東勢鎮,423,48.1,48.9,2634.0,2013,6,4,1
63,李-紅肉李,N3,85.9,26.0,東勢鎮,423,56.7,51.2,5640.6,2013,6,5,2
64,李-紅肉李,N3,94.1,29.4,東勢鎮,423,58.9,54.7,1753.8,2013,6,6,3
65,李-紅肉李,N3,91.6,37.0,東勢鎮,423,58.7,61.1,522.0,2013,6,7,4
66,李-紅肉李,N3,78.3,36.9,東勢鎮,423,48.6,39.1,867.0,2013,6,8,5
67,李-紅肉李,N3,81.3,22.0,東勢鎮,423,44.8,44.8,3204.6,2013,6,9,6
68,李-紅肉李,N3,80.1,23.1,東勢鎮,423,41.4,36.2,3184.2,2013,6,10,0
69,李-紅肉李,N3,73.8,26.5,東勢鎮,423,47.6,43.9,3066.6,2013,6,11,1
70,李-紅肉李,N3,70.1,26.7,東勢鎮,423,58.2,56.6,1545.6,2013,6,14,4
71,李-紅肉李,N3,75.0,52.5,東勢鎮,423,63.4,58.3,114.0,2013,6,15,5
72,李-紅肉李,N3,58.5,14.0,東勢鎮,423,31.5,27.8,859.8,2013,6,17,0
73,李-紅肉李,N3,30.8,24.9,東勢鎮,423,24.9,30.8,144.0,2013,6,19,2
74,李-紅肉李,N3,41.6,41.6,東勢鎮,423,41.6,41.6,240.0,2013,6,21,4
75,李-紅肉李,N3,63.3,14.5,東勢鎮,423,31.7,25.9,411.0,2013,6,22,5
76,李-紅肉李,N3,71.6,35.1,東勢鎮,423,50.4,53.9,648.0,2013,7,17,2
77,李-紅肉李,N3,70.0,11.8,東勢鎮,423,23.6,26.8,180.0,2013,7,18,3
78,李-紅肉李,N3,16.6,16.6,東勢鎮,423,16.6,16.6,30.0,2014,5,10,5
