,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甜橙-其他,E0,58.3,38.7,東勢鎮,423,45.2,45.0,124.2,2012,1,9,0
1,甜橙-其他,E0,58.3,41.6,東勢鎮,423,50.6,50.3,597.0,2012,1,16,0
2,甜橙-其他,E0,16.6,16.6,東勢鎮,423,16.6,16.6,633.6,2012,1,19,3
3,甜橙-其他,E0,41.6,40.0,東勢鎮,423,40.0,41.6,30.0,2012,1,28,5
4,甜橙-其他,E0,11.1,11.1,東勢鎮,423,11.1,11.1,36.0,2012,2,10,4
5,甜橙-其他,E0,33.3,10.8,東勢鎮,423,18.8,17.1,532.2,2012,2,17,4
6,甜橙-其他,E0,33.3,19.6,東勢鎮,423,27.6,25.0,94.2,2012,2,18,5
7,甜橙-其他,E0,33.3,22.3,東勢鎮,423,27.9,25.0,106.8,2012,2,20,0
8,甜橙-其他,E0,8.3,8.3,東勢鎮,423,8.3,8.3,221.4,2012,3,6,1
9,甜橙-其他,E0,8.3,8.3,東勢鎮,423,8.3,8.3,216.0,2012,3,17,5
10,甜橙-其他,E0,46.6,21.9,東勢鎮,423,32.3,32.4,538.8,2012,12,17,0
11,甜橙-其他,E0,50.0,41.6,東勢鎮,423,46.3,45.9,172.8,2012,12,25,1
12,甜橙-其他,E0,30.0,20.7,東勢鎮,423,23.6,25.0,117.6,2013,1,7,0
13,甜橙-其他,E0,33.3,33.3,東勢鎮,423,33.3,33.3,33.6,2013,1,9,2
14,甜橙-其他,E0,45.0,16.6,東勢鎮,423,29.4,28.7,706.2,2013,1,11,4
15,甜橙-其他,E0,35.0,22.6,東勢鎮,423,26.7,25.8,486.0,2013,1,15,1
16,甜橙-其他,E0,45.0,24.5,東勢鎮,423,34.8,32.4,258.6,2013,1,21,0
17,甜橙-其他,E0,46.6,25.9,東勢鎮,423,37.7,36.7,340.8,2013,1,28,0
18,甜橙-其他,E0,50.0,39.5,東勢鎮,423,44.7,41.6,144.0,2013,1,30,2
19,甜橙-其他,E0,46.6,25.4,東勢鎮,423,32.3,33.0,788.4,2013,2,2,5
20,甜橙-其他,E0,50.0,40.7,東勢鎮,423,44.0,41.6,402.0,2013,2,5,1
21,甜橙-其他,E0,66.6,37.4,東勢鎮,423,44.6,42.4,384.6,2013,3,2,5
22,甜橙-其他,E0,61.6,40.4,東勢鎮,423,44.9,43.1,213.0,2013,12,20,4
23,甜橙-其他,E0,66.6,38.9,東勢鎮,423,45.6,46.2,295.8,2013,12,24,1
