,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蘋果-五爪,X1,45.0,39.4,東勢鎮,423,43.3,45.0,432.0,2012,8,27,0
1,蘋果-五爪,X1,105.1,35.8,東勢鎮,423,57.3,53.4,196.2,2012,9,6,3
2,蘋果-五爪,X1,283.3,158.3,東勢鎮,423,211.4,217.6,63.0,2015,9,1,1
3,蘋果-五爪,X1,166.6,92.0,東勢鎮,423,118.7,124.1,123.0,2015,9,19,5
4,蘋果-五爪,X1,133.3,68.4,東勢鎮,423,96.6,98.4,53.4,2015,9,21,0
5,蘋果-五爪,X1,88.8,60.0,東勢鎮,423,66.6,70.3,63.0,2016,9,5,0
6,蘋果-五爪,X1,116.6,71.6,東勢鎮,423,92.3,90.0,117.0,2016,9,12,0
7,蘋果-五爪,X1,100.0,38.5,東勢鎮,423,49.3,68.4,2619.0,2016,9,21,2
8,蘋果-五爪,X1,105.5,83.3,東勢鎮,423,95.37,91.2,108.0,2017,9,12,1
9,蘋果-五爪,X1,90.5,38.7,東勢鎮,423,66.3,62.8,309.0,2017,9,19,1
10,蘋果-五爪,X1,58.3,58.3,東勢鎮,423,58.3,58.3,180.0,2018,8,27,0
11,蘋果-五爪,X1,80.5,41.6,東勢鎮,423,55.73,55.6,326.4,2018,9,19,2
12,蘋果-五爪,X1,83.3,83.3,東勢鎮,423,83.3,83.3,257.4,2018,9,21,4
13,蘋果-五爪,X1,83.3,77.8,東勢鎮,423,77.88,83.3,67.8,2018,9,27,3
