,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,李-加州李,N5,20.0,20.0,板橋區,220,20.0,20.0,102.0,2017,6,11,6
1,李-加州李,N5,20.0,20.0,板橋區,220,20.0,20.0,210.0,2017,6,21,2
2,李-加州李,N5,20.0,20.0,板橋區,220,20.0,20.0,108.0,2017,6,23,4
3,李-加州李,N5,35.0,35.0,板橋區,220,35.0,35.0,150.0,2017,6,27,1
4,李-加州李,N5,45.0,45.0,板橋區,220,45.0,45.0,84.0,2017,6,28,2
5,李-加州李,N5,30.0,30.0,板橋區,220,30.0,30.0,340.0,2017,6,29,3
6,李-加州李,N5,30.0,30.0,板橋區,220,30.0,30.0,34.0,2017,7,13,3
7,李-加州李,N5,26.0,26.0,板橋區,220,26.0,26.0,80.0,2017,7,22,5
8,李-加州李,N5,25.0,25.0,板橋區,220,25.0,25.0,34.0,2017,7,23,6
9,李-加州李,N5,20.0,20.0,板橋區,220,20.0,20.0,90.0,2018,6,7,3
10,李-加州李,N5,30.0,30.0,板橋區,220,30.0,30.0,110.0,2018,6,15,4
11,李-加州李,N5,25.0,25.0,板橋區,220,25.0,25.0,180.0,2018,6,23,5
12,李-加州李,N5,20.0,20.0,板橋區,220,20.0,20.0,128.0,2018,6,24,6
