,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-黑香金興,R5,100.0,100.0,板橋區,220,100.0,100.0,24.0,2017,5,19,4
1,芒果-黑香金興,R5,106.3,75.6,板橋區,220,93.1,94.6,48.0,2017,5,20,5
2,芒果-黑香金興,R5,100.0,90.0,板橋區,220,93.3,92.2,18.0,2017,5,21,6
3,芒果-黑香金興,R5,87.1,66.4,板橋區,220,76.4,76.2,42.0,2017,5,23,1
4,芒果-黑香金興,R5,96.7,60.0,板橋區,220,76.7,75.6,36.0,2017,5,25,3
5,芒果-黑香金興,R5,70.0,45.6,板橋區,220,61.3,63.5,48.0,2017,5,26,4
6,芒果-黑香金興,R5,44.0,44.0,板橋區,220,44.0,44.0,6.0,2017,6,2,4
7,芒果-黑香金興,R5,41.0,41.0,板橋區,220,41.0,41.0,108.0,2017,6,6,1
8,芒果-黑香金興,R5,108.9,32.0,板橋區,220,62.7,57.5,324.0,2017,6,7,2
9,芒果-黑香金興,R5,57.8,30.0,板橋區,220,37.0,32.4,372.0,2017,6,8,3
10,芒果-黑香金興,R5,33.7,32.0,板橋區,220,32.4,32.0,138.0,2017,6,9,4
11,芒果-黑香金興,R5,45.0,35.8,板橋區,220,38.7,37.6,185.0,2017,6,10,5
12,芒果-黑香金興,R5,36.0,36.0,板橋區,220,36.0,36.0,209.0,2017,6,11,6
13,芒果-黑香金興,R5,37.7,30.0,板橋區,220,34.4,34.8,338.0,2017,6,13,1
14,芒果-黑香金興,R5,32.0,32.0,板橋區,220,32.0,32.0,174.0,2017,6,14,2
15,芒果-黑香金興,R5,40.8,32.0,板橋區,220,33.9,32.3,186.0,2017,6,15,3
16,芒果-黑香金興,R5,65.0,60.0,板橋區,220,64.0,65.0,60.0,2017,6,16,4
17,芒果-黑香金興,R5,49.7,27.0,板橋區,220,34.0,31.1,127.0,2017,6,17,5
18,芒果-黑香金興,R5,56.3,37.5,板橋區,220,49.3,50.8,120.0,2017,6,18,6
19,芒果-黑香金興,R5,52.4,30.0,板橋區,220,36.0,32.6,604.0,2017,6,20,1
20,芒果-黑香金興,R5,38.8,26.7,板橋區,220,31.3,30.4,320.0,2017,6,21,2
21,芒果-黑香金興,R5,60.0,33.0,板橋區,220,46.6,46.7,222.0,2017,6,22,3
22,芒果-黑香金興,R5,65.2,29.7,板橋區,220,46.2,45.3,1035.0,2017,6,23,4
23,芒果-黑香金興,R5,52.4,30.0,板橋區,220,36.7,33.7,435.0,2017,6,24,5
24,芒果-黑香金興,R5,62.2,30.0,板橋區,220,41.3,38.2,413.0,2017,6,25,6
25,芒果-黑香金興,R5,56.3,20.0,板橋區,220,37.9,37.8,464.0,2017,6,27,1
26,芒果-黑香金興,R5,30.0,25.0,板橋區,220,27.0,26.7,297.0,2017,6,28,2
27,芒果-黑香金興,R5,53.0,20.0,板橋區,220,30.8,27.1,352.0,2017,6,29,3
28,芒果-黑香金興,R5,60.0,26.0,板橋區,220,42.3,41.8,161.0,2017,6,30,4
