,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,波羅蜜,G9,22.0,22.0,板橋區,220,22.0,22.0,20.0,2017,4,11,1
1,波羅蜜,G9,25.0,25.0,板橋區,220,25.0,25.0,30.0,2017,4,14,4
2,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,22.0,2017,4,21,4
3,波羅蜜,G9,80.0,80.0,板橋區,220,80.0,80.0,9.0,2017,4,25,1
4,波羅蜜,G9,18.0,18.0,板橋區,220,18.0,18.0,44.0,2017,5,23,1
5,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,72.0,2017,6,6,1
6,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,40.0,2017,6,7,2
7,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,135.0,2017,6,8,3
8,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,20.0,2017,6,10,5
9,波羅蜜,G9,13.0,13.0,板橋區,220,13.0,13.0,38.0,2017,6,11,6
10,波羅蜜,G9,7.0,7.0,板橋區,220,7.0,7.0,48.0,2017,6,17,5
11,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,12.0,2017,6,21,2
12,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,75.0,2017,6,22,3
13,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,36.0,2017,6,23,4
14,波羅蜜,G9,11.0,11.0,板橋區,220,11.0,11.0,108.0,2017,6,24,5
15,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,50.0,2017,6,25,6
16,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,60.0,2017,6,29,3
17,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,35.0,2017,7,2,6
18,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,20.0,2017,7,4,1
19,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,8.0,2017,7,7,4
20,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,28.0,2017,7,8,5
21,波羅蜜,G9,8.0,8.0,板橋區,220,8.0,8.0,20.0,2017,7,9,6
22,波羅蜜,G9,14.0,14.0,板橋區,220,14.0,14.0,100.0,2017,7,12,2
23,波羅蜜,G9,12.0,10.0,板橋區,220,10.6,10.3,176.0,2017,7,14,4
24,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,338.0,2017,7,15,5
25,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,204.0,2017,7,18,1
26,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,182.0,2017,7,19,2
27,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,154.0,2017,7,20,3
28,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,135.0,2017,7,21,4
29,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,200.0,2017,7,22,5
30,波羅蜜,G9,15.0,10.0,板橋區,220,11.9,11.5,260.0,2017,7,23,6
31,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,180.0,2017,7,25,1
32,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,216.0,2017,7,26,2
33,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,140.0,2017,7,27,3
34,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,195.0,2017,7,28,4
35,波羅蜜,G9,18.0,15.0,板橋區,220,15.9,15.5,196.0,2017,7,29,5
36,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,100.0,2017,8,1,1
37,波羅蜜,G9,14.8,12.0,板橋區,220,12.6,12.0,247.0,2017,8,2,2
38,波羅蜜,G9,20.0,17.0,板橋區,220,17.9,17.5,171.0,2017,8,3,3
39,波羅蜜,G9,20.0,12.0,板橋區,220,14.7,13.9,212.0,2017,8,4,4
40,波羅蜜,G9,18.0,15.0,板橋區,220,16.6,16.7,28.0,2017,8,5,5
41,波羅蜜,G9,16.0,14.0,板橋區,220,15.4,15.7,216.0,2017,8,8,1
42,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,182.0,2017,8,9,2
43,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,176.0,2017,8,11,4
44,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,175.0,2017,8,13,6
45,波羅蜜,G9,24.0,24.0,板橋區,220,24.0,24.0,116.0,2017,8,15,1
46,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,112.0,2017,8,17,3
47,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,48.0,2017,9,2,5
48,波羅蜜,G9,22.0,22.0,板橋區,220,22.0,22.0,72.0,2017,10,1,6
49,波羅蜜,G9,25.0,25.0,板橋區,220,25.0,25.0,128.0,2018,3,29,3
50,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,140.0,2018,3,31,5
51,波羅蜜,G9,16.0,16.0,板橋區,220,16.0,16.0,100.0,2018,4,1,6
52,波羅蜜,G9,28.0,28.0,板橋區,220,28.0,28.0,150.0,2018,4,3,1
53,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,82.0,2018,4,7,5
54,波羅蜜,G9,17.0,17.0,板橋區,220,17.0,17.0,169.0,2018,4,15,6
55,波羅蜜,G9,25.0,25.0,板橋區,220,25.0,25.0,90.0,2018,4,22,6
56,波羅蜜,G9,25.0,25.0,板橋區,220,25.0,25.0,18.0,2018,4,25,2
57,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,91.0,2018,5,1,1
58,波羅蜜,G9,18.0,18.0,板橋區,220,18.0,18.0,72.0,2018,5,3,3
59,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,20.0,2018,5,9,2
60,波羅蜜,G9,25.0,25.0,板橋區,220,25.0,25.0,140.0,2018,5,15,1
61,波羅蜜,G9,19.0,19.0,板橋區,220,19.0,19.0,22.0,2018,5,29,1
62,波羅蜜,G9,12.0,12.0,板橋區,220,12.0,12.0,26.0,2018,6,2,5
63,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,97.0,2018,6,12,1
64,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,34.0,2018,6,13,2
65,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,78.0,2018,6,17,6
66,波羅蜜,G9,25.0,20.0,板橋區,220,23.3,23.8,77.0,2018,6,21,3
67,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,20.0,2018,6,22,4
68,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,85.0,2018,6,26,1
69,波羅蜜,G9,18.0,15.0,板橋區,220,16.4,16.3,277.0,2018,6,27,2
70,波羅蜜,G9,10.0,10.0,板橋區,220,10.0,10.0,91.0,2018,6,29,4
71,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,10.0,2018,6,30,5
72,波羅蜜,G9,20.0,20.0,板橋區,220,20.0,20.0,156.0,2018,7,7,5
73,波羅蜜,G9,15.0,15.0,板橋區,220,15.0,15.0,12.0,2018,7,8,6
