,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甜瓜-美濃,V1,48.0,40.0,板橋區,220,43.4,43.1,980.0,2017,4,7,4
1,甜瓜-美濃,V1,27.0,20.5,板橋區,220,24.4,24.8,1862.0,2017,4,8,5
2,甜瓜-美濃,V1,36.0,19.1,板橋區,220,32.6,36.0,1310.0,2017,4,9,6
3,甜瓜-美濃,V1,36.0,26.9,板橋區,220,32.2,32.6,3026.0,2017,4,11,1
4,甜瓜-美濃,V1,28.0,22.3,板橋區,220,26.3,27.1,2856.0,2017,4,12,2
5,甜瓜-美濃,V1,20.0,20.0,板橋區,220,20.0,20.0,700.0,2017,4,13,3
6,甜瓜-美濃,V1,20.0,20.0,板橋區,220,20.0,20.0,1246.0,2017,4,14,4
7,甜瓜-美濃,V1,33.0,29.1,板橋區,220,32.2,33.0,1624.0,2017,4,15,5
8,甜瓜-美濃,V1,50.0,21.8,板橋區,220,35.0,34.4,3486.0,2017,4,16,6
9,甜瓜-美濃,V1,39.5,16.8,板橋區,220,27.5,27.0,5418.0,2017,4,18,1
10,甜瓜-美濃,V1,37.4,19.4,板橋區,220,27.0,26.0,5964.0,2017,4,19,2
11,甜瓜-美濃,V1,26.7,18.6,板橋區,220,23.2,23.6,5806.0,2017,4,20,3
12,甜瓜-美濃,V1,15.0,15.0,板橋區,220,15.0,15.0,3248.0,2017,4,21,4
13,甜瓜-美濃,V1,15.0,12.0,板橋區,220,13.4,13.4,2982.0,2017,4,22,5
14,甜瓜-美濃,V1,26.0,23.2,板橋區,220,25.1,25.5,784.0,2017,4,23,6
15,甜瓜-美濃,V1,26.2,16.8,板橋區,220,21.4,21.4,5134.0,2017,4,25,1
16,甜瓜-美濃,V1,23.0,12.7,板橋區,220,17.0,16.4,4858.0,2017,4,26,2
17,甜瓜-美濃,V1,15.0,10.6,板橋區,220,14.1,15.0,2394.0,2017,4,27,3
18,甜瓜-美濃,V1,20.0,15.0,板橋區,220,16.9,16.5,1190.0,2017,4,28,4
19,甜瓜-美濃,V1,22.0,10.0,板橋區,220,14.4,13.3,1652.0,2017,4,29,5
20,甜瓜-美濃,V1,22.0,15.0,板橋區,220,17.1,16.2,462.0,2017,4,30,6
21,甜瓜-美濃,V1,22.2,10.0,板橋區,220,16.7,17.2,2429.0,2017,5,2,1
22,甜瓜-美濃,V1,21.2,16.5,板橋區,220,18.3,18.0,1756.0,2017,5,3,2
23,甜瓜-美濃,V1,15.0,10.0,板橋區,220,12.3,12.2,3668.0,2017,5,4,3
24,甜瓜-美濃,V1,15.8,12.0,板橋區,220,14.1,14.2,2343.0,2017,5,5,4
25,甜瓜-美濃,V1,41.8,12.0,板橋區,220,19.4,14.4,828.0,2017,5,6,5
26,甜瓜-美濃,V1,15.0,10.0,板橋區,220,12.5,12.6,2268.0,2017,5,7,6
27,甜瓜-美濃,V1,27.6,11.3,板橋區,220,17.9,16.8,2858.0,2017,5,9,1
28,甜瓜-美濃,V1,20.3,12.0,板橋區,220,15.6,15.2,1818.0,2017,5,10,2
29,甜瓜-美濃,V1,13.0,13.0,板橋區,220,13.0,13.0,350.0,2017,5,11,3
30,甜瓜-美濃,V1,12.0,12.0,板橋區,220,12.0,12.0,294.0,2017,5,12,4
31,甜瓜-美濃,V1,20.0,15.0,板橋區,220,18.3,18.7,4466.0,2017,5,13,5
32,甜瓜-美濃,V1,17.6,15.0,板橋區,220,15.5,15.0,1120.0,2017,5,14,6
33,甜瓜-美濃,V1,20.0,14.1,板橋區,220,16.8,16.6,6464.0,2017,5,16,1
34,甜瓜-美濃,V1,18.0,12.7,板橋區,220,16.1,16.7,2466.0,2017,5,17,2
35,甜瓜-美濃,V1,18.0,14.0,板橋區,220,16.6,17.1,2492.0,2017,5,18,3
36,甜瓜-美濃,V1,24.3,13.0,板橋區,220,17.8,17.2,8758.0,2017,5,19,4
37,甜瓜-美濃,V1,23.3,12.4,板橋區,220,16.9,16.3,11214.0,2017,5,20,5
38,甜瓜-美濃,V1,26.5,14.2,板橋區,220,17.9,16.2,6440.0,2017,5,21,6
39,甜瓜-美濃,V1,19.0,9.6,板橋區,220,15.2,15.8,9426.0,2017,5,23,1
40,甜瓜-美濃,V1,29.4,7.1,板橋區,220,16.1,14.6,8120.0,2017,5,24,2
41,甜瓜-美濃,V1,19.4,7.6,板橋區,220,14.1,14.5,6935.0,2017,5,25,3
42,甜瓜-美濃,V1,22.7,7.7,板橋區,220,14.4,13.9,7172.0,2017,5,26,4
43,甜瓜-美濃,V1,15.6,8.4,板橋區,220,11.9,11.7,5589.0,2017,5,27,5
44,甜瓜-美濃,V1,24.4,10.9,板橋區,220,15.1,13.4,4900.0,2017,5,28,6
45,甜瓜-美濃,V1,16.3,12.0,板橋區,220,13.7,13.5,1470.0,2017,5,29,0
46,甜瓜-美濃,V1,15.9,11.5,板橋區,220,14.1,14.3,1996.0,2017,5,30,1
47,甜瓜-美濃,V1,14.3,5.1,板橋區,220,11.6,12.9,2637.0,2017,6,2,4
48,甜瓜-美濃,V1,13.0,8.9,板橋區,220,11.5,11.8,3157.0,2017,6,3,5
49,甜瓜-美濃,V1,15.0,10.0,板橋區,220,13.1,13.5,412.0,2017,6,4,6
50,甜瓜-美濃,V1,13.0,5.0,板橋區,220,8.9,8.8,290.0,2017,6,6,1
51,甜瓜-美濃,V1,16.0,7.8,板橋區,220,14.0,15.4,1162.0,2017,6,7,2
52,甜瓜-美濃,V1,15.0,5.0,板橋區,220,12.1,13.6,686.0,2017,6,8,3
53,甜瓜-美濃,V1,15.0,8.1,板橋區,220,11.4,11.3,3319.0,2017,6,9,4
54,甜瓜-美濃,V1,12.7,9.0,板橋區,220,11.0,11.1,2065.0,2017,6,10,5
55,甜瓜-美濃,V1,15.0,9.6,板橋區,220,11.1,10.4,844.0,2017,6,11,6
56,甜瓜-美濃,V1,10.0,8.0,板橋區,220,8.7,8.5,504.0,2017,6,13,1
57,甜瓜-美濃,V1,15.2,10.0,板橋區,220,11.8,11.2,838.0,2017,6,14,2
58,甜瓜-美濃,V1,8.0,8.0,板橋區,220,8.0,8.0,280.0,2017,6,15,3
59,甜瓜-美濃,V1,15.0,15.0,板橋區,220,15.0,15.0,84.0,2017,6,17,5
60,甜瓜-美濃,V1,14.0,8.0,板橋區,220,9.2,8.0,210.0,2017,6,18,6
61,甜瓜-美濃,V1,15.0,14.0,板橋區,220,14.4,14.3,339.0,2017,6,20,1
62,甜瓜-美濃,V1,14.0,14.0,板橋區,220,14.0,14.0,406.0,2017,6,21,2
