,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,西施柚-西施柚,H6,17.0,17.0,板橋區,220,17.0,17.0,170.0,2017,9,26,1
1,西施柚-西施柚,H6,18.0,18.0,板橋區,220,18.0,18.0,374.0,2017,9,29,4
2,西施柚-西施柚,H6,10.0,10.0,板橋區,220,10.0,10.0,411.0,2017,10,13,4
3,西施柚-西施柚,H6,10.0,10.0,板橋區,220,10.0,10.0,499.0,2017,10,14,5
4,西施柚-西施柚,H6,13.0,10.0,板橋區,220,11.3,11.1,140.0,2017,10,15,6
5,西施柚-西施柚,H6,15.0,15.0,板橋區,220,15.0,15.0,246.0,2017,10,17,1
6,西施柚-西施柚,H6,22.0,19.0,板橋區,220,19.7,19.1,729.0,2017,10,18,2
7,西施柚-西施柚,H6,21.0,15.4,板橋區,220,18.1,18.0,916.0,2017,10,19,3
8,西施柚-西施柚,H6,16.0,16.0,板橋區,220,16.0,16.0,144.0,2017,10,21,5
9,西施柚-西施柚,H6,17.0,17.0,板橋區,220,17.0,17.0,144.0,2017,10,22,6
10,西施柚-西施柚,H6,15.0,15.0,板橋區,220,15.0,15.0,360.0,2017,10,24,1
11,西施柚-西施柚,H6,16.0,12.0,板橋區,220,14.4,14.6,1060.0,2017,10,25,2
12,西施柚-西施柚,H6,16.0,13.3,板橋區,220,15.5,16.0,1183.0,2017,10,26,3
13,西施柚-西施柚,H6,15.5,13.7,板橋區,220,14.2,14.0,1710.0,2017,10,27,4
14,西施柚-西施柚,H6,15.0,12.0,板橋區,220,13.1,12.9,370.0,2017,10,28,5
15,西施柚-西施柚,H6,15.0,11.5,板橋區,220,14.0,14.4,957.0,2017,10,31,1
16,西施柚-西施柚,H6,14.6,13.0,板橋區,220,13.3,13.0,978.0,2017,11,1,2
17,西施柚-西施柚,H6,15.8,12.4,板橋區,220,14.5,14.8,1788.0,2017,11,2,3
18,西施柚-西施柚,H6,12.3,12.0,板橋區,220,12.1,12.0,632.0,2017,11,3,4
19,西施柚-西施柚,H6,12.0,10.0,板橋區,220,10.9,10.8,640.0,2017,11,4,5
20,西施柚-西施柚,H6,15.0,15.0,板橋區,220,15.0,15.0,120.0,2017,11,5,6
21,西施柚-西施柚,H6,15.0,12.0,板橋區,220,13.8,14.0,1175.0,2017,11,7,1
22,西施柚-西施柚,H6,20.0,13.0,板橋區,220,15.8,15.3,885.0,2017,11,8,2
23,西施柚-西施柚,H6,17.0,14.0,板橋區,220,16.0,16.3,607.0,2017,11,9,3
24,西施柚-西施柚,H6,15.0,12.0,板橋區,220,13.4,13.3,462.0,2017,11,10,4
25,西施柚-西施柚,H6,15.5,11.0,板橋區,220,11.9,11.0,639.0,2017,11,11,5
26,西施柚-西施柚,H6,12.0,12.0,板橋區,220,12.0,12.0,180.0,2017,11,12,6
27,西施柚-西施柚,H6,17.0,12.0,板橋區,220,13.9,13.6,1120.0,2017,11,14,1
28,西施柚-西施柚,H6,16.0,14.0,板橋區,220,15.4,15.6,714.0,2017,11,15,2
29,西施柚-西施柚,H6,14.0,10.0,板橋區,220,12.2,12.4,616.0,2017,11,17,4
30,西施柚-西施柚,H6,16.0,15.0,板橋區,220,15.7,15.8,465.0,2017,11,18,5
31,西施柚-西施柚,H6,15.0,15.0,板橋區,220,15.0,15.0,182.0,2017,11,19,6
