,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,釋迦-鳳梨釋迦,32,40.0,40.0,板橋區,220,40.0,40.0,36.0,2017,4,11,1
1,釋迦-鳳梨釋迦,32,40.0,40.0,板橋區,220,40.0,40.0,24.0,2017,4,12,2
2,釋迦-鳳梨釋迦,32,60.0,60.0,板橋區,220,60.0,60.0,90.0,2017,4,19,2
3,釋迦-鳳梨釋迦,32,50.0,50.0,板橋區,220,50.0,50.0,90.0,2017,4,20,3
4,釋迦-鳳梨釋迦,32,50.0,50.0,板橋區,220,50.0,50.0,75.0,2017,4,22,5
5,釋迦-鳳梨釋迦,32,50.0,50.0,板橋區,220,50.0,50.0,72.0,2017,4,25,1
6,釋迦-鳳梨釋迦,32,50.0,50.0,板橋區,220,50.0,50.0,45.0,2017,4,26,2
7,釋迦-鳳梨釋迦,32,50.0,50.0,板橋區,220,50.0,50.0,105.0,2017,4,27,3
8,釋迦-鳳梨釋迦,32,60.0,60.0,板橋區,220,60.0,60.0,12.0,2017,5,13,5
9,釋迦-鳳梨釋迦,32,60.0,60.0,板橋區,220,60.0,60.0,12.0,2017,5,14,6
10,釋迦-鳳梨釋迦,32,48.0,48.0,板橋區,220,48.0,48.0,30.0,2017,12,3,6
11,釋迦-鳳梨釋迦,32,52.0,52.0,板橋區,220,52.0,52.0,24.0,2017,12,10,6
12,釋迦-鳳梨釋迦,32,50.0,50.0,板橋區,220,50.0,50.0,24.0,2017,12,22,4
13,釋迦-鳳梨釋迦,32,63.0,63.0,板橋區,220,63.0,63.0,12.0,2017,12,30,5
14,釋迦-鳳梨釋迦,32,35.0,35.0,板橋區,220,35.0,35.0,64.0,2018,1,5,4
15,釋迦-鳳梨釋迦,32,28.0,28.0,板橋區,220,28.0,28.0,54.0,2018,1,10,2
16,釋迦-鳳梨釋迦,32,35.0,35.0,板橋區,220,35.0,35.0,195.0,2018,1,11,3
17,釋迦-鳳梨釋迦,32,37.0,37.0,板橋區,220,37.0,37.0,120.0,2018,1,12,4
18,釋迦-鳳梨釋迦,32,26.0,26.0,板橋區,220,26.0,26.0,54.0,2018,1,14,6
19,釋迦-鳳梨釋迦,32,48.0,48.0,板橋區,220,48.0,48.0,54.0,2018,1,16,1
