,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,鳳梨-鳳梨花,B4,100.0,100.0,板橋區,220,100.0,100.0,88.0,2018,1,26,4
1,鳳梨-鳳梨花,B4,100.0,100.0,板橋區,220,100.0,100.0,174.0,2018,1,30,1
2,鳳梨-鳳梨花,B4,100.0,100.0,板橋區,220,100.0,100.0,610.0,2018,1,31,2
3,鳳梨-鳳梨花,B4,100.0,100.0,板橋區,220,100.0,100.0,56.0,2018,2,1,3
4,鳳梨-鳳梨花,B4,100.0,100.0,板橋區,220,100.0,100.0,120.0,2018,2,4,6
5,鳳梨-鳳梨花,B4,25.0,20.0,板橋區,220,23.3,23.8,910.0,2018,2,6,1
6,鳳梨-鳳梨花,B4,34.6,22.5,板橋區,220,26.4,25.0,1772.0,2018,2,7,2
7,鳳梨-鳳梨花,B4,28.7,24.8,板橋區,220,25.7,25.0,3077.0,2018,2,8,3
8,鳳梨-鳳梨花,B4,25.0,15.0,板橋區,220,20.7,21.2,10560.0,2018,2,9,4
9,鳳梨-鳳梨花,B4,25.0,18.9,板橋區,220,22.5,22.9,9471.0,2018,2,10,5
10,鳳梨-鳳梨花,B4,25.0,16.7,板橋區,220,21.8,22.5,2960.0,2018,2,11,6
11,鳳梨-鳳梨花,B4,24.5,15.0,板橋區,220,18.0,16.8,17761.0,2018,2,12,0
12,鳳梨-鳳梨花,B4,25.0,15.5,板橋區,220,20.1,19.9,8675.0,2018,2,13,1
13,鳳梨-鳳梨花,B4,17.0,17.0,板橋區,220,17.0,17.0,507.0,2018,2,14,2
14,鳳梨-鳳梨花,B4,25.0,18.0,板橋區,220,21.5,21.5,360.0,2018,2,22,3
15,鳳梨-鳳梨花,B4,10.0,10.0,板橋區,220,10.0,10.0,171.0,2018,2,28,2
16,鳳梨-鳳梨花,B4,7.0,7.0,板橋區,220,7.0,7.0,70.0,2018,3,1,3
17,鳳梨-鳳梨花,B4,20.0,20.0,板橋區,220,20.0,20.0,307.0,2018,3,3,5
18,鳳梨-鳳梨花,B4,8.0,8.0,板橋區,220,8.0,8.0,1125.0,2018,11,20,1
19,鳳梨-鳳梨花,B4,9.0,9.0,板橋區,220,9.0,9.0,374.0,2018,12,4,1
20,鳳梨-鳳梨花,B4,70.0,70.0,板橋區,220,70.0,70.0,86.0,2019,1,13,6
21,鳳梨-鳳梨花,B4,70.0,70.0,板橋區,220,70.0,70.0,140.0,2019,1,16,2
22,鳳梨-鳳梨花,B4,70.0,10.0,板橋區,220,26.1,16.8,820.0,2019,1,17,3
23,鳳梨-鳳梨花,B4,70.0,15.0,板橋區,220,30.2,22.1,577.0,2019,1,18,4
24,鳳梨-鳳梨花,B4,70.0,70.0,板橋區,220,70.0,70.0,80.0,2019,1,19,5
25,鳳梨-鳳梨花,B4,70.0,70.0,板橋區,220,70.0,70.0,546.0,2019,1,20,6
26,鳳梨-鳳梨花,B4,70.0,11.3,板橋區,220,28.3,20.0,1423.0,2019,1,22,1
27,鳳梨-鳳梨花,B4,70.0,18.0,板橋區,220,41.1,39.2,180.0,2019,1,23,2
28,鳳梨-鳳梨花,B4,70.0,70.0,板橋區,220,70.0,70.0,80.0,2019,1,24,3
29,鳳梨-鳳梨花,B4,40.2,15.0,板橋區,220,20.6,16.0,1100.0,2019,1,25,4
30,鳳梨-鳳梨花,B4,18.0,13.0,板橋區,220,15.4,15.4,980.0,2019,1,26,5
31,鳳梨-鳳梨花,B4,18.0,14.0,板橋區,220,15.6,15.3,3328.0,2019,1,27,6
32,鳳梨-鳳梨花,B4,20.4,14.0,板橋區,220,17.2,17.1,14502.0,2019,1,29,1
33,鳳梨-鳳梨花,B4,16.5,12.0,板橋區,220,13.4,12.8,12626.0,2019,1,30,2
34,鳳梨-鳳梨花,B4,18.5,15.0,板橋區,220,16.6,16.4,3350.0,2019,1,31,3
35,鳳梨-鳳梨花,B4,18.0,12.0,板橋區,220,14.4,14.0,6380.0,2019,2,1,4
36,鳳梨-鳳梨花,B4,22.0,16.0,板橋區,220,19.2,19.3,9848.0,2019,2,2,5
37,鳳梨-鳳梨花,B4,18.0,15.0,板橋區,220,17.1,17.5,1149.0,2019,2,3,6
