,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,小番茄-其他,70,20.0,20.0,桃農,338,20.0,20.0,60.0,2012,1,1,6
1,小番茄-其他,70,20.0,20.0,桃農,338,20.0,20.0,48.0,2012,1,3,1
2,小番茄-其他,70,28.0,15.0,桃農,338,22.0,22.0,128.0,2012,1,4,2
3,小番茄-其他,70,18.0,18.0,桃農,338,18.0,18.0,48.0,2012,1,5,3
4,小番茄-其他,70,15.0,15.0,桃農,338,15.0,15.0,48.0,2012,1,7,5
5,小番茄-其他,70,35.0,25.0,桃農,338,30.0,30.0,40.0,2012,1,8,6
6,小番茄-其他,70,30.0,20.0,桃農,338,25.0,25.0,116.0,2012,1,10,1
7,小番茄-其他,70,20.0,20.0,桃農,338,20.0,20.0,48.0,2012,1,11,2
8,小番茄-其他,70,27.0,18.0,桃農,338,21.7,21.7,59.0,2012,1,12,3
9,小番茄-其他,70,10.0,10.0,桃農,338,10.0,10.0,9.0,2012,1,15,6
10,小番茄-其他,70,28.0,27.0,桃農,338,27.5,27.5,80.0,2012,1,17,1
11,小番茄-其他,70,10.0,10.0,桃農,338,10.0,10.0,68.0,2012,1,18,2
12,小番茄-其他,70,30.0,10.0,桃農,338,20.0,20.0,78.0,2012,1,22,6
13,小番茄-其他,70,23.0,23.0,桃農,338,23.0,23.0,80.0,2012,2,1,2
14,小番茄-其他,70,18.0,18.0,桃農,338,18.0,18.0,30.0,2012,2,3,4
15,小番茄-其他,70,18.0,8.0,桃農,338,14.0,14.0,200.0,2012,2,5,6
16,小番茄-其他,70,25.0,25.0,桃農,338,25.0,25.0,30.0,2012,2,11,5
17,小番茄-其他,70,15.0,15.0,桃農,338,15.0,15.0,24.0,2012,2,15,2
18,小番茄-其他,70,25.0,25.0,桃農,338,25.0,25.0,50.0,2012,2,16,3
19,小番茄-其他,70,48.0,48.0,桃農,338,48.0,48.0,40.0,2012,2,21,1
20,小番茄-其他,70,25.0,12.0,桃農,338,17.3,17.3,120.0,2012,3,16,4
21,小番茄-其他,70,35.0,28.0,桃農,338,31.5,31.5,48.0,2012,3,17,5
22,小番茄-其他,70,29.0,29.0,桃農,338,29.0,29.0,70.0,2012,3,21,2
23,小番茄-其他,70,8.0,8.0,桃農,338,8.0,8.0,30.0,2012,3,22,3
