,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-其他,O0,7.0,5.0,桃農,338,5.5,5.5,219.0,2013,7,16,1
1,梨-其他,O0,5.0,5.0,桃農,338,5.0,5.0,61.0,2013,7,17,2
2,梨-其他,O0,10.0,6.5,桃農,338,7.7,7.7,159.0,2013,7,20,5
3,梨-其他,O0,8.0,5.0,桃農,338,5.8,5.8,69.0,2013,7,21,6
4,梨-其他,O0,25.0,25.0,桃農,338,25.0,25.0,77.0,2015,6,17,2
5,梨-其他,O0,10.0,10.0,桃農,338,10.0,10.0,8.0,2015,7,15,2
6,梨-其他,O0,45.0,38.0,桃農,338,39.8,38.6,64.0,2017,3,11,5
7,梨-其他,O0,17.0,12.9,桃農,338,15.7,16.2,175.0,2017,8,6,6
8,梨-其他,O0,16.0,16.0,桃農,338,16.0,16.0,48.0,2018,7,14,5
9,梨-其他,O0,37.5,30.2,桃農,338,33.2,32.8,147.0,2018,9,15,5
