,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-秋水梨,O2,41.5,28.5,桃農,338,36.0,36.0,159.0,2012,6,7,3
1,梨-秋水梨,O2,22.0,20.0,桃農,338,21.0,21.0,60.0,2012,6,8,4
2,梨-秋水梨,O2,38.7,20.0,桃農,338,29.0,29.0,339.0,2012,6,13,2
3,梨-秋水梨,O2,59.8,17.5,桃農,338,32.9,32.9,539.0,2012,6,14,3
4,梨-秋水梨,O2,29.0,13.8,桃農,338,21.1,21.1,442.0,2012,6,15,4
5,梨-秋水梨,O2,45.0,13.6,桃農,338,29.7,29.7,537.0,2012,6,19,1
6,梨-秋水梨,O2,23.0,12.5,桃農,338,17.3,17.3,172.0,2012,6,20,2
7,梨-秋水梨,O2,49.0,9.8,桃農,338,30.3,30.3,749.0,2012,6,26,1
8,梨-秋水梨,O2,43.0,18.0,桃農,338,31.0,31.0,697.0,2012,6,27,2
9,梨-秋水梨,O2,37.0,10.0,桃農,338,24.6,24.6,589.0,2012,6,28,3
10,梨-秋水梨,O2,37.5,10.0,桃農,338,21.6,21.6,627.0,2012,6,29,4
11,梨-秋水梨,O2,27.6,6.1,桃農,338,17.4,17.4,1594.0,2012,7,3,1
12,梨-秋水梨,O2,37.0,17.0,桃農,338,27.1,27.1,513.0,2012,7,5,3
13,梨-秋水梨,O2,24.3,4.5,桃農,338,14.3,14.3,492.0,2012,7,6,4
14,梨-秋水梨,O2,35.0,35.0,桃農,338,35.0,35.0,82.0,2012,7,17,1
15,梨-秋水梨,O2,26.0,20.0,桃農,338,23.0,23.0,40.0,2012,7,18,2
16,梨-秋水梨,O2,40.0,35.0,桃農,338,37.5,37.5,36.0,2012,8,8,2
17,梨-秋水梨,O2,40.0,10.0,桃農,338,20.0,20.0,111.0,2012,8,14,1
18,梨-秋水梨,O2,44.0,34.0,桃農,338,39.9,39.9,302.0,2012,8,15,2
19,梨-秋水梨,O2,53.0,25.0,桃農,338,43.0,43.0,292.0,2012,8,16,3
20,梨-秋水梨,O2,15.0,15.0,桃農,338,15.0,15.0,40.0,2012,8,22,2
21,梨-秋水梨,O2,10.0,5.0,桃農,338,7.5,7.5,47.0,2012,8,23,3
22,梨-秋水梨,O2,65.0,30.0,桃農,338,51.0,51.0,316.0,2012,8,28,1
23,梨-秋水梨,O2,40.0,40.0,桃農,338,40.0,40.0,160.0,2012,8,29,2
24,梨-秋水梨,O2,60.5,45.0,桃農,338,53.1,53.1,342.0,2012,8,30,3
25,梨-秋水梨,O2,48.0,45.0,桃農,338,47.0,47.0,115.0,2012,8,31,4
26,梨-秋水梨,O2,52.0,52.0,桃農,338,52.0,52.0,50.0,2012,9,2,6
27,梨-秋水梨,O2,53.5,43.5,桃農,338,47.7,47.7,170.0,2012,9,6,3
28,梨-秋水梨,O2,46.0,38.0,桃農,338,42.4,42.4,150.0,2012,9,8,5
29,梨-秋水梨,O2,46.5,30.0,桃農,338,38.3,38.3,345.0,2012,9,14,4
30,梨-秋水梨,O2,49.5,35.0,桃農,338,43.7,43.7,176.0,2012,9,15,5
31,梨-秋水梨,O2,51.0,40.3,桃農,338,45.3,45.3,440.0,2012,9,19,2
32,梨-秋水梨,O2,47.5,30.0,桃農,338,38.3,38.3,260.0,2012,9,20,3
33,梨-秋水梨,O2,46.0,34.0,桃農,338,39.7,39.7,443.0,2012,9,21,4
34,梨-秋水梨,O2,45.7,35.0,桃農,338,41.5,41.5,410.0,2012,9,22,5
35,梨-秋水梨,O2,48.3,38.3,桃農,338,44.5,44.5,485.0,2012,9,23,6
36,梨-秋水梨,O2,50.0,48.0,桃農,338,49.0,49.0,66.0,2012,9,25,1
37,梨-秋水梨,O2,48.3,34.8,桃農,338,40.3,40.3,655.0,2012,9,26,2
38,梨-秋水梨,O2,40.0,37.5,桃農,338,39.2,39.2,266.0,2012,9,27,3
39,梨-秋水梨,O2,46.5,5.0,桃農,338,24.8,24.8,583.0,2012,9,28,4
40,梨-秋水梨,O2,35.0,30.0,桃農,338,33.1,33.1,510.0,2012,9,29,5
41,梨-秋水梨,O2,38.0,35.0,桃農,338,37.0,37.0,40.0,2012,10,6,5
42,梨-秋水梨,O2,29.0,25.0,桃農,338,26.0,26.0,190.0,2012,10,9,1
