,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-鳥梨,O7,50.0,50.0,豐原區,420,50.0,50.0,120.0,2016,1,3,6
1,梨-鳥梨,O7,60.0,60.0,豐原區,420,60.0,60.0,50.0,2016,1,28,3
2,梨-鳥梨,O7,50.0,50.0,豐原區,420,50.0,50.0,498.0,2016,1,31,6
3,梨-鳥梨,O7,50.0,25.0,豐原區,420,34.88,33.1,172.0,2016,9,23,4
4,梨-鳥梨,O7,50.0,25.0,豐原區,420,36.11,35.2,216.0,2016,10,7,4
5,梨-鳥梨,O7,100.0,60.0,豐原區,420,78.95,78.2,1900.0,2017,2,18,5
6,梨-鳥梨,O7,84.9,50.0,豐原區,420,59.21,53.7,7600.0,2017,2,19,6
7,梨-鳥梨,O7,30.0,25.0,豐原區,420,28.13,28.5,160.0,2017,9,21,3
8,梨-鳥梨,O7,30.0,25.0,豐原區,420,27.91,28.2,430.0,2017,9,28,3
9,梨-鳥梨,O7,30.0,30.0,豐原區,420,30.0,30.0,300.0,2017,10,4,2
10,梨-鳥梨,O7,30.0,30.0,豐原區,420,30.0,30.0,100.0,2017,10,10,1
11,梨-鳥梨,O7,30.0,30.0,豐原區,420,30.0,30.0,100.0,2017,10,11,2
12,梨-鳥梨,O7,50.0,50.0,豐原區,420,50.0,50.0,60.0,2017,10,22,6
13,梨-鳥梨,O7,50.0,32.0,豐原區,420,42.19,43.0,106.0,2018,10,5,4
14,梨-鳥梨,O7,40.0,40.0,豐原區,420,40.0,40.0,37.0,2018,10,13,5
15,梨-鳥梨,O7,50.0,50.0,豐原區,420,50.0,50.0,180.0,2018,11,13,1
16,梨-鳥梨,O7,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,12,1,5
17,梨-鳥梨,O7,30.0,30.0,豐原區,420,30.0,30.0,100.0,2018,12,8,5
18,梨-鳥梨,O7,50.0,30.0,豐原區,420,39.47,39.1,380.0,2018,12,18,1
19,梨-鳥梨,O7,30.0,30.0,豐原區,420,30.0,30.0,150.0,2018,12,19,2
20,梨-鳥梨,O7,30.0,20.0,豐原區,420,26.25,27.1,800.0,2019,1,1,1
21,梨-鳥梨,O7,42.0,42.0,豐原區,420,42.0,42.0,107.0,2019,2,4,0
