,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,洋香瓜-其他,W0,50.0,50.0,豐原區,420,50.0,50.0,300.0,2016,3,1,1
1,洋香瓜-其他,W0,60.0,60.0,豐原區,420,60.0,60.0,250.0,2016,3,3,3
2,洋香瓜-其他,W0,60.0,60.0,豐原區,420,60.0,60.0,500.0,2016,3,4,4
3,洋香瓜-其他,W0,60.0,60.0,豐原區,420,60.0,60.0,350.0,2016,3,5,5
4,洋香瓜-其他,W0,50.0,50.0,豐原區,420,50.0,50.0,18.0,2016,12,11,6
5,洋香瓜-其他,W0,100.0,75.0,豐原區,420,90.91,93.2,330.0,2016,12,13,1
6,洋香瓜-其他,W0,25.0,25.0,豐原區,420,25.0,25.0,108.0,2018,3,31,5
7,洋香瓜-其他,W0,40.0,40.0,豐原區,420,40.0,40.0,75.0,2018,4,15,6
8,洋香瓜-其他,W0,60.0,60.0,豐原區,420,60.0,60.0,50.0,2018,4,26,3
9,洋香瓜-其他,W0,75.0,60.0,豐原區,420,67.5,67.5,400.0,2018,4,28,5
10,洋香瓜-其他,W0,75.0,50.0,豐原區,420,63.16,63.6,380.0,2018,4,29,6
11,洋香瓜-其他,W0,23.9,20.0,豐原區,420,20.78,21.1,1717.0,2018,10,2,1
12,洋香瓜-其他,W0,50.0,50.0,豐原區,420,50.0,50.0,48.0,2018,10,3,2
13,洋香瓜-其他,W0,50.0,50.0,豐原區,420,50.0,50.0,42.0,2018,10,5,4
