,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蘋果-其他,X0,75.0,50.0,豐原區,420,61.76,61.3,170.0,2016,10,8,5
1,蘋果-其他,X0,50.0,30.0,豐原區,420,37.65,36.1,486.0,2016,10,11,1
2,蘋果-其他,X0,50.0,30.0,豐原區,420,37.5,35.8,2400.0,2016,11,11,4
3,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,1,20,5
4,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,450.0,2018,1,21,6
5,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,825.0,2018,1,23,1
6,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,1,24,2
7,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,930.0,2018,1,25,3
8,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,937.0,2018,1,27,5
9,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,1,30,1
10,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,1,31,2
11,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,2,3,5
12,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,2,4,6
13,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,900.0,2018,2,6,1
14,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,1875.0,2018,2,10,5
15,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,675.0,2018,2,15,3
16,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,637.0,2018,2,21,2
17,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,525.0,2018,2,22,3
18,蘋果-其他,X0,40.0,40.0,豐原區,420,40.0,40.0,375.0,2018,2,23,4
19,蘋果-其他,X0,100.0,50.0,豐原區,420,71.32,68.9,265.0,2018,9,6,3
20,蘋果-其他,X0,60.0,60.0,豐原區,420,60.0,60.0,245.0,2018,9,9,6
21,蘋果-其他,X0,50.0,50.0,豐原區,420,50.0,50.0,6.0,2018,9,11,1
22,蘋果-其他,X0,60.0,50.0,豐原區,420,55.93,56.6,295.0,2018,9,12,2
23,蘋果-其他,X0,60.0,60.0,豐原區,420,60.0,60.0,5.0,2018,9,14,4
