,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,西瓜-黃肉,T5,5.0,5.0,豐原區,420,5.0,5.0,3000.0,2016,1,19,1
1,西瓜-黃肉,T5,12.0,12.0,豐原區,420,12.0,12.0,75.0,2016,2,25,3
2,西瓜-黃肉,T5,12.0,12.0,豐原區,420,12.0,12.0,250.0,2016,2,28,6
3,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,450.0,2016,3,3,3
4,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,750.0,2016,3,4,4
5,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,1500.0,2016,3,5,5
6,西瓜-黃肉,T5,20.0,15.0,豐原區,420,17.95,18.2,3895.0,2016,3,8,1
7,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,825.0,2016,3,9,2
8,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,750.0,2016,3,15,1
9,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,300.0,2016,3,16,2
10,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,165.0,2016,3,18,4
11,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,600.0,2016,3,20,6
12,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,750.0,2016,3,22,1
13,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,750.0,2016,3,23,2
14,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,450.0,2016,3,24,3
15,西瓜-黃肉,T5,20.0,15.0,豐原區,420,16.81,16.4,2070.0,2016,3,26,5
16,西瓜-黃肉,T5,20.0,20.0,豐原區,420,20.0,20.0,750.0,2016,3,27,6
17,西瓜-黃肉,T5,15.0,10.0,豐原區,420,12.97,13.3,5900.0,2016,3,29,1
18,西瓜-黃肉,T5,20.0,15.0,豐原區,420,16.26,15.4,2675.0,2016,3,30,2
19,西瓜-黃肉,T5,20.0,10.0,豐原區,420,13.21,12.0,2430.0,2016,3,31,3
20,西瓜-黃肉,T5,14.4,10.0,豐原區,420,10.87,10.0,8140.0,2016,4,1,4
21,西瓜-黃肉,T5,20.0,12.0,豐原區,420,15.98,16.0,3830.0,2016,4,2,5
22,西瓜-黃肉,T5,18.0,10.0,豐原區,420,12.82,12.0,8120.0,2016,4,3,6
23,西瓜-黃肉,T5,14.5,10.0,豐原區,420,10.91,10.0,2200.0,2016,4,4,0
24,西瓜-黃肉,T5,18.4,10.0,豐原區,420,12.36,11.1,21865.0,2016,4,6,2
25,西瓜-黃肉,T5,14.9,10.0,豐原區,420,11.24,10.4,8650.0,2016,4,7,3
26,西瓜-黃肉,T5,14.7,10.0,豐原區,420,11.27,10.6,15650.0,2016,4,8,4
27,西瓜-黃肉,T5,15.2,10.0,豐原區,420,11.44,10.7,19925.0,2016,4,9,5
28,西瓜-黃肉,T5,16.1,10.0,豐原區,420,13.3,13.5,14185.0,2016,4,10,6
29,西瓜-黃肉,T5,16.1,10.0,豐原區,420,11.41,10.3,14255.0,2016,4,12,1
30,西瓜-黃肉,T5,14.5,10.0,豐原區,420,10.91,10.0,3300.0,2016,4,13,2
31,西瓜-黃肉,T5,15.5,10.0,豐原區,420,12.28,12.0,7450.0,2016,4,14,3
32,西瓜-黃肉,T5,12.5,12.0,豐原區,420,12.11,12.0,4560.0,2016,4,15,4
33,西瓜-黃肉,T5,15.3,10.0,豐原區,420,12.02,11.6,7640.0,2016,4,16,5
34,西瓜-黃肉,T5,16.0,10.0,豐原區,420,11.81,11.0,4700.0,2016,4,17,6
35,西瓜-黃肉,T5,15.5,10.0,豐原區,420,12.61,12.5,24650.0,2016,4,19,1
36,西瓜-黃肉,T5,18.3,10.0,豐原區,420,13.46,13.0,10255.0,2016,4,20,2
37,西瓜-黃肉,T5,19.1,10.0,豐原區,420,12.02,10.3,13251.0,2016,4,21,3
38,西瓜-黃肉,T5,16.4,10.0,豐原區,420,12.19,11.5,11225.0,2016,4,22,4
39,西瓜-黃肉,T5,14.6,10.0,豐原區,420,11.28,10.6,4815.0,2016,4,23,5
40,西瓜-黃肉,T5,18.3,10.0,豐原區,420,12.11,10.8,6340.0,2016,4,24,6
41,西瓜-黃肉,T5,15.8,10.0,豐原區,420,11.8,11.0,8900.0,2016,4,26,1
42,西瓜-黃肉,T5,19.9,12.0,豐原區,420,14.13,12.9,8937.0,2016,4,27,2
43,西瓜-黃肉,T5,15.7,10.0,豐原區,420,11.93,11.3,13330.0,2016,4,28,3
44,西瓜-黃肉,T5,21.7,12.0,豐原區,420,15.56,14.7,9271.0,2016,4,29,4
45,西瓜-黃肉,T5,16.5,12.0,豐原區,420,14.13,14.0,14095.0,2016,4,30,5
46,西瓜-黃肉,T5,29.8,15.3,豐原區,420,21.02,20.0,5610.0,2016,5,1,6
47,西瓜-黃肉,T5,21.6,12.0,豐原區,420,15.21,14.2,13724.0,2016,5,3,1
48,西瓜-黃肉,T5,22.1,15.0,豐原區,420,16.56,15.2,7609.0,2016,5,4,2
49,西瓜-黃肉,T5,19.7,15.0,豐原區,420,15.95,15.0,21540.0,2016,5,5,3
50,西瓜-黃肉,T5,25.0,12.0,豐原區,420,19.17,19.6,4021.0,2016,5,6,4
51,西瓜-黃肉,T5,20.3,10.9,豐原區,420,14.79,14.3,15885.0,2016,5,7,5
52,西瓜-黃肉,T5,30.0,15.4,豐原區,420,24.86,26.3,3295.0,2016,5,8,6
53,西瓜-黃肉,T5,28.3,12.0,豐原區,420,18.14,16.8,19103.0,2016,5,10,1
54,西瓜-黃肉,T5,22.6,15.0,豐原區,420,16.86,15.6,7650.0,2016,5,11,2
55,西瓜-黃肉,T5,23.6,15.0,豐原區,420,17.35,16.0,8300.0,2016,5,12,3
56,西瓜-黃肉,T5,25.5,15.0,豐原區,420,18.84,17.9,13490.0,2016,5,13,4
57,西瓜-黃肉,T5,24.6,15.0,豐原區,420,18.17,17.1,12960.0,2016,5,14,5
