,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-秋水梨,O2,30.0,30.0,高雄市,800,30.0,30.0,198.0,2012,3,28,2
1,梨-秋水梨,O2,50.0,30.0,高雄市,800,38.1,36.9,177.0,2012,5,3,3
2,梨-秋水梨,O2,37.3,35.0,高雄市,800,35.5,35.0,264.0,2012,5,4,4
3,梨-秋水梨,O2,41.8,21.2,高雄市,800,31.9,32.2,456.0,2012,5,5,5
4,梨-秋水梨,O2,41.9,29.0,高雄市,800,32.9,31.1,420.0,2012,5,8,1
5,梨-秋水梨,O2,50.0,38.4,高雄市,800,44.5,44.7,310.0,2012,5,9,2
6,梨-秋水梨,O2,50.0,40.0,高雄市,800,44.2,43.7,300.0,2012,5,10,3
7,梨-秋水梨,O2,50.0,30.0,高雄市,800,35.6,32.7,568.0,2012,5,11,4
8,梨-秋水梨,O2,50.0,40.0,高雄市,800,44.7,44.4,150.0,2012,5,12,5
9,梨-秋水梨,O2,40.0,28.0,高雄市,800,34.6,34.9,404.0,2012,5,13,6
10,梨-秋水梨,O2,44.6,22.2,高雄市,800,33.1,32.9,1583.0,2012,5,15,1
11,梨-秋水梨,O2,50.0,25.8,高雄市,800,35.9,34.6,1672.0,2012,5,16,2
12,梨-秋水梨,O2,49.0,23.7,高雄市,800,34.9,33.9,3090.0,2012,5,17,3
13,梨-秋水梨,O2,43.0,20.3,高雄市,800,30.1,29.1,3145.0,2012,5,18,4
14,梨-秋水梨,O2,43.3,24.6,高雄市,800,33.1,32.6,2344.0,2012,5,19,5
15,梨-秋水梨,O2,44.9,21.6,高雄市,800,33.4,33.4,2997.0,2012,5,20,6
16,梨-秋水梨,O2,38.0,16.7,高雄市,800,25.6,24.4,7970.0,2012,5,22,1
17,梨-秋水梨,O2,41.4,18.1,高雄市,800,29.8,29.8,2565.0,2012,5,23,2
18,梨-秋水梨,O2,42.9,23.3,高雄市,800,30.2,28.3,1696.0,2012,5,24,3
19,梨-秋水梨,O2,40.4,24.3,高雄市,800,32.7,32.9,2524.0,2012,5,25,4
20,梨-秋水梨,O2,55.6,25.0,高雄市,800,36.2,33.5,5847.0,2012,5,26,5
21,梨-秋水梨,O2,42.7,27.2,高雄市,800,32.8,31.4,3200.0,2012,5,27,6
22,梨-秋水梨,O2,51.2,25.6,高雄市,800,36.2,34.8,4510.0,2012,5,29,1
23,梨-秋水梨,O2,41.5,25.0,高雄市,800,32.8,32.3,1534.0,2012,5,30,2
24,梨-秋水梨,O2,48.7,30.0,高雄市,800,33.7,30.0,428.0,2012,5,31,3
25,梨-秋水梨,O2,50.0,26.2,高雄市,800,36.4,35.2,1196.0,2012,6,1,4
26,梨-秋水梨,O2,47.3,30.0,高雄市,800,38.7,38.7,644.0,2012,6,2,5
27,梨-秋水梨,O2,50.7,27.7,高雄市,800,38.0,37.3,2152.0,2012,6,3,6
28,梨-秋水梨,O2,44.5,21.9,高雄市,800,32.4,31.9,3756.0,2012,6,5,1
29,梨-秋水梨,O2,50.0,28.0,高雄市,800,37.5,36.4,2960.0,2012,6,6,2
30,梨-秋水梨,O2,51.8,30.0,高雄市,800,37.3,35.0,1747.0,2012,6,7,3
31,梨-秋水梨,O2,44.8,25.0,高雄市,800,33.2,32.0,2456.0,2012,6,8,4
32,梨-秋水梨,O2,47.1,28.7,高雄市,800,34.9,32.9,2138.0,2012,6,9,5
33,梨-秋水梨,O2,49.2,20.9,高雄市,800,33.7,32.7,1978.0,2012,6,10,6
34,梨-秋水梨,O2,48.5,21.7,高雄市,800,33.3,32.2,2435.0,2012,6,12,1
35,梨-秋水梨,O2,50.0,28.3,高雄市,800,39.4,39.6,2604.0,2012,6,14,3
36,梨-秋水梨,O2,58.9,25.0,高雄市,800,39.0,37.0,2518.0,2012,6,15,4
37,梨-秋水梨,O2,51.7,28.5,高雄市,800,37.1,35.1,5350.0,2012,6,16,5
38,梨-秋水梨,O2,37.2,25.0,高雄市,800,29.4,28.2,2601.0,2012,6,17,6
39,梨-秋水梨,O2,47.4,24.7,高雄市,800,34.9,34.2,5206.0,2012,6,19,1
40,梨-秋水梨,O2,42.9,22.3,高雄市,800,32.3,32.1,2714.0,2012,6,20,2
41,梨-秋水梨,O2,25.0,25.0,高雄市,800,25.0,25.0,384.0,2012,6,21,3
42,梨-秋水梨,O2,48.8,25.0,高雄市,800,35.3,34.2,6352.0,2012,6,22,4
43,梨-秋水梨,O2,37.8,25.0,高雄市,800,29.1,27.6,1422.0,2012,6,23,5
44,梨-秋水梨,O2,45.0,20.5,高雄市,800,31.2,30.2,1616.0,2012,6,26,1
45,梨-秋水梨,O2,50.0,26.1,高雄市,800,37.3,36.9,2770.0,2012,6,27,2
46,梨-秋水梨,O2,20.0,20.0,高雄市,800,20.0,20.0,100.0,2012,6,28,3
47,梨-秋水梨,O2,30.0,25.0,高雄市,800,27.0,26.7,450.0,2012,7,2,0
48,梨-秋水梨,O2,40.0,30.0,高雄市,800,35.0,35.0,2374.0,2012,7,8,6
49,梨-秋水梨,O2,60.0,40.0,高雄市,800,50.0,50.0,624.0,2012,7,10,1
50,梨-秋水梨,O2,40.0,25.8,高雄市,800,33.7,34.3,2576.0,2012,7,11,2
51,梨-秋水梨,O2,30.0,20.0,高雄市,800,24.3,23.9,368.0,2012,7,12,3
52,梨-秋水梨,O2,40.0,30.0,高雄市,800,34.9,34.8,738.0,2012,7,13,4
53,梨-秋水梨,O2,40.0,30.0,高雄市,800,35.2,35.3,928.0,2012,7,15,6
54,梨-秋水梨,O2,40.0,30.0,高雄市,800,35.0,35.0,320.0,2012,7,17,1
55,梨-秋水梨,O2,37.9,16.3,高雄市,800,27.0,26.9,2288.0,2012,7,18,2
56,梨-秋水梨,O2,36.5,18.4,高雄市,800,26.6,26.0,5478.0,2012,7,19,3
57,梨-秋水梨,O2,50.0,25.3,高雄市,800,36.0,34.9,5374.0,2012,7,20,4
58,梨-秋水梨,O2,36.1,15.0,高雄市,800,25.2,23.3,1532.0,2012,7,21,5
59,梨-秋水梨,O2,30.0,25.0,高雄市,800,27.5,27.6,1098.0,2012,7,22,6
60,梨-秋水梨,O2,42.4,20.0,高雄市,800,30.6,30.1,3750.0,2012,7,24,1
61,梨-秋水梨,O2,40.0,20.0,高雄市,800,28.3,27.2,672.0,2012,7,25,2
62,梨-秋水梨,O2,41.1,20.9,高雄市,800,29.0,27.6,2826.0,2012,7,31,1
63,梨-秋水梨,O2,40.0,20.0,高雄市,800,30.0,30.0,2134.0,2012,8,1,2
64,梨-秋水梨,O2,20.0,20.0,高雄市,800,20.0,20.0,522.0,2012,8,3,4
65,梨-秋水梨,O2,50.0,25.0,高雄市,800,34.6,32.6,752.0,2012,8,5,6
66,梨-秋水梨,O2,40.0,40.0,高雄市,800,40.0,40.0,108.0,2012,8,7,1
67,梨-秋水梨,O2,40.0,20.0,高雄市,800,30.3,30.4,702.0,2012,8,8,2
68,梨-秋水梨,O2,36.8,20.0,高雄市,800,27.3,26.5,1314.0,2012,8,10,4
69,梨-秋水梨,O2,50.0,30.0,高雄市,800,37.5,35.8,3600.0,2012,8,11,5
70,梨-秋水梨,O2,50.0,30.0,高雄市,800,38.1,36.9,2942.0,2012,8,14,1
71,梨-秋水梨,O2,40.0,30.0,高雄市,800,35.3,35.4,342.0,2012,8,15,2
72,梨-秋水梨,O2,50.0,30.0,高雄市,800,37.8,36.4,664.0,2012,8,16,3
73,梨-秋水梨,O2,43.8,30.0,高雄市,800,34.9,33.5,1832.0,2012,8,17,4
74,梨-秋水梨,O2,40.0,30.0,高雄市,800,34.5,34.2,990.0,2012,8,18,5
75,梨-秋水梨,O2,40.0,30.0,高雄市,800,34.3,33.9,414.0,2012,8,19,6
76,梨-秋水梨,O2,40.0,30.0,高雄市,800,35.0,35.0,360.0,2012,8,21,1
77,梨-秋水梨,O2,40.0,40.0,高雄市,800,40.0,40.0,198.0,2012,8,29,2
78,梨-秋水梨,O2,47.9,20.0,高雄市,800,31.5,29.8,1246.0,2012,9,11,1
79,梨-秋水梨,O2,50.0,40.0,高雄市,800,45.0,45.0,4400.0,2012,9,12,2
80,梨-秋水梨,O2,50.0,40.0,高雄市,800,44.5,44.2,792.0,2012,9,14,4
81,梨-秋水梨,O2,56.6,21.5,高雄市,800,38.9,38.8,2668.0,2012,9,15,5
82,梨-秋水梨,O2,50.0,33.4,高雄市,800,41.5,43.3,950.0,2012,9,16,6
83,梨-秋水梨,O2,55.4,25.0,高雄市,800,39.9,39.7,2571.0,2012,9,18,1
84,梨-秋水梨,O2,50.0,27.0,高雄市,800,37.1,36.2,3312.0,2012,9,19,2
85,梨-秋水梨,O2,25.0,25.0,高雄市,800,25.0,25.0,620.0,2012,9,20,3
86,梨-秋水梨,O2,50.0,24.3,高雄市,800,34.6,32.8,632.0,2012,9,22,5
87,梨-秋水梨,O2,30.0,30.0,高雄市,800,30.0,30.0,320.0,2012,9,23,6
88,梨-秋水梨,O2,47.6,30.0,高雄市,800,36.9,35.6,2358.0,2012,9,25,1
89,梨-秋水梨,O2,50.0,30.2,高雄市,800,40.5,40.8,1830.0,2012,9,26,2
90,梨-秋水梨,O2,50.0,34.4,高雄市,800,42.3,42.4,2416.0,2012,9,27,3
91,梨-秋水梨,O2,50.0,30.0,高雄市,800,38.6,37.7,6952.0,2012,9,28,4
92,梨-秋水梨,O2,56.6,31.3,高雄市,800,43.5,43.3,2984.0,2012,9,29,5
93,梨-秋水梨,O2,40.0,24.5,高雄市,800,33.8,34.8,273.0,2012,10,4,3
94,梨-秋水梨,O2,50.0,40.0,高雄市,800,42.0,40.0,80.0,2012,10,6,5
95,梨-秋水梨,O2,50.0,40.0,高雄市,800,43.7,42.8,486.0,2012,10,10,2
