,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,1,12,3
1,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,2,1,2
2,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,2,11,5
3,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,2,24,4
4,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,3,7,2
5,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,3,23,4
6,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,4,8,6
7,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,5,11,4
8,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,5,22,1
9,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2880.0,2012,6,22,4
10,梨-鳥梨,O7,50.0,50.0,高雄市,800,50.0,50.0,2400.0,2012,10,17,2
11,梨-鳥梨,O7,40.0,40.0,高雄市,800,40.0,40.0,168.0,2013,9,27,4
12,梨-鳥梨,O7,40.0,40.0,高雄市,800,40.0,40.0,168.0,2013,10,5,5
13,梨-鳥梨,O7,40.0,40.0,高雄市,800,40.0,40.0,240.0,2013,10,10,3
14,梨-鳥梨,O7,40.0,40.0,高雄市,800,40.0,40.0,240.0,2013,10,15,1
15,梨-鳥梨,O7,40.0,40.0,高雄市,800,40.0,40.0,240.0,2013,10,18,4
16,梨-鳥梨,O7,37.5,37.5,高雄市,800,37.5,37.5,120.0,2013,10,23,2
17,梨-鳥梨,O7,37.5,37.5,高雄市,800,37.5,37.5,240.0,2013,10,27,6
18,梨-鳥梨,O7,40.0,40.0,高雄市,800,40.0,40.0,100.0,2013,11,7,3
