,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,椪柑(其他)-其他,C0,30.0,18.0,高雄市,800,23.1,22.6,105.0,2012,1,3,1
1,椪柑(其他)-其他,C0,6.7,6.7,高雄市,800,6.7,6.7,105.0,2012,1,6,4
2,椪柑(其他)-其他,C0,20.0,20.0,高雄市,800,20.0,20.0,165.0,2012,1,8,6
3,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,120.0,2012,1,29,6
4,椪柑(其他)-其他,C0,8.3,8.3,高雄市,800,8.3,8.3,24.0,2012,1,30,0
5,椪柑(其他)-其他,C0,8.0,8.0,高雄市,800,8.0,8.0,90.0,2012,2,28,1
6,椪柑(其他)-其他,C0,25.0,12.5,高雄市,800,18.8,18.8,128.0,2012,11,21,2
7,椪柑(其他)-其他,C0,10.0,10.0,高雄市,800,10.0,10.0,50.0,2012,12,2,6
8,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,276.0,2012,12,11,1
9,椪柑(其他)-其他,C0,20.0,20.0,高雄市,800,20.0,20.0,240.0,2012,12,12,2
10,椪柑(其他)-其他,C0,10.0,10.0,高雄市,800,10.0,10.0,45.0,2012,12,22,5
11,椪柑(其他)-其他,C0,15.0,15.0,高雄市,800,15.0,15.0,156.0,2012,12,23,6
12,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,108.0,2013,1,11,4
13,椪柑(其他)-其他,C0,20.0,20.0,高雄市,800,20.0,20.0,360.0,2013,1,26,5
14,椪柑(其他)-其他,C0,10.0,10.0,高雄市,800,10.0,10.0,325.0,2013,2,2,5
15,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,72.0,2013,2,5,1
16,椪柑(其他)-其他,C0,25.0,21.5,高雄市,800,24.3,25.0,390.0,2013,2,6,2
17,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,108.0,2013,4,6,5
18,椪柑(其他)-其他,C0,20.9,15.0,高雄市,800,16.2,15.0,51.0,2013,8,18,6
19,椪柑(其他)-其他,C0,30.0,30.0,高雄市,800,30.0,30.0,15.0,2013,9,3,1
20,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,72.0,2013,10,18,4
21,椪柑(其他)-其他,C0,26.3,26.3,高雄市,800,26.3,26.3,16.0,2013,12,6,4
22,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,120.0,2013,12,11,2
23,椪柑(其他)-其他,C0,20.0,20.0,高雄市,800,20.0,20.0,108.0,2013,12,12,3
24,椪柑(其他)-其他,C0,13.9,13.9,高雄市,800,13.9,13.9,36.0,2013,12,17,1
25,椪柑(其他)-其他,C0,27.5,27.5,高雄市,800,27.5,27.5,20.0,2014,1,4,5
26,椪柑(其他)-其他,C0,21.3,21.3,高雄市,800,21.3,21.3,40.0,2014,1,5,6
27,椪柑(其他)-其他,C0,33.3,33.3,高雄市,800,33.3,33.3,9.0,2014,1,19,6
28,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,20.0,2014,1,26,6
29,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,108.0,2014,1,27,0
30,椪柑(其他)-其他,C0,50.0,50.0,高雄市,800,50.0,50.0,90.0,2014,3,29,5
31,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,84.0,2015,1,4,6
32,椪柑(其他)-其他,C0,20.0,20.0,高雄市,800,20.0,20.0,144.0,2015,1,9,4
33,椪柑(其他)-其他,C0,30.0,30.0,高雄市,800,30.0,30.0,30.0,2015,10,11,6
34,椪柑(其他)-其他,C0,20.0,20.0,高雄市,800,20.0,20.0,24.0,2015,12,3,3
35,椪柑(其他)-其他,C0,37.5,37.5,高雄市,800,37.5,37.5,8.0,2015,12,5,5
36,椪柑(其他)-其他,C0,30.0,30.0,高雄市,800,30.0,30.0,90.0,2015,12,9,2
37,椪柑(其他)-其他,C0,40.0,40.0,高雄市,800,40.0,40.0,45.0,2015,12,23,2
38,椪柑(其他)-其他,C0,35.0,35.0,高雄市,800,35.0,35.0,90.0,2016,2,2,1
39,椪柑(其他)-其他,C0,18.8,18.8,高雄市,800,18.8,18.8,8.0,2016,2,18,3
40,椪柑(其他)-其他,C0,41.7,41.7,高雄市,800,41.7,41.7,168.0,2016,11,16,2
41,椪柑(其他)-其他,C0,50.0,40.0,高雄市,800,44.8,44.6,210.0,2016,11,19,5
42,椪柑(其他)-其他,C0,35.0,35.0,高雄市,800,35.0,35.0,135.0,2016,11,23,2
43,椪柑(其他)-其他,C0,38.9,38.9,高雄市,800,38.9,38.9,117.0,2016,12,3,5
44,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,60.0,2016,12,6,1
45,椪柑(其他)-其他,C0,25.0,25.0,高雄市,800,25.0,25.0,90.0,2016,12,7,2
46,椪柑(其他)-其他,C0,35.0,25.0,高雄市,800,30.0,30.0,540.0,2016,12,25,6
47,椪柑(其他)-其他,C0,35.0,35.0,高雄市,800,35.0,35.0,54.0,2016,12,29,3
48,椪柑(其他)-其他,C0,60.0,60.0,高雄市,800,60.0,60.0,64.0,2017,1,4,2
49,椪柑(其他)-其他,C0,60.0,60.0,高雄市,800,60.0,60.0,48.0,2017,1,5,3
50,椪柑(其他)-其他,C0,70.0,70.0,高雄市,800,70.0,70.0,54.0,2017,1,6,4
51,椪柑(其他)-其他,C0,70.0,70.0,高雄市,800,70.0,70.0,32.0,2017,1,7,5
52,椪柑(其他)-其他,C0,80.0,80.0,高雄市,800,80.0,80.0,48.0,2017,1,8,6
53,椪柑(其他)-其他,C0,35.0,33.3,高雄市,800,34.5,34.8,222.0,2017,1,10,1
54,椪柑(其他)-其他,C0,50.0,50.0,高雄市,800,50.0,50.0,18.0,2017,2,17,4
55,椪柑(其他)-其他,C0,10.0,10.0,高雄市,800,10.0,10.0,54.0,2017,9,26,1
56,椪柑(其他)-其他,C0,20.0,13.3,高雄市,800,16.1,15.7,255.0,2017,9,29,4
57,椪柑(其他)-其他,C0,5.6,5.6,高雄市,800,5.6,5.6,54.0,2017,9,30,5
58,椪柑(其他)-其他,C0,35.0,35.0,高雄市,800,35.0,35.0,60.0,2017,11,28,1
59,椪柑(其他)-其他,C0,50.0,15.0,高雄市,800,29.0,26.7,200.0,2017,12,1,4
60,椪柑(其他)-其他,C0,50.0,29.2,高雄市,800,41.7,43.1,180.0,2017,12,2,5
61,椪柑(其他)-其他,C0,50.0,50.0,高雄市,800,50.0,50.0,120.0,2017,12,5,1
62,椪柑(其他)-其他,C0,50.0,50.0,高雄市,800,50.0,50.0,120.0,2017,12,6,2
63,椪柑(其他)-其他,C0,90.0,90.0,高雄市,800,90.0,90.0,150.0,2017,12,7,3
64,椪柑(其他)-其他,C0,90.0,90.0,高雄市,800,90.0,90.0,75.0,2017,12,8,4
65,椪柑(其他)-其他,C0,90.0,80.0,高雄市,800,85.0,85.0,180.0,2017,12,9,5
66,椪柑(其他)-其他,C0,90.0,70.0,高雄市,800,79.1,78.5,330.0,2017,12,12,1
67,椪柑(其他)-其他,C0,100.0,70.0,高雄市,800,82.0,80.0,225.0,2017,12,13,2
68,椪柑(其他)-其他,C0,100.0,90.0,高雄市,800,95.0,95.0,300.0,2017,12,14,3
69,椪柑(其他)-其他,C0,100.0,36.7,高雄市,800,75.7,80.6,255.0,2017,12,15,4
70,椪柑(其他)-其他,C0,100.0,70.0,高雄市,800,89.8,93.0,440.0,2017,12,16,5
71,椪柑(其他)-其他,C0,100.0,70.0,高雄市,800,81.3,78.8,240.0,2017,12,17,6
72,椪柑(其他)-其他,C0,100.0,26.5,高雄市,800,85.3,100.0,245.0,2017,12,20,2
73,椪柑(其他)-其他,C0,100.0,80.0,高雄市,800,93.7,96.2,406.0,2017,12,21,3
74,椪柑(其他)-其他,C0,90.0,40.0,高雄市,800,67.0,68.3,554.0,2017,12,22,4
75,椪柑(其他)-其他,C0,100.0,80.0,高雄市,800,90.0,90.0,450.0,2017,12,23,5
76,椪柑(其他)-其他,C0,100.0,90.0,高雄市,800,94.0,93.3,225.0,2017,12,24,6
77,椪柑(其他)-其他,C0,100.0,80.0,高雄市,800,88.2,87.1,221.0,2017,12,26,1
78,椪柑(其他)-其他,C0,100.0,33.3,高雄市,800,75.3,81.0,445.0,2017,12,27,2
