,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,洋香瓜-新疆,W4,35.0,15.0,高雄市,800,19.8,16.3,420.0,2012,4,8,6
1,洋香瓜-新疆,W4,45.0,45.0,高雄市,800,45.0,45.0,16.0,2012,10,16,1
2,洋香瓜-新疆,W4,20.0,20.0,高雄市,800,20.0,20.0,150.0,2012,10,18,3
3,洋香瓜-新疆,W4,35.0,35.0,高雄市,800,35.0,35.0,720.0,2012,11,27,1
4,洋香瓜-新疆,W4,25.0,25.0,高雄市,800,25.0,25.0,120.0,2013,3,29,4
5,洋香瓜-新疆,W4,40.0,20.0,高雄市,800,29.6,29.3,1410.0,2013,3,30,5
6,洋香瓜-新疆,W4,30.0,30.0,高雄市,800,30.0,30.0,480.0,2013,3,31,6
7,洋香瓜-新疆,W4,40.0,20.0,高雄市,800,29.9,29.8,1520.0,2013,4,16,1
8,洋香瓜-新疆,W4,40.0,40.0,高雄市,800,40.0,40.0,120.0,2013,11,29,4
9,洋香瓜-新疆,W4,40.0,40.0,高雄市,800,40.0,40.0,72.0,2013,12,17,1
10,洋香瓜-新疆,W4,60.0,35.0,高雄市,800,46.7,46.1,720.0,2013,12,27,4
11,洋香瓜-新疆,W4,70.0,50.0,高雄市,800,60.0,60.0,480.0,2013,12,28,5
12,洋香瓜-新疆,W4,60.0,30.0,高雄市,800,45.0,45.0,480.0,2013,12,31,1
13,洋香瓜-新疆,W4,40.0,40.0,高雄市,800,40.0,40.0,108.0,2014,1,3,4
14,洋香瓜-新疆,W4,50.0,50.0,高雄市,800,50.0,50.0,336.0,2014,4,18,4
15,洋香瓜-新疆,W4,45.4,20.0,高雄市,800,27.7,24.4,975.0,2014,6,24,1
16,洋香瓜-新疆,W4,23.1,20.0,高雄市,800,21.6,21.7,97.0,2014,11,4,1
17,洋香瓜-新疆,W4,21.4,15.9,高雄市,800,20.3,21.3,220.0,2014,11,5,2
18,洋香瓜-新疆,W4,22.9,17.9,高雄市,800,21.4,22.2,98.0,2014,11,6,3
19,洋香瓜-新疆,W4,20.0,20.0,高雄市,800,20.0,20.0,90.0,2014,11,8,5
20,洋香瓜-新疆,W4,18.0,16.9,高雄市,800,17.7,17.8,60.0,2014,11,11,1
21,洋香瓜-新疆,W4,40.0,20.0,高雄市,800,28.9,28.1,620.0,2015,4,18,5
22,洋香瓜-新疆,W4,20.0,20.0,高雄市,800,20.0,20.0,160.0,2015,4,24,4
23,洋香瓜-新疆,W4,16.7,16.7,高雄市,800,16.7,16.7,420.0,2015,4,25,5
24,洋香瓜-新疆,W4,10.0,10.0,高雄市,800,10.0,10.0,630.0,2015,4,26,6
25,洋香瓜-新疆,W4,40.0,20.0,高雄市,800,27.5,25.9,876.0,2016,12,13,1
26,洋香瓜-新疆,W4,40.0,15.0,高雄市,800,20.0,15.0,250.0,2016,12,22,3
27,洋香瓜-新疆,W4,16.7,11.1,高雄市,800,13.1,12.6,990.0,2016,12,25,6
28,洋香瓜-新疆,W4,70.0,45.0,高雄市,800,52.1,48.6,504.0,2017,2,25,5
29,洋香瓜-新疆,W4,65.0,40.0,高雄市,800,50.4,49.0,720.0,2017,4,8,5
30,洋香瓜-新疆,W4,68.2,35.0,高雄市,800,52.6,53.3,1190.0,2017,4,11,1
31,洋香瓜-新疆,W4,60.0,40.0,高雄市,800,49.2,48.7,456.0,2017,4,18,1
32,洋香瓜-新疆,W4,65.0,55.0,高雄市,800,58.0,56.7,660.0,2017,4,25,1
33,洋香瓜-新疆,W4,65.0,30.0,高雄市,800,43.2,40.3,660.0,2017,5,4,3
34,洋香瓜-新疆,W4,65.0,40.0,高雄市,800,50.8,49.6,1392.0,2017,5,9,1
35,洋香瓜-新疆,W4,60.0,40.0,高雄市,800,48.7,47.8,276.0,2017,5,14,6
36,洋香瓜-新疆,W4,20.0,12.5,高雄市,800,14.8,13.8,1200.0,2017,11,26,6
37,洋香瓜-新疆,W4,89.9,50.0,高雄市,800,64.7,61.2,1128.0,2018,2,27,1
38,洋香瓜-新疆,W4,65.0,40.0,高雄市,800,52.3,52.1,1320.0,2018,3,14,2
39,洋香瓜-新疆,W4,36.9,20.0,高雄市,800,25.3,23.2,1722.0,2018,4,28,5
40,洋香瓜-新疆,W4,50.0,30.0,高雄市,800,38.0,36.7,600.0,2018,5,1,1
41,洋香瓜-新疆,W4,25.0,25.0,高雄市,800,25.0,25.0,300.0,2018,11,16,4
42,洋香瓜-新疆,W4,40.0,40.0,高雄市,800,40.0,40.0,810.0,2018,11,21,2
43,洋香瓜-新疆,W4,30.0,20.0,高雄市,800,23.8,22.9,960.0,2018,11,23,4
44,洋香瓜-新疆,W4,50.0,40.0,高雄市,800,44.1,43.5,408.0,2018,12,16,6
45,洋香瓜-新疆,W4,30.0,20.0,高雄市,800,25.3,25.5,930.0,2019,1,19,5
