,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,甜橙-其他,E0,13.3,13.3,高雄市,800,13.3,13.3,210.0,2012,12,12,2
1,甜橙-其他,E0,12.5,12.5,高雄市,800,12.5,12.5,60.0,2012,12,20,3
2,甜橙-其他,E0,11.1,11.1,高雄市,800,11.1,11.1,36.0,2012,12,27,3
3,甜橙-其他,E0,9.1,9.1,高雄市,800,9.1,9.1,66.0,2013,12,14,5
4,甜橙-其他,E0,15.0,15.0,高雄市,800,15.0,15.0,96.0,2013,12,29,6
5,甜橙-其他,E0,15.0,15.0,高雄市,800,15.0,15.0,132.0,2014,1,2,3
6,甜橙-其他,E0,20.0,20.0,高雄市,800,20.0,20.0,36.0,2014,12,19,4
7,甜橙-其他,E0,10.0,10.0,高雄市,800,10.0,10.0,150.0,2015,1,7,2
8,甜橙-其他,E0,20.0,20.0,高雄市,800,20.0,20.0,90.0,2015,1,17,5
9,甜橙-其他,E0,18.0,18.0,高雄市,800,18.0,18.0,345.0,2015,11,3,1
10,甜橙-其他,E0,16.7,16.7,高雄市,800,16.7,16.7,18.0,2016,3,17,3
11,甜橙-其他,E0,12.5,12.5,高雄市,800,12.5,12.5,280.0,2016,10,22,5
12,甜橙-其他,E0,25.0,16.7,高雄市,800,19.8,19.1,192.0,2016,12,15,3
13,甜橙-其他,E0,30.0,30.0,高雄市,800,30.0,30.0,90.0,2017,1,4,2
14,甜橙-其他,E0,30.0,30.0,高雄市,800,30.0,30.0,180.0,2017,1,18,2
15,甜橙-其他,E0,20.0,20.0,高雄市,800,20.0,20.0,180.0,2017,10,27,4
16,甜橙-其他,E0,20.0,20.0,高雄市,800,20.0,20.0,165.0,2017,10,28,5
17,甜橙-其他,E0,12.0,12.0,高雄市,800,12.0,12.0,480.0,2018,1,27,5
18,甜橙-其他,E0,25.0,25.0,高雄市,800,25.0,25.0,36.0,2018,9,8,5
19,甜橙-其他,E0,27.8,25.0,高雄市,800,25.6,25.0,90.0,2018,9,15,5
20,甜橙-其他,E0,20.0,16.7,高雄市,800,18.9,19.3,675.0,2018,9,20,3
21,甜橙-其他,E0,30.0,20.0,高雄市,800,26.3,27.2,583.0,2018,9,21,4
22,甜橙-其他,E0,10.0,10.0,高雄市,800,10.0,10.0,1500.0,2018,10,20,5
23,甜橙-其他,E0,10.0,10.0,高雄市,800,10.0,10.0,1500.0,2018,10,21,6
24,甜橙-其他,E0,10.0,10.0,高雄市,800,10.0,10.0,1500.0,2018,10,22,0
25,甜橙-其他,E0,14.7,10.0,高雄市,800,12.4,12.5,4005.0,2018,10,23,1
26,甜橙-其他,E0,10.0,10.0,高雄市,800,10.0,10.0,504.0,2018,11,11,6
27,甜橙-其他,E0,20.0,20.0,高雄市,800,20.0,20.0,165.0,2018,12,27,3
