,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,蓮霧-紅蓮霧,Q1,80.9,12.8,高雄市,800,39.3,34.3,4394.0,2012,1,1,6
1,蓮霧-紅蓮霧,Q1,72.9,13.0,高雄市,800,36.3,31.8,5487.0,2012,1,3,1
2,蓮霧-紅蓮霧,Q1,76.5,16.5,高雄市,800,38.8,33.7,4469.0,2012,1,4,2
3,蓮霧-紅蓮霧,Q1,85.1,16.1,高雄市,800,43.9,39.4,2921.0,2012,1,5,3
4,蓮霧-紅蓮霧,Q1,82.8,17.0,高雄市,800,43.0,38.3,3247.0,2012,1,6,4
5,蓮霧-紅蓮霧,Q1,88.8,14.9,高雄市,800,45.0,40.5,5919.0,2012,1,7,5
6,蓮霧-紅蓮霧,Q1,88.4,17.7,高雄市,800,44.4,38.7,4540.0,2012,1,8,6
7,蓮霧-紅蓮霧,Q1,78.0,16.9,高雄市,800,40.5,35.8,4492.0,2012,1,10,1
8,蓮霧-紅蓮霧,Q1,64.0,18.6,高雄市,800,34.8,30.4,2826.0,2012,1,11,2
9,蓮霧-紅蓮霧,Q1,83.6,22.1,高雄市,800,47.9,44.5,3754.0,2012,1,12,3
10,蓮霧-紅蓮霧,Q1,81.0,16.0,高雄市,800,42.0,37.8,3390.0,2012,1,13,4
11,蓮霧-紅蓮霧,Q1,80.9,19.7,高雄市,800,44.4,40.5,3299.0,2012,1,14,5
12,蓮霧-紅蓮霧,Q1,79.7,20.0,高雄市,800,44.5,40.8,3674.0,2012,1,15,6
13,蓮霧-紅蓮霧,Q1,77.5,18.7,高雄市,800,40.0,34.6,4226.0,2012,1,17,1
14,蓮霧-紅蓮霧,Q1,85.7,21.8,高雄市,800,47.1,42.6,4419.0,2012,1,18,2
15,蓮霧-紅蓮霧,Q1,83.4,24.4,高雄市,800,46.2,41.1,4953.0,2012,1,19,3
16,蓮霧-紅蓮霧,Q1,87.1,18.4,高雄市,800,42.0,34.9,4213.0,2012,1,20,4
17,蓮霧-紅蓮霧,Q1,94.8,23.8,高雄市,800,52.3,47.7,5081.0,2012,1,21,5
18,蓮霧-紅蓮霧,Q1,87.1,19.7,高雄市,800,46.9,42.6,4214.0,2012,1,22,6
19,蓮霧-紅蓮霧,Q1,80.1,20.2,高雄市,800,48.9,48.0,4170.0,2012,1,28,5
20,蓮霧-紅蓮霧,Q1,84.3,20.5,高雄市,800,46.2,42.1,4091.0,2012,1,29,6
21,蓮霧-紅蓮霧,Q1,83.4,22.8,高雄市,800,47.7,44.1,5253.0,2012,1,30,0
22,蓮霧-紅蓮霧,Q1,92.5,30.0,高雄市,800,55.9,52.3,1202.0,2012,1,31,1
23,蓮霧-紅蓮霧,Q1,85.1,25.0,高雄市,800,47.9,43.2,1053.0,2012,2,1,2
24,蓮霧-紅蓮霧,Q1,78.4,23.2,高雄市,800,43.6,38.8,1744.0,2012,2,2,3
25,蓮霧-紅蓮霧,Q1,74.7,25.0,高雄市,800,42.1,36.9,2312.0,2012,2,3,4
26,蓮霧-紅蓮霧,Q1,82.7,18.7,高雄市,800,47.5,45.3,4518.0,2012,2,4,5
27,蓮霧-紅蓮霧,Q1,77.9,24.2,高雄市,800,44.3,39.8,6196.0,2012,2,5,6
28,蓮霧-紅蓮霧,Q1,92.7,23.2,高雄市,800,52.4,48.7,1416.0,2012,2,6,0
29,蓮霧-紅蓮霧,Q1,74.1,20.0,高雄市,800,40.4,36.0,2214.0,2012,2,9,3
30,蓮霧-紅蓮霧,Q1,78.5,18.9,高雄市,800,41.3,36.4,4449.0,2012,2,10,4
