,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-凱特,R4,40.0,25.0,高雄市,800,30.6,29.4,288.0,2012,7,1,6
1,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,150.0,2012,7,2,0
2,芒果-凱特,R4,35.0,35.0,高雄市,800,35.0,35.0,90.0,2012,7,10,1
3,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,30.0,2012,7,12,3
4,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,160.0,2012,7,17,1
5,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,24.0,2012,7,19,3
6,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,180.0,2012,7,26,3
7,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,260.0,2012,8,2,3
8,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,150.0,2012,8,3,4
9,芒果-凱特,R4,50.0,36.1,高雄市,800,44.4,45.3,1344.0,2012,8,7,1
10,芒果-凱特,R4,50.0,30.0,高雄市,800,40.3,40.5,620.0,2012,8,8,2
11,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,540.0,2012,8,9,3
12,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,1120.0,2012,8,11,5
13,芒果-凱特,R4,43.4,30.2,高雄市,800,38.7,40.0,2915.0,2012,8,14,1
14,芒果-凱特,R4,46.6,34.7,高雄市,800,40.4,40.2,3410.0,2012,8,15,2
15,芒果-凱特,R4,47.0,30.0,高雄市,800,38.7,38.9,4102.0,2012,8,16,3
16,芒果-凱特,R4,44.2,34.7,高雄市,800,39.7,39.9,2170.0,2012,8,17,4
17,芒果-凱特,R4,50.0,39.3,高雄市,800,42.6,41.3,2034.0,2012,8,18,5
18,芒果-凱特,R4,40.0,35.0,高雄市,800,39.0,40.0,300.0,2012,8,19,6
19,芒果-凱特,R4,50.0,33.1,高雄市,800,41.2,41.0,3887.0,2012,8,21,1
20,芒果-凱特,R4,47.1,27.9,高雄市,800,38.0,38.3,1744.0,2012,8,22,2
21,芒果-凱特,R4,47.9,27.4,高雄市,800,38.8,39.5,3527.0,2012,8,23,3
22,芒果-凱特,R4,40.2,40.0,高雄市,800,40.0,40.0,220.0,2012,8,24,4
23,芒果-凱特,R4,28.0,28.0,高雄市,800,28.0,28.0,15.0,2012,8,25,5
24,芒果-凱特,R4,47.3,31.6,高雄市,800,39.9,40.2,2724.0,2012,8,26,6
25,芒果-凱特,R4,51.9,38.7,高雄市,800,42.4,40.4,5304.0,2012,8,28,1
26,芒果-凱特,R4,50.2,35.1,高雄市,800,42.7,42.7,2429.0,2012,8,29,2
27,芒果-凱特,R4,50.0,26.5,高雄市,800,43.3,46.7,2052.0,2012,8,30,3
28,芒果-凱特,R4,50.0,25.0,高雄市,800,36.4,35.6,804.0,2012,8,31,4
29,芒果-凱特,R4,50.0,40.0,高雄市,800,43.9,43.2,1900.0,2012,9,3,0
30,芒果-凱特,R4,48.1,40.0,高雄市,800,41.6,40.0,1976.0,2012,9,4,1
31,芒果-凱特,R4,50.0,40.0,高雄市,800,45.0,45.0,800.0,2012,9,5,2
32,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,210.0,2012,9,6,3
33,芒果-凱特,R4,50.0,40.0,高雄市,800,45.0,44.9,1581.0,2012,9,7,4
34,芒果-凱特,R4,50.0,45.0,高雄市,800,48.1,48.5,1300.0,2012,9,9,6
35,芒果-凱特,R4,50.0,40.0,高雄市,800,45.0,45.0,800.0,2012,9,11,1
36,芒果-凱特,R4,50.0,50.0,高雄市,800,50.0,50.0,600.0,2012,9,12,2
37,芒果-凱特,R4,50.0,40.0,高雄市,800,47.9,49.8,950.0,2012,9,13,3
38,芒果-凱特,R4,50.0,50.0,高雄市,800,50.0,50.0,530.0,2012,9,14,4
39,芒果-凱特,R4,60.0,41.3,高雄市,800,51.6,52.2,1515.0,2012,9,15,5
40,芒果-凱特,R4,40.0,40.0,高雄市,800,40.0,40.0,1800.0,2012,9,16,6
41,芒果-凱特,R4,50.0,50.0,高雄市,800,50.0,50.0,300.0,2012,9,18,1
42,芒果-凱特,R4,50.0,50.0,高雄市,800,50.0,50.0,200.0,2012,9,20,3
43,芒果-凱特,R4,60.0,60.0,高雄市,800,60.0,60.0,375.0,2012,9,22,5
44,芒果-凱特,R4,60.0,50.0,高雄市,800,55.6,55.9,450.0,2012,9,25,1
