,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-本島,R3,40.0,40.0,高雄市,800,40.0,40.0,60.0,2012,2,18,5
1,芒果-本島,R3,40.0,40.0,高雄市,800,40.0,40.0,90.0,2012,2,25,5
2,芒果-本島,R3,35.0,30.0,高雄市,800,32.5,32.5,160.0,2012,3,1,3
3,芒果-本島,R3,30.0,30.0,高雄市,800,30.0,30.0,36.0,2012,3,4,6
4,芒果-本島,R3,60.0,40.0,高雄市,800,52.5,54.2,120.0,2012,3,6,1
5,芒果-本島,R3,30.0,20.0,高雄市,800,25.7,26.2,126.0,2012,3,8,3
6,芒果-本島,R3,30.0,30.0,高雄市,800,30.0,30.0,24.0,2012,3,9,4
7,芒果-本島,R3,30.0,30.0,高雄市,800,30.0,30.0,30.0,2012,3,10,5
8,芒果-本島,R3,40.0,40.0,高雄市,800,40.0,40.0,15.0,2012,3,11,6
9,芒果-本島,R3,40.0,40.0,高雄市,800,40.0,40.0,24.0,2012,3,16,4
10,芒果-本島,R3,50.0,50.0,高雄市,800,50.0,50.0,12.0,2012,3,18,6
11,芒果-本島,R3,50.0,50.0,高雄市,800,50.0,50.0,12.0,2012,3,21,2
12,芒果-本島,R3,50.0,50.0,高雄市,800,50.0,50.0,12.0,2012,3,24,5
13,芒果-本島,R3,40.0,40.0,高雄市,800,40.0,40.0,10.0,2012,3,27,1
14,芒果-本島,R3,50.0,50.0,高雄市,800,50.0,50.0,12.0,2012,4,1,6
15,芒果-本島,R3,50.0,50.0,高雄市,800,50.0,50.0,24.0,2012,4,4,2
16,芒果-本島,R3,60.0,20.0,高雄市,800,41.6,42.7,100.0,2012,4,7,5
17,芒果-本島,R3,130.0,30.0,高雄市,800,74.0,70.0,120.0,2012,4,10,1
18,芒果-本島,R3,50.0,50.0,高雄市,800,50.0,50.0,90.0,2012,4,11,2
19,芒果-本島,R3,142.5,40.0,高雄市,800,77.7,68.7,168.0,2012,4,12,3
20,芒果-本島,R3,100.0,50.0,高雄市,800,83.3,88.9,54.0,2012,4,13,4
21,芒果-本島,R3,60.0,60.0,高雄市,800,60.0,60.0,45.0,2012,4,14,5
22,芒果-本島,R3,150.0,30.0,高雄市,800,78.3,70.4,206.0,2012,4,15,6
23,芒果-本島,R3,140.0,30.0,高雄市,800,73.9,66.4,350.0,2012,4,17,1
24,芒果-本島,R3,100.0,60.0,高雄市,800,86.7,91.1,96.0,2012,4,18,2
25,芒果-本島,R3,108.8,30.0,高雄市,800,63.1,58.8,390.0,2012,4,19,3
26,芒果-本島,R3,90.0,50.0,高雄市,800,65.0,61.7,104.0,2012,4,20,4
27,芒果-本島,R3,145.2,49.2,高雄市,800,84.3,75.7,357.0,2012,4,21,5
28,芒果-本島,R3,121.4,52.4,高雄市,800,75.7,68.3,315.0,2012,4,22,6
29,芒果-本島,R3,120.2,23.9,高雄市,800,68.8,66.5,297.0,2012,4,24,1
30,芒果-本島,R3,100.0,40.0,高雄市,800,69.6,69.3,207.0,2012,4,25,2
31,芒果-本島,R3,100.0,40.0,高雄市,800,70.8,71.4,488.0,2012,4,26,3
32,芒果-本島,R3,120.0,50.0,高雄市,800,90.0,93.3,84.0,2012,4,27,4
33,芒果-本島,R3,110.6,36.7,高雄市,800,67.9,64.0,452.0,2012,4,28,5
34,芒果-本島,R3,100.0,30.0,高雄市,800,58.2,53.6,165.0,2012,4,29,6
35,芒果-本島,R3,108.1,41.0,高雄市,800,67.7,63.2,444.0,2012,5,1,1
36,芒果-本島,R3,80.0,35.0,高雄市,800,54.3,52.1,84.0,2012,5,2,2
37,芒果-本島,R3,76.7,43.3,高雄市,800,60.0,60.0,180.0,2012,5,3,3
38,芒果-本島,R3,90.2,44.5,高雄市,800,68.9,70.0,564.0,2012,5,4,4
39,芒果-本島,R3,90.0,80.0,高雄市,800,85.1,85.1,142.0,2012,5,5,5
40,芒果-本島,R3,117.0,52.6,高雄市,800,71.9,63.2,162.0,2012,5,6,6
41,芒果-本島,R3,93.9,40.3,高雄市,800,63.0,60.3,361.0,2012,5,8,1
42,芒果-本島,R3,80.0,40.0,高雄市,800,53.4,49.0,105.0,2012,5,9,2
43,芒果-本島,R3,101.0,32.8,高雄市,800,60.7,56.6,348.0,2012,5,10,3
44,芒果-本島,R3,100.0,50.0,高雄市,800,66.7,61.1,90.0,2012,5,11,4
45,芒果-本島,R3,95.9,42.6,高雄市,800,65.1,62.3,510.0,2012,5,12,5
46,芒果-本島,R3,100.0,58.7,高雄市,800,83.0,85.4,531.0,2012,5,13,6
47,芒果-本島,R3,84.7,44.8,高雄市,800,65.0,65.2,1148.0,2012,5,15,1
48,芒果-本島,R3,100.0,50.0,高雄市,800,67.9,63.2,544.0,2012,5,16,2
49,芒果-本島,R3,97.7,40.0,高雄市,800,62.9,58.9,1305.0,2012,5,17,3
50,芒果-本島,R3,74.6,40.0,高雄市,800,54.4,52.5,494.0,2012,5,18,4
51,芒果-本島,R3,79.3,30.0,高雄市,800,55.9,56.6,1504.0,2012,5,19,5
52,芒果-本島,R3,92.0,39.5,高雄市,800,62.4,60.2,1605.0,2012,5,20,6
