,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,草莓-進口,459,500.0,500.0,高雄市,800,500.0,500.0,6.0,2012,3,15,3
1,草莓-進口,459,400.0,240.0,高雄市,800,342.9,358.1,14.0,2012,11,17,5
2,草莓-進口,459,280.0,280.0,高雄市,800,280.0,280.0,5.0,2012,11,18,6
3,草莓-進口,459,280.0,280.0,高雄市,800,280.0,280.0,5.0,2012,11,20,1
4,草莓-進口,459,300.0,300.0,高雄市,800,300.0,300.0,12.0,2012,11,21,2
5,草莓-進口,459,300.0,280.0,高雄市,800,285.7,282.9,28.0,2012,11,22,3
6,草莓-進口,459,300.0,300.0,高雄市,800,300.0,300.0,4.0,2012,11,24,5
7,草莓-進口,459,300.0,300.0,高雄市,800,300.0,300.0,8.0,2012,11,25,6
8,草莓-進口,459,600.0,600.0,高雄市,800,600.0,600.0,2.0,2012,11,27,1
9,草莓-進口,459,350.0,300.0,高雄市,800,318.8,314.6,32.0,2012,11,28,2
10,草莓-進口,459,240.0,240.0,高雄市,800,240.0,240.0,25.0,2012,11,30,4
11,草莓-進口,459,300.0,300.0,高雄市,800,300.0,300.0,20.0,2012,12,1,5
12,草莓-進口,459,300.0,300.0,高雄市,800,300.0,300.0,20.0,2012,12,2,6
13,草莓-進口,459,800.0,800.0,高雄市,800,800.0,800.0,1.0,2012,12,9,6
14,草莓-進口,459,700.0,700.0,高雄市,800,700.0,700.0,1.0,2012,12,14,4
15,草莓-進口,459,450.0,450.0,高雄市,800,450.0,450.0,20.0,2012,12,16,6
16,草莓-進口,459,700.0,600.0,高雄市,800,660.0,666.7,5.0,2012,12,18,1
17,草莓-進口,459,700.0,400.0,高雄市,800,460.0,400.0,5.0,2012,12,21,4
18,草莓-進口,459,800.0,800.0,高雄市,800,800.0,800.0,1.0,2012,12,22,5
19,草莓-進口,459,614.3,400.0,高雄市,800,442.9,400.0,7.0,2012,12,23,6
20,草莓-進口,459,800.0,800.0,高雄市,800,800.0,800.0,2.0,2012,12,25,1
21,草莓-進口,459,800.0,800.0,高雄市,800,800.0,800.0,3.0,2012,12,26,2
22,草莓-進口,459,800.0,800.0,高雄市,800,800.0,800.0,1.0,2012,12,27,3
23,草莓-進口,459,700.0,700.0,高雄市,800,700.0,700.0,1.0,2012,12,29,5
24,草莓-進口,459,700.0,700.0,高雄市,800,700.0,700.0,2.0,2013,1,1,1
25,草莓-進口,459,900.0,900.0,高雄市,800,900.0,900.0,3.0,2013,1,9,2
26,草莓-進口,459,800.0,800.0,高雄市,800,800.0,800.0,2.0,2013,1,12,5
