,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,葡萄-巨峰,S1,58.0,23.3,高雄市,800,36.7,32.7,2378.0,2012,1,1,6
1,葡萄-巨峰,S1,59.2,23.6,高雄市,800,36.3,32.9,4434.0,2012,1,3,1
2,葡萄-巨峰,S1,62.2,27.2,高雄市,800,41.4,35.1,3479.0,2012,1,4,2
3,葡萄-巨峰,S1,68.0,23.3,高雄市,800,38.8,34.3,4024.0,2012,1,5,3
4,葡萄-巨峰,S1,61.6,16.7,高雄市,800,35.3,32.7,3642.0,2012,1,6,4
5,葡萄-巨峰,S1,60.1,22.9,高雄市,800,37.0,34.1,5298.0,2012,1,7,5
6,葡萄-巨峰,S1,59.3,26.1,高雄市,800,38.1,35.0,4868.0,2012,1,8,6
7,葡萄-巨峰,S1,50.3,21.9,高雄市,800,35.4,33.5,3368.0,2012,1,10,1
8,葡萄-巨峰,S1,55.9,24.9,高雄市,800,37.3,35.2,3928.0,2012,1,11,2
9,葡萄-巨峰,S1,53.6,23.2,高雄市,800,34.5,32.0,5553.0,2012,1,12,3
10,葡萄-巨峰,S1,51.4,22.3,高雄市,800,31.9,28.6,4279.0,2012,1,13,4
11,葡萄-巨峰,S1,52.9,18.1,高雄市,800,31.5,28.8,3150.0,2012,1,14,5
12,葡萄-巨峰,S1,50.2,18.1,高雄市,800,30.3,27.7,2784.0,2012,1,15,6
13,葡萄-巨峰,S1,52.5,19.6,高雄市,800,32.0,29.4,3736.0,2012,1,17,1
14,葡萄-巨峰,S1,44.3,20.7,高雄市,800,29.9,28.1,4884.0,2012,1,18,2
15,葡萄-巨峰,S1,52.7,19.8,高雄市,800,33.5,31.6,3288.0,2012,1,19,3
16,葡萄-巨峰,S1,48.8,19.6,高雄市,800,32.9,32.0,3624.0,2012,1,20,4
17,葡萄-巨峰,S1,52.1,21.2,高雄市,800,32.2,29.3,2738.0,2012,1,21,5
18,葡萄-巨峰,S1,54.1,22.1,高雄市,800,35.7,34.0,1124.0,2012,1,22,6
19,葡萄-巨峰,S1,53.6,26.1,高雄市,800,40.6,41.0,1370.0,2012,1,28,5
20,葡萄-巨峰,S1,51.8,19.6,高雄市,800,34.4,33.6,2875.0,2012,1,29,6
21,葡萄-巨峰,S1,43.8,19.4,高雄市,800,26.7,23.4,1190.0,2012,1,30,0
22,葡萄-巨峰,S1,48.3,19.9,高雄市,800,31.3,29.4,2520.0,2012,1,31,1
23,葡萄-巨峰,S1,48.8,19.7,高雄市,800,32.0,30.5,1928.0,2012,2,1,2
24,葡萄-巨峰,S1,40.0,16.7,高雄市,800,27.2,26.5,290.0,2012,2,2,3
25,葡萄-巨峰,S1,45.0,20.0,高雄市,800,33.0,33.3,1031.0,2012,2,3,4
26,葡萄-巨峰,S1,40.3,23.8,高雄市,800,33.3,32.4,1611.0,2012,2,4,5
27,葡萄-巨峰,S1,50.4,20.7,高雄市,800,34.0,33.0,1442.0,2012,2,5,6
28,葡萄-巨峰,S1,56.3,25.0,高雄市,800,34.4,30.2,632.0,2012,2,6,0
29,葡萄-巨峰,S1,54.4,23.5,高雄市,800,35.9,33.8,695.0,2012,2,9,3
30,葡萄-巨峰,S1,43.0,26.3,高雄市,800,36.2,37.2,1013.0,2012,2,10,4
31,葡萄-巨峰,S1,46.8,23.8,高雄市,800,35.4,35.5,1470.0,2012,2,11,5
32,葡萄-巨峰,S1,50.7,39.3,高雄市,800,42.4,40.6,654.0,2012,2,12,6
33,葡萄-巨峰,S1,48.7,23.4,高雄市,800,38.4,40.0,906.0,2012,2,14,1
34,葡萄-巨峰,S1,44.7,23.6,高雄市,800,36.2,37.5,1283.0,2012,2,15,2
35,葡萄-巨峰,S1,40.0,21.8,高雄市,800,35.7,38.9,741.0,2012,2,16,3
36,葡萄-巨峰,S1,50.9,24.5,高雄市,800,39.6,37.5,2038.0,2012,2,17,4
37,葡萄-巨峰,S1,50.5,20.8,高雄市,800,33.9,32.7,1782.0,2012,2,18,5
38,葡萄-巨峰,S1,51.4,20.9,高雄市,800,34.7,33.8,1743.0,2012,2,19,6
39,葡萄-巨峰,S1,52.8,20.3,高雄市,800,35.1,33.5,2938.0,2012,2,21,1
40,葡萄-巨峰,S1,46.8,20.3,高雄市,800,30.8,29.0,2894.0,2012,2,22,2
41,葡萄-巨峰,S1,51.1,20.6,高雄市,800,35.5,35.3,2723.0,2012,2,23,3
42,葡萄-巨峰,S1,50.1,24.9,高雄市,800,39.5,40.9,2063.0,2012,2,24,4
43,葡萄-巨峰,S1,50.1,20.0,高雄市,800,35.1,35.2,1798.0,2012,2,25,5
44,葡萄-巨峰,S1,54.0,25.8,高雄市,800,39.4,39.1,2103.0,2012,2,26,6
45,葡萄-巨峰,S1,53.0,22.2,高雄市,800,35.1,33.3,2031.0,2012,2,28,1
46,葡萄-巨峰,S1,49.6,22.5,高雄市,800,37.0,37.6,3229.0,2012,2,29,2
47,葡萄-巨峰,S1,53.0,22.2,高雄市,800,35.5,34.1,2476.0,2012,3,1,3
48,葡萄-巨峰,S1,53.1,22.4,高雄市,800,37.3,37.0,2436.0,2012,3,2,4
49,葡萄-巨峰,S1,51.6,22.8,高雄市,800,36.5,36.0,3112.0,2012,3,3,5
50,葡萄-巨峰,S1,51.8,21.8,高雄市,800,35.6,34.8,2849.0,2012,3,4,6
51,葡萄-巨峰,S1,52.0,22.2,高雄市,800,37.0,36.9,3918.0,2012,3,6,1
52,葡萄-巨峰,S1,53.7,23.3,高雄市,800,37.7,37.2,2969.0,2012,3,7,2
53,葡萄-巨峰,S1,50.0,22.6,高雄市,800,37.3,38.0,2166.0,2012,3,8,3
54,葡萄-巨峰,S1,51.4,22.2,高雄市,800,34.7,33.4,2612.0,2012,3,9,4
55,葡萄-巨峰,S1,51.8,21.8,高雄市,800,34.4,32.8,3289.0,2012,3,10,5
56,葡萄-巨峰,S1,56.5,26.1,高雄市,800,38.7,36.9,1686.0,2012,3,11,6
57,葡萄-巨峰,S1,60.2,24.1,高雄市,800,37.9,35.1,1821.0,2012,3,13,1
58,葡萄-巨峰,S1,56.9,24.5,高雄市,800,37.9,36.0,1633.0,2012,3,14,2
59,葡萄-巨峰,S1,60.9,26.9,高雄市,800,39.2,36.1,2438.0,2012,3,15,3
60,葡萄-巨峰,S1,63.3,27.6,高雄市,800,45.6,45.7,1577.0,2012,3,16,4
61,葡萄-巨峰,S1,67.7,30.0,高雄市,800,44.8,42.1,1294.0,2012,3,17,5
62,葡萄-巨峰,S1,65.9,29.6,高雄市,800,46.0,44.9,1260.0,2012,3,18,6
63,葡萄-巨峰,S1,68.6,30.0,高雄市,800,48.1,47.3,1774.0,2012,3,20,1
64,葡萄-巨峰,S1,68.8,30.0,高雄市,800,47.3,45.9,1714.0,2012,3,21,2
65,葡萄-巨峰,S1,68.0,30.0,高雄市,800,46.6,45.0,1870.0,2012,3,22,3
66,葡萄-巨峰,S1,67.8,30.0,高雄市,800,44.9,42.2,1920.0,2012,3,23,4
67,葡萄-巨峰,S1,70.0,30.0,高雄市,800,48.5,47.5,895.0,2012,3,24,5
68,葡萄-巨峰,S1,70.0,30.0,高雄市,800,46.7,44.4,240.0,2012,3,25,6
69,葡萄-巨峰,S1,69.4,30.0,高雄市,800,48.8,48.3,1124.0,2012,3,27,1
70,葡萄-巨峰,S1,65.9,30.0,高雄市,800,45.1,43.2,1260.0,2012,3,28,2
71,葡萄-巨峰,S1,67.0,30.0,高雄市,800,46.3,44.8,762.0,2012,3,29,3
72,葡萄-巨峰,S1,68.4,30.0,高雄市,800,44.7,41.7,956.0,2012,3,30,4
73,葡萄-巨峰,S1,70.0,30.0,高雄市,800,46.9,44.8,972.0,2012,3,31,5
74,葡萄-巨峰,S1,70.0,30.0,高雄市,800,46.8,44.7,882.0,2012,4,1,6
75,葡萄-巨峰,S1,77.6,30.0,高雄市,800,51.6,50.2,1980.0,2012,4,3,1
76,葡萄-巨峰,S1,70.8,30.0,高雄市,800,47.0,44.7,811.0,2012,4,4,2
77,葡萄-巨峰,S1,80.0,30.0,高雄市,800,52.2,50.3,872.0,2012,4,7,5
78,葡萄-巨峰,S1,80.0,30.0,高雄市,800,48.0,43.3,890.0,2012,4,8,6
79,葡萄-巨峰,S1,77.7,27.8,高雄市,800,46.1,41.7,1082.0,2012,4,10,1
80,葡萄-巨峰,S1,78.2,31.8,高雄市,800,53.2,52.0,1100.0,2012,4,11,2
81,葡萄-巨峰,S1,80.0,30.0,高雄市,800,60.0,63.3,600.0,2012,4,12,3
