,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,香蕉-芭蕉,A2,25.0,25.0,高雄市,800,25.0,25.0,24.0,2012,1,1,6
1,香蕉-芭蕉,A2,25.0,15.0,高雄市,800,17.3,15.5,440.0,2012,1,3,1
2,香蕉-芭蕉,A2,25.0,25.0,高雄市,800,25.0,25.0,30.0,2012,1,4,2
3,香蕉-芭蕉,A2,23.1,15.0,高雄市,800,16.6,15.0,681.0,2012,1,5,3
4,香蕉-芭蕉,A2,25.0,16.7,高雄市,800,23.3,25.0,120.0,2012,1,6,4
5,香蕉-芭蕉,A2,24.4,15.0,高雄市,800,17.9,16.8,1295.0,2012,1,7,5
6,香蕉-芭蕉,A2,12.0,10.9,高雄市,800,11.7,11.8,36.0,2012,1,8,6
7,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,150.0,2012,1,12,3
8,香蕉-芭蕉,A2,25.0,25.0,高雄市,800,25.0,25.0,48.0,2012,1,13,4
9,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,480.0,2012,1,14,5
10,香蕉-芭蕉,A2,18.7,15.0,高雄市,800,15.7,15.0,534.0,2012,1,17,1
11,香蕉-芭蕉,A2,20.0,15.0,高雄市,800,17.3,17.1,440.0,2012,1,18,2
12,香蕉-芭蕉,A2,25.0,25.0,高雄市,800,25.0,25.0,48.0,2012,1,19,3
13,香蕉-芭蕉,A2,18.9,15.0,高雄市,800,15.8,15.0,960.0,2012,1,20,4
14,香蕉-芭蕉,A2,25.0,15.0,高雄市,800,20.0,20.0,480.0,2012,1,21,5
15,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,480.0,2012,1,29,6
16,香蕉-芭蕉,A2,25.0,25.0,高雄市,800,25.0,25.0,72.0,2012,1,30,0
17,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,390.0,2012,1,31,1
18,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,360.0,2012,2,1,2
19,香蕉-芭蕉,A2,25.0,20.0,高雄市,800,21.7,21.1,508.0,2012,2,5,6
20,香蕉-芭蕉,A2,20.0,20.0,高雄市,800,20.0,20.0,100.0,2012,2,9,3
21,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,180.0,2012,2,12,6
22,香蕉-芭蕉,A2,19.0,10.7,高雄市,800,15.4,15.8,1150.0,2012,2,14,1
23,香蕉-芭蕉,A2,13.0,13.0,高雄市,800,13.0,13.0,60.0,2012,2,15,2
24,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,900.0,2012,2,16,3
25,香蕉-芭蕉,A2,13.0,13.0,高雄市,800,13.0,13.0,56.0,2012,2,17,4
26,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,600.0,2012,2,18,5
27,香蕉-芭蕉,A2,24.4,13.0,高雄市,800,16.9,15.8,1240.0,2012,2,21,1
28,香蕉-芭蕉,A2,20.0,16.0,高雄市,800,19.2,19.9,380.0,2012,2,23,3
29,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,300.0,2012,2,24,4
30,香蕉-芭蕉,A2,20.0,13.0,高雄市,800,15.4,14.6,840.0,2012,2,28,1
31,香蕉-芭蕉,A2,18.0,18.0,高雄市,800,18.0,18.0,205.0,2012,3,1,3
32,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,300.0,2012,3,4,6
33,香蕉-芭蕉,A2,23.1,15.0,高雄市,800,19.0,19.0,2213.0,2012,3,6,1
34,香蕉-芭蕉,A2,25.0,25.0,高雄市,800,25.0,25.0,12.0,2012,3,7,2
35,香蕉-芭蕉,A2,16.0,15.0,高雄市,800,15.3,15.1,360.0,2012,3,8,3
36,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,390.0,2012,3,9,4
37,香蕉-芭蕉,A2,29.7,15.7,高雄市,800,18.7,16.0,793.0,2012,3,10,5
38,香蕉-芭蕉,A2,25.0,15.0,高雄市,800,21.0,21.7,520.0,2012,3,11,6
39,香蕉-芭蕉,A2,19.6,15.0,高雄市,800,16.2,15.4,1395.0,2012,3,13,1
40,香蕉-芭蕉,A2,15.0,15.0,高雄市,800,15.0,15.0,150.0,2012,3,14,2
41,香蕉-芭蕉,A2,20.0,15.0,高雄市,800,18.1,18.5,195.0,2012,3,15,3
42,香蕉-芭蕉,A2,20.0,20.0,高雄市,800,20.0,20.0,80.0,2012,3,16,4
43,香蕉-芭蕉,A2,23.7,15.0,高雄市,800,17.6,16.5,1230.0,2012,3,17,5
44,香蕉-芭蕉,A2,25.4,15.0,高雄市,800,17.7,16.0,2796.0,2012,3,20,1
45,香蕉-芭蕉,A2,30.0,25.0,高雄市,800,28.1,28.5,483.0,2012,3,21,2
46,香蕉-芭蕉,A2,24.6,10.0,高雄市,800,15.8,14.7,260.0,2012,3,23,4
47,香蕉-芭蕉,A2,25.9,15.7,高雄市,800,20.3,20.0,256.0,2012,3,24,5
48,香蕉-芭蕉,A2,25.0,15.0,高雄市,800,17.7,16.2,765.0,2012,3,27,1
49,香蕉-芭蕉,A2,17.8,15.0,高雄市,800,15.6,15.0,370.0,2012,3,29,3
