,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,椰子,11,15.0,10.0,鳳山區,830,12.1,12.1,6750.0,2016,5,3,1
1,椰子,11,15.1,10.0,鳳山區,830,11.9,11.9,3640.0,2016,5,6,4
2,椰子,11,15.0,12.1,鳳山區,830,13.4,13.4,3580.0,2016,7,8,4
3,椰子,11,20.0,13.0,鳳山區,830,15.3,15.3,5320.0,2016,11,1,1
4,椰子,11,20.0,13.0,鳳山區,830,15.4,15.4,5840.0,2016,11,3,3
5,椰子,11,20.0,13.0,鳳山區,830,15.4,15.4,5200.0,2016,11,4,4
6,椰子,11,20.0,13.0,鳳山區,830,15.4,15.4,5370.0,2016,11,6,6
7,椰子,11,20.0,14.0,鳳山區,830,15.7,15.7,3190.0,2016,11,10,3
8,椰子,11,17.0,12.0,鳳山區,830,13.6,13.6,6310.0,2016,11,11,4
9,椰子,11,19.1,13.0,鳳山區,830,15.3,15.3,5320.0,2016,11,13,6
10,椰子,11,20.0,13.0,鳳山區,830,15.3,15.3,5500.0,2016,11,15,1
11,椰子,11,20.0,13.0,鳳山區,830,15.2,15.2,3600.0,2016,11,17,3
12,椰子,11,18.1,13.0,鳳山區,830,15.0,15.0,5510.0,2016,11,20,6
13,椰子,11,18.0,13.0,鳳山區,830,15.3,15.3,5410.0,2016,11,24,3
14,椰子,11,20.0,13.0,鳳山區,830,15.4,15.4,5880.0,2016,12,2,4
15,椰子,11,15.1,10.0,鳳山區,830,11.9,11.9,6100.0,2016,12,9,4
16,椰子,11,11.0,8.0,鳳山區,830,9.1,9.1,10950.0,2016,12,17,5
17,椰子,11,12.1,10.0,鳳山區,830,10.9,10.9,6400.0,2017,1,6,4
18,椰子,11,12.0,10.0,鳳山區,830,10.9,10.9,3980.0,2017,1,11,2
19,椰子,11,11.2,9.0,鳳山區,830,9.9,9.9,4030.0,2017,1,13,4
20,椰子,11,12.0,10.0,鳳山區,830,10.9,10.9,5980.0,2017,5,2,1
